State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,128591812.0
United States,11,"Agriculture, Forestry, Fishing and Hunting",164046.0
United States,21,"Mining, Quarrying, and Oil and Gas Extraction",578098.0
United States,22,Utilities,644703.0
United States,23,Construction,6533061.0
United States,31-33,Manufacturing,11721785.0
United States,42,Wholesale Trade,6115476.0
United States,44-45,Retail Trade,15705808.0
United States,48-49,Transportation and Warehousing,4866282.0
United States,51,Information,3507966.0
United States,52,Finance and Insurance,6408168.0
United States,53,Real Estate and Rental and Leasing,2148006.0
United States,54,"Professional, Scientific, and Technical Services",8905549.0
United States,55,Management of Companies and Enterprises,3462498.0
United States,56,Administrative and Support and Waste Management and Remediation Services,11897056.0
United States,61,Educational Services,3688541.0
United States,62,Health Care and Social Assistance,20241438.0
United States,71,"Arts, Entertainment, and Recreation",2368928.0
United States,72,Accommodation and Food Services,14088211.0
United States,81,Other Services (except Public Administration),5534978.0
United States,99,Industries not classified,11214.0
Alabama,--,Total,1690061.0
Alabama,11,"Agriculture, Forestry, Fishing and Hunting",6320.0
Alabama,21,"Mining, Quarrying, and Oil and Gas Extraction",4797.0
Alabama,22,Utilities,14174.0
Alabama,23,Construction,82972.0
Alabama,31-33,Manufacturing,254603.0
Alabama,42,Wholesale Trade,75851.0
Alabama,44-45,Retail Trade,226622.0
Alabama,48-49,Transportation and Warehousing,60565.0
Alabama,51,Information,33839.0
Alabama,52,Finance and Insurance,69541.0
Alabama,53,Real Estate and Rental and Leasing,23103.0
Alabama,54,"Professional, Scientific, and Technical Services",101085.0
Alabama,55,Management of Companies and Enterprises,18822.0
Alabama,56,Administrative and Support and Waste Management and Remediation Services,152528.0
Alabama,61,Educational Services,26365.0
Alabama,62,Health Care and Social Assistance,252774.0
Alabama,71,"Arts, Entertainment, and Recreation",17533.0
Alabama,72,Accommodation and Food Services,186480.0
Alabama,81,Other Services (except Public Administration),81945.0
Alabama,99,Industries not classified,142.0
Alaska,--,Total,262075.0
Alaska,11,"Agriculture, Forestry, Fishing and Hunting",540.0
Alaska,21,"Mining, Quarrying, and Oil and Gas Extraction",9830.0
Alaska,22,Utilities,2070.0
Alaska,23,Construction,16732.0
Alaska,31-33,Manufacturing,12348.0
Alaska,42,Wholesale Trade,8787.0
Alaska,44-45,Retail Trade,33530.0
Alaska,48-49,Transportation and Warehousing,18993.0
Alaska,51,Information,6781.0
Alaska,52,Finance and Insurance,7352.0
Alaska,53,Real Estate and Rental and Leasing,4508.0
Alaska,54,"Professional, Scientific, and Technical Services",18380.0
Alaska,55,Management of Companies and Enterprises,6006.0
Alaska,56,Administrative and Support and Waste Management and Remediation Services,17987.0
Alaska,61,Educational Services,3308.0
Alaska,62,Health Care and Social Assistance,52228.0
Alaska,71,"Arts, Entertainment, and Recreation",4825.0
Alaska,72,Accommodation and Food Services,27820.0
Alaska,81,Other Services (except Public Administration),10022.0
Alaska,99,Industries not classified,28.0
Arizona,--,Total,2448538.0
Arizona,11,"Agriculture, Forestry, Fishing and Hunting",1934.0
Arizona,21,"Mining, Quarrying, and Oil and Gas Extraction",10994.0
Arizona,22,Utilities,12450.0
Arizona,23,Construction,148714.0
Arizona,31-33,Manufacturing,149174.0
Arizona,42,Wholesale Trade,95709.0
Arizona,44-45,Retail Trade,318161.0
Arizona,48-49,Transportation and Warehousing,93459.0
Arizona,51,Information,54882.0
Arizona,52,Finance and Insurance,165173.0
Arizona,53,Real Estate and Rental and Leasing,49921.0
Arizona,54,"Professional, Scientific, and Technical Services",149835.0
Arizona,55,Management of Companies and Enterprises,59741.0
Arizona,56,Administrative and Support and Waste Management and Remediation Services,268569.0
Arizona,61,Educational Services,60378.0
Arizona,62,Health Care and Social Assistance,371491.0
Arizona,71,"Arts, Entertainment, and Recreation",48565.0
Arizona,72,Accommodation and Food Services,299167.0
Arizona,81,Other Services (except Public Administration),89997.0
Arizona,99,Industries not classified,224.0
Arkansas,--,Total,1030593.0
Arkansas,11,"Agriculture, Forestry, Fishing and Hunting",5034.0
Arkansas,21,"Mining, Quarrying, and Oil and Gas Extraction",4240.0
Arkansas,22,Utilities,7321.0
Arkansas,23,Construction,46822.0
Arkansas,31-33,Manufacturing,156257.0
Arkansas,42,Wholesale Trade,50284.0
Arkansas,44-45,Retail Trade,140215.0
Arkansas,48-49,Transportation and Warehousing,51810.0
Arkansas,51,Information,24056.0
Arkansas,52,Finance and Insurance,37735.0
Arkansas,53,Real Estate and Rental and Leasing,12765.0
Arkansas,54,"Professional, Scientific, and Technical Services",37604.0
Arkansas,55,Management of Companies and Enterprises,40066.0
Arkansas,56,Administrative and Support and Waste Management and Remediation Services,62318.0
Arkansas,61,Educational Services,15934.0
Arkansas,62,Health Care and Social Assistance,179424.0
Arkansas,71,"Arts, Entertainment, and Recreation",10067.0
Arkansas,72,Accommodation and Food Services,107026.0
Arkansas,81,Other Services (except Public Administration),41506.0
Arkansas,99,Industries not classified,109.0
California,--,Total,14896625.0
California,11,"Agriculture, Forestry, Fishing and Hunting",28856.0
California,21,"Mining, Quarrying, and Oil and Gas Extraction",17982.0
California,22,Utilities,58586.0
California,23,Construction,754856.0
California,31-33,Manufacturing,1167502.0
California,42,Wholesale Trade,840423.0
California,44-45,Retail Trade,1680545.0
California,48-49,Transportation and Warehousing,536987.0
California,51,Information,660559.0
California,52,Finance and Insurance,618857.0
California,53,Real Estate and Rental and Leasing,297953.0
California,54,"Professional, Scientific, and Technical Services",1209633.0
California,55,Management of Companies and Enterprises,354312.0
California,56,Administrative and Support and Waste Management and Remediation Services,1562797.0
California,61,Educational Services,425846.0
California,62,Health Care and Social Assistance,2011358.0
California,71,"Arts, Entertainment, and Recreation",342338.0
California,72,Accommodation and Food Services,1735578.0
California,81,Other Services (except Public Administration),589526.0
California,99,Industries not classified,2131.0
Colorado,--,Total,2371694.0
Colorado,11,"Agriculture, Forestry, Fishing and Hunting",1732.0
Colorado,21,"Mining, Quarrying, and Oil and Gas Extraction",21129.0
Colorado,22,Utilities,10668.0
Colorado,23,Construction,160782.0
Colorado,31-33,Manufacturing,123930.0
Colorado,42,Wholesale Trade,101149.0
Colorado,44-45,Retail Trade,275646.0
Colorado,48-49,Transportation and Warehousing,70453.0
Colorado,51,Information,93608.0
Colorado,52,Finance and Insurance,116168.0
Colorado,53,Real Estate and Rental and Leasing,47250.0
Colorado,54,"Professional, Scientific, and Technical Services",192813.0
Colorado,55,Management of Companies and Enterprises,64170.0
Colorado,56,Administrative and Support and Waste Management and Remediation Services,266583.0
Colorado,61,Educational Services,51522.0
Colorado,62,Health Care and Social Assistance,315864.0
Colorado,71,"Arts, Entertainment, and Recreation",56769.0
Colorado,72,Accommodation and Food Services,291025.0
Colorado,81,Other Services (except Public Administration),110236.0
Colorado,99,Industries not classified,197.0
Connecticut,--,Total,1536858.0
Connecticut,11,"Agriculture, Forestry, Fishing and Hunting",317.0
Connecticut,21,"Mining, Quarrying, and Oil and Gas Extraction",675.0
Connecticut,22,Utilities,7779.0
Connecticut,23,Construction,54529.0
Connecticut,31-33,Manufacturing,155755.0
Connecticut,42,Wholesale Trade,75741.0
Connecticut,44-45,Retail Trade,185669.0
Connecticut,48-49,Transportation and Warehousing,43254.0
Connecticut,51,Information,41564.0
Connecticut,52,Finance and Insurance,119604.0
Connecticut,53,Real Estate and Rental and Leasing,20311.0
Connecticut,54,"Professional, Scientific, and Technical Services",103642.0
Connecticut,55,Management of Companies and Enterprises,32675.0
Connecticut,56,Administrative and Support and Waste Management and Remediation Services,88478.0
Connecticut,61,Educational Services,79171.0
Connecticut,62,Health Care and Social Assistance,290886.0
Connecticut,71,"Arts, Entertainment, and Recreation",29438.0
Connecticut,72,Accommodation and Food Services,146518.0
Connecticut,81,Other Services (except Public Administration),60751.0
Connecticut,99,Industries not classified,101.0
Delaware,--,Total,400714.0
Delaware,11,"Agriculture, Forestry, Fishing and Hunting",146.0
Delaware,21,"Mining, Quarrying, and Oil and Gas Extraction",105.0
