NAICS Code,NAICS Description,Total Employment,State
--,Total,111970095.0,United States
11,"Agriculture, forestry, fishing and hunting",156055.0,United States
21,"Mining, quarrying, and oil and gas extraction",581582.0,United States
22,Utilities,638058.0,United States
23,Construction,5389271.0,United States
31-33,Manufacturing,10862838.0,United States
42,Wholesale trade,5598507.0,United States
44-45,Retail trade,14496625.0,United States
48-49,Transportation and warehousing,4011989.0,United States
51,Information,3124036.0,United States
52,Finance and insurance,5928696.0,United States
53,Real estate and rental and leasing,1946424.0,United States
54,"Professional, scientific, and technical services",7822417.0,United States
55,Management of companies and enterprises,2832953.0,United States
56,Administrative and support and waste management and remediation services,8977265.0,United States
61,Educational services,3273527.0,United States
62,Health care and social assistance,17787859.0,United States
71,"Arts, entertainment, and recreation",2003595.0,United States
72,Accommodation and food services,11312122.0,United States
81,Other services (except public administration),5204445.0,United States
99,Industries not classified,0.0,United States
--,Total,1568111.0,Alabama
11,"Agriculture, forestry, fishing and hunting",5984.0,Alabama
21,"Mining, quarrying, and oil and gas extraction",7242.0,Alabama
22,Utilities,16546.0,Alabama
23,Construction,88587.0,Alabama
31-33,Manufacturing,229023.0,Alabama
42,Wholesale trade,70363.0,Alabama
44-45,Retail trade,224658.0,Alabama
48-49,Transportation and warehousing,54263.0,Alabama
51,Information,36392.0,Alabama
52,Finance and insurance,69426.0,Alabama
53,Real estate and rental and leasing,24841.0,Alabama
54,"Professional, scientific, and technical services",93848.0,Alabama
55,Management of companies and enterprises,16033.0,Alabama
56,Administrative and support and waste management and remediation services,117962.0,Alabama
61,Educational services,29605.0,Alabama
62,Health care and social assistance,236266.0,Alabama
71,"Arts, entertainment, and recreation",19434.0,Alabama
72,Accommodation and food services,146700.0,Alabama
81,Other services (except public administration),80690.0,Alabama
99,Industries not classified,248.0,Alabama
--,Total,254734.0,Alaska
11,"Agriculture, forestry, fishing and hunting",1137.0,Alaska
21,"Mining, quarrying, and oil and gas extraction",10847.0,Alaska
22,Utilities,1988.0,Alaska
23,Construction,18049.0,Alaska
31-33,Manufacturing,12716.0,Alaska
42,Wholesale trade,8681.0,Alaska
44-45,Retail trade,33387.0,Alaska
48-49,Transportation and warehousing,17974.0,Alaska
51,Information,6486.0,Alaska
52,Finance and insurance,7482.0,Alaska
53,Real estate and rental and leasing,5058.0,Alaska
54,"Professional, scientific, and technical services",17035.0,Alaska
55,Management of companies and enterprises,6403.0,Alaska
56,Administrative and support and waste management and remediation services,20449.0,Alaska
61,Educational services,2868.0,Alaska
62,Health care and social assistance,43303.0,Alaska
71,"Arts, entertainment, and recreation",4728.0,Alaska
72,Accommodation and food services,26237.0,Alaska
81,Other services (except public administration),9860.0,Alaska
99,Industries not classified,0.0,Alaska
--,Total,2065224.0,Arizona
11,"Agriculture, forestry, fishing and hunting",1285.0,Arizona
21,"Mining, quarrying, and oil and gas extraction",10414.0,Arizona
22,Utilities,0.0,Arizona
23,Construction,120663.0,Arizona
31-33,Manufacturing,137296.0,Arizona
42,Wholesale trade,89887.0,Arizona
44-45,Retail trade,304179.0,Arizona
48-49,Transportation and warehousing,70110.0,Arizona
51,Information,51567.0,Arizona
52,Finance and insurance,125436.0,Arizona
53,Real estate and rental and leasing,41992.0,Arizona
54,"Professional, scientific, and technical services",126771.0,Arizona
55,Management of companies and enterprises,42895.0,Arizona
56,Administrative and support and waste management and remediation services,206078.0,Arizona
61,Educational services,56233.0,Arizona
62,Health care and social assistance,308087.0,Arizona
71,"Arts, entertainment, and recreation",42571.0,Arizona
72,Accommodation and food services,235702.0,Arizona
81,Other services (except public administration),81205.0,Arizona
99,Industries not classified,0.0,Arizona
--,Total,965474.0,Arkansas
11,"Agriculture, forestry, fishing and hunting",4522.0,Arkansas
21,"Mining, quarrying, and oil and gas extraction",8823.0,Arkansas
22,Utilities,7362.0,Arkansas
23,Construction,43344.0,Arkansas
31-33,Manufacturing,155069.0,Arkansas
42,Wholesale trade,43250.0,Arkansas
44-45,Retail trade,134965.0,Arkansas
48-49,Transportation and warehousing,47030.0,Arkansas
51,Information,23782.0,Arkansas
52,Finance and insurance,36299.0,Arkansas
53,Real estate and rental and leasing,13407.0,Arkansas
54,"Professional, scientific, and technical services",33212.0,Arkansas
55,Management of companies and enterprises,36160.0,Arkansas
56,Administrative and support and waste management and remediation services,49991.0,Arkansas
61,Educational services,15882.0,Arkansas
62,Health care and social assistance,170323.0,Arkansas
71,"Arts, entertainment, and recreation",9077.0,Arkansas
72,Accommodation and food services,90391.0,Arkansas
81,Other services (except public administration),42418.0,Arkansas
99,Industries not classified,0.0,Arkansas
--,Total,12536402.0,California
11,"Agriculture, forestry, fishing and hunting",25423.0,California
21,"Mining, quarrying, and oil and gas extraction",21425.0,California
22,Utilities,0.0,California
23,Construction,584801.0,California
31-33,Manufacturing,1144382.0,California
42,Wholesale trade,790823.0,California
44-45,Retail trade,1484919.0,California
48-49,Transportation and warehousing,414859.0,California
51,Information,492737.0,California
52,Finance and insurance,569956.0,California
53,Real estate and rental and leasing,269325.0,California
54,"Professional, scientific, and technical services",1168416.0,California
55,Management of companies and enterprises,262493.0,California
56,Administrative and support and waste management and remediation services,1072487.0,California
61,Educational services,348371.0,California
62,Health care and social assistance,1685434.0,California
71,"Arts, entertainment, and recreation",294506.0,California
72,Accommodation and food services,1303442.0,California
81,Other services (except public administration),540180.0,California
99,Industries not classified,0.0,California
--,Total,1955336.0,Colorado
11,"Agriculture, forestry, fishing and hunting",1592.0,Colorado
21,"Mining, quarrying, and oil and gas extraction",23611.0,Colorado
22,Utilities,8837.0,Colorado
23,Construction,123601.0,Colorado
31-33,Manufacturing,112999.0,Colorado
42,Wholesale trade,91278.0,Colorado
44-45,Retail trade,240321.0,Colorado
48-49,Transportation and warehousing,57995.0,Colorado
51,Information,76940.0,Colorado
52,Finance and insurance,95393.0,Colorado
53,Real estate and rental and leasing,41723.0,Colorado
54,"Professional, scientific, and technical services",173597.0,Colorado
55,Management of companies and enterprises,44293.0,Colorado
56,Administrative and support and waste management and remediation services,202851.0,Colorado
61,Educational services,43321.0,Colorado
62,Health care and social assistance,250442.0,Colorado
71,"Arts, entertainment, and recreation",49899.0,Colorado
72,Accommodation and food services,219539.0,Colorado
81,Other services (except public administration),96720.0,Colorado
99,Industries not classified,384.0,Colorado
--,Total,1436992.0,Connecticut
11,"Agriculture, forestry, fishing and hunting",284.0,Connecticut
21,"Mining, quarrying, and oil and gas extraction",956.0,Connecticut
22,Utilities,0.0,Connecticut
23,Construction,50256.0,Connecticut
31-33,Manufacturing,152564.0,Connecticut
42,Wholesale trade,68349.0,Connecticut
44-45,Retail trade,178082.0,Connecticut
48-49,Transportation and warehousing,38290.0,Connecticut
51,Information,35874.0,Connecticut
52,Finance and insurance,121304.0,Connecticut
53,Real estate and rental and leasing,19637.0,Connecticut
54,"Professional, scientific, and technical services",98752.0,Connecticut
55,Management of companies and enterprises,38495.0,Connecticut
56,Administrative and support and waste management and remediation services,81067.0,Connecticut
61,Educational services,66451.0,Connecticut
62,Health care and social assistance,262337.0,Connecticut
71,"Arts, entertainment, and recreation",24203.0,Connecticut
72,Accommodation and food services,128680.0,Connecticut
81,Other services (except public administration),60716.0,Connecticut
99,Industries not classified,179.0,Connecticut
--,Total,359007.0,Delaware
11,"Agriculture, forestry, fishing and hunting",181.0,Delaware
21,"Mining, quarrying, and oil and gas extraction",43.0,Delaware
22,Utilities,2632.0,Delaware
23,Construction,18597.0,Delaware
31-33,Manufacturing,28485.0,Delaware
42,Wholesale trade,16834.0,Delaware
44-45,Retail trade,49932.0,Delaware
48-49,Transportation and warehousing,11346.0,Delaware
51,Information,7940.0,Delaware
