State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,108117731
United States,11,"Agriculture, forestry, fishing, & hunting",187149
United States,21,Mining,497849
United States,22,Utilities,682227
United States,23,Construction,5798942
United States,31-33,Manufacturing,16946142
United States,42,Wholesale trade,5885230
United States,44-45,Retail Trade,14241512
United States,48-49,Transportation & Warehousing,3462624
United States,51,Information,3142024
United States,52,Finance & insurance,5770339
United States,53,Real estate & rental & leasing,1812728
United States,54,"Professional, scientific, & technical services",6052365
United States,55,Management of companies & enterprises,2703799
United States,56,Administrative & support & waste management & remediation serv,7775033
United States,61,Educational services,2323817
United States,62,Health care & social assistance,13758395
United States,71,"Arts, entertainment, & recreation",1583836
United States,72,Accommodation & foodservices,9466660
United States,81,Other services (except public administration),5038717
United States,95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",916349
United States,99,Unclassified,71994
Alabama,--,Total,1604110
Alabama,11,"Agriculture, forestry, fishing, & hunting",9915
Alabama,21,Mining,8866
Alabama,22,Utilities,15851
Alabama,23,Construction,101012
Alabama,31-33,Manufacturing,352428
Alabama,42,Wholesale trade,79149
Alabama,44-45,Retail Trade,226505
Alabama,48-49,Transportation & Warehousing,46426
Alabama,51,Information,36874
Alabama,52,Finance & insurance,67933
Alabama,53,Real estate & rental & leasing,21708
Alabama,54,"Professional, scientific, & technical services",65196
Alabama,55,Management of companies & enterprises,21064
Alabama,56,Administrative & support & waste management & remediation serv,100378
Alabama,61,Educational services,18831
Alabama,62,Health care & social assistance,201123
Alabama,71,"Arts, entertainment, & recreation",[j]
Alabama,72,Accommodation & foodservices,127256
Alabama,81,Other services (except public administration),80066
Alabama,95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",9165
Alabama,99,Unclassified,[f]
Alaska,--,Total,196135
Alaska,11,"Agriculture, forestry, fishing, & hunting",1746
Alaska,21,Mining,8730
Alaska,22,Utilities,1762
Alaska,23,Construction,12915
Alaska,31-33,Manufacturing,12117
Alaska,42,Wholesale trade,7040
Alaska,44-45,Retail Trade,32186
Alaska,48-49,Transportation & Warehousing,17005
Alaska,51,Information,5385
Alaska,52,Finance & insurance,6956
Alaska,53,Real estate & rental & leasing,3776
Alaska,54,"Professional, scientific, & technical services",9497
Alaska,55,Management of companies & enterprises,1902
Alaska,56,Administrative & support & waste management & remediation serv,9881
Alaska,61,Educational services,2485
Alaska,62,Health care & social assistance,28919
Alaska,71,"Arts, entertainment, & recreation",2915
Alaska,72,Accommodation & foodservices,20086
Alaska,81,Other services (except public administration),9991
Alaska,95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",[f]
Alaska,99,Unclassified,[c]
Arizona,--,Total,1763508
Arizona,11,"Agriculture, forestry, fishing, & hunting",[g]
Arizona,21,Mining,13920
Arizona,22,Utilities,10923
Arizona,23,Construction,143411
Arizona,31-33,Manufacturing,199636
Arizona,42,Wholesale trade,84631
Arizona,44-45,Retail Trade,241097
Arizona,48-49,Transportation & Warehousing,57944
Arizona,51,Information,47195
Arizona,52,Finance & insurance,92132
Arizona,53,Real estate & rental & leasing,36342
Arizona,54,"Professional, scientific, & technical services",98558
Arizona,55,Management of companies & enterprises,40770
Arizona,56,Administrative & support & waste management & remediation serv,178828
Arizona,61,Educational services,20648
Arizona,62,Health care & social assistance,190111
