NAICS Code,Total Employment - 2001,MSA
--,48664.0,"Abilene, TX MSA"
21,693.0,"Abilene, TX MSA"
22,399.0,"Abilene, TX MSA"
23,2316.0,"Abilene, TX MSA"
31-33,3281.0,"Abilene, TX MSA"
42,2017.0,"Abilene, TX MSA"
44-45,7489.0,"Abilene, TX MSA"
48-49,1179.0,"Abilene, TX MSA"
51,1247.0,"Abilene, TX MSA"
52,2429.0,"Abilene, TX MSA"
53,816.0,"Abilene, TX MSA"
54,1305.0,"Abilene, TX MSA"
55,433.0,"Abilene, TX MSA"
56,2960.0,"Abilene, TX MSA"
61,2398.0,"Abilene, TX MSA"
62,10033.0,"Abilene, TX MSA"
71,654.0,"Abilene, TX MSA"
72,5772.0,"Abilene, TX MSA"
81,3091.0,"Abilene, TX MSA"
95,74.0,"Abilene, TX MSA"
--,298645.0,"Akron, OH MSA"
23,17343.0,"Akron, OH MSA"
31-33,50480.0,"Akron, OH MSA"
42,16786.0,"Akron, OH MSA"
44-45,39169.0,"Akron, OH MSA"
48-49,8259.0,"Akron, OH MSA"
51,5275.0,"Akron, OH MSA"
52,11434.0,"Akron, OH MSA"
53,4085.0,"Akron, OH MSA"
54,12894.0,"Akron, OH MSA"
55,15581.0,"Akron, OH MSA"
56,21184.0,"Akron, OH MSA"
61,4393.0,"Akron, OH MSA"
62,39721.0,"Akron, OH MSA"
71,4062.0,"Akron, OH MSA"
72,25566.0,"Akron, OH MSA"
81,14797.0,"Akron, OH MSA"
95,3999.0,"Akron, OH MSA"
99,152.0,"Akron, OH MSA"
--,279439.0,"Albuquerque, NM MSA"
23,24599.0,"Albuquerque, NM MSA"
31-33,23909.0,"Albuquerque, NM MSA"
42,13087.0,"Albuquerque, NM MSA"
44-45,38797.0,"Albuquerque, NM MSA"
52,15345.0,"Albuquerque, NM MSA"
54,18961.0,"Albuquerque, NM MSA"
56,23192.0,"Albuquerque, NM MSA"
62,37811.0,"Albuquerque, NM MSA"
72,30638.0,"Albuquerque, NM MSA"
81,12659.0,"Albuquerque, NM MSA"
--,47228.0,"Alexandria, LA MSA"
11,262.0,"Alexandria, LA MSA"
23,4501.0,"Alexandria, LA MSA"
31-33,3299.0,"Alexandria, LA MSA"
42,1770.0,"Alexandria, LA MSA"
44-45,7248.0,"Alexandria, LA MSA"
