NAICS Code,Total Employment - 2005,State
--,116317003.0,United States
11,168744.0,United States
21,497272.0,United States
22,633106.0,United States
23,6781327.0,United States
31-33,13667337.0,United States
42,5968929.0,United States
44-45,15338672.0,United States
48-49,4168016.0,United States
51,3402599.0,United States
52,6431837.0,United States
53,2144077.0,United States
54,7689366.0,United States
55,2856418.0,United States
56,9280282.0,United States
61,2879374.0,United States
62,16025147.0,United States
71,1936484.0,United States
72,11025909.0,United States
81,5390954.0,United States
99,31153.0,United States
--,1667526.0,Alabama
11,6955.0,Alabama
21,7427.0,Alabama
22,20254.0,Alabama
23,105850.0,Alabama
31-33,282136.0,Alabama
42,78099.0,Alabama
44-45,237503.0,Alabama
48-49,58881.0,Alabama
51,37341.0,Alabama
52,77144.0,Alabama
53,23860.0,Alabama
54,95543.0,Alabama
55,18159.0,Alabama
56,118430.0,Alabama
61,25390.0,Alabama
62,228797.0,Alabama
71,16286.0,Alabama
72,145447.0,Alabama
81,83752.0,Alabama
99,272.0,Alabama
--,231088.0,Alaska
21,6780.0,Alaska
22,1721.0,Alaska
23,19353.0,Alaska
31-33,9860.0,Alaska
42,8239.0,Alaska
44-45,34897.0,Alaska
48-49,18549.0,Alaska
51,7824.0,Alaska
52,7836.0,Alaska
53,4443.0,Alaska
54,12014.0,Alaska
55,3018.0,Alaska
56,17003.0,Alaska
61,2709.0,Alaska
62,37476.0,Alaska
71,4215.0,Alaska
72,23939.0,Alaska
81,10209.0,Alaska
--,2159823.0,Arizona
11,1531.0,Arizona
21,8882.0,Arizona
22,10415.0,Arizona
23,211584.0,Arizona
31-33,167886.0,Arizona
42,95027.0,Arizona
44-45,306113.0,Arizona
48-49,72724.0,Arizona
51,51772.0,Arizona
52,131283.0,Arizona
53,48118.0,Arizona
54,118943.0,Arizona
55,56054.0,Arizona
56,221178.0,Arizona
61,38802.0,Arizona
62,252401.0,Arizona
71,43895.0,Arizona
72,238838.0,Arizona
81,83946.0,Arizona
99,431.0,Arizona
--,1017424.0,Arkansas
11,5413.0,Arkansas
21,3999.0,Arkansas
22,7059.0,Arkansas
23,49959.0,Arkansas
31-33,198288.0,Arkansas
42,49206.0,Arkansas
44-45,140465.0,Arkansas
48-49,61474.0,Arkansas
51,24579.0,Arkansas
52,37092.0,Arkansas
53,12612.0,Arkansas
54,36141.0,Arkansas
55,32869.0,Arkansas
56,50044.0,Arkansas
61,12572.0,Arkansas
62,154792.0,Arkansas
72,86916.0,Arkansas
81,44474.0,Arkansas
--,13382470.0,California
11,23719.0,California
21,19651.0,California
22,59422.0,California
23,865810.0,California
31-33,1450372.0,California
42,816186.0,California
44-45,1651973.0,California
48-49,448607.0,California
51,509258.0,California
52,703282.0,California
53,317240.0,California
54,1192324.0,California
55,296155.0,California
56,1061489.0,California
61,301561.0,California
62,1507717.0,California
71,298786.0,California
72,1285138.0,California
81,569480.0,California
99,4300.0,California
--,1936264.0,Colorado
11,1418.0,Colorado
21,16191.0,Colorado
22,8013.0,Colorado
23,152212.0,Colorado
31-33,135832.0,Colorado
42,98511.0,Colorado
44-45,249433.0,Colorado
48-49,59969.0,Colorado
51,79149.0,Colorado
52,102599.0,Colorado
53,46058.0,Colorado
54,155267.0,Colorado
55,41930.0,Colorado
56,170950.0,Colorado
61,35311.0,Colorado
62,221956.0,Colorado
71,44714.0,Colorado
72,222283.0,Colorado
81,94085.0,Colorado
99,383.0,Colorado
--,1529827.0,Connecticut
21,911.0,Connecticut
22,9947.0,Connecticut
23,62362.0,Connecticut
