State,NAICS Code,Total Employment - 2012
United States,--,115938468
United States,11,161077
United States,21,727626
United States,22,641063
United States,23,5260942
United States,31-33,11192043
United States,42,5776243
United States,44-45,14807958
United States,48-49,4233381
United States,51,3136025
United States,52,5979661
United States,53,1940681
United States,54,8016181
United States,55,3037299
United States,56,9866296
United States,61,3477047
United States,62,18378342
United States,71,2057290
United States,72,11985274
United States,81,5256250
United States,99,0
Alabama,--,1585761
Alabama,11,6028
Alabama,21,9388
Alabama,22,16342
Alabama,23,77901
Alabama,31-33,232510
Alabama,42,71121
Alabama,44-45,222992
Alabama,48-49,56594
Alabama,51,31770
Alabama,52,70913
Alabama,53,22689
Alabama,54,90224
Alabama,55,19756
Alabama,56,138781
Alabama,61,28889
Alabama,62,237705
Alabama,71,17540
Alabama,72,155254
Alabama,81,79302
Alabama,99,0
Alaska,--,258219
Alaska,11,1029
Alaska,21,12833
Alaska,22,2063
Alaska,23,18058
Alaska,31-33,11935
Alaska,42,8533
Alaska,44-45,32888
Alaska,48-49,17617
Alaska,51,6645
Alaska,52,7377
Alaska,53,4548
Alaska,54,17455
Alaska,55,6257
Alaska,56,19285
Alaska,61,3361
Alaska,62,47453
Alaska,71,4877
Alaska,72,26160
Alaska,81,9837
Alaska,99,0
Arizona,--,2134252
Arizona,11,1490
Arizona,21,10839
Arizona,22,12905
Arizona,23,118824
Arizona,31-33,138205
Arizona,42,92425
Arizona,44-45,287369
Arizona,48-49,79507
Arizona,51,44531
Arizona,52,131233
Arizona,53,42434
Arizona,54,124293
Arizona,55,46803
Arizona,56,228209
Arizona,61,77837
Arizona,62,317929
Arizona,71,40197
Arizona,72,255022
Arizona,81,84101
Arizona,99,0
Arkansas,--,978519
Arkansas,11,4444
Arkansas,21,9488
Arkansas,22,7552
Arkansas,23,43079
Arkansas,31-33,155336
Arkansas,42,43431
Arkansas,44-45,137209
Arkansas,48-49,49281
Arkansas,51,22863
Arkansas,52,36374
Arkansas,53,12945
Arkansas,54,32693
Arkansas,55,39242
Arkansas,56,55266
Arkansas,61,17297
Arkansas,62,165215
Arkansas,71,9026
Arkansas,72,95396
Arkansas,81,42312
Arkansas,99,0
California,--,12952818
California,11,27692
California,21,24459
California,22,0
California,23,566131
California,31-33,1138370
California,42,806841
California,44-45,1539979
California,48-49,439204
California,51,537357
California,52,586829
California,53,274643
California,54,1128912
California,55,285828
California,56,1167386
California,61,381636
California,62,1742808
California,71,293032
California,72,1398509
California,81,549507
California,99,1029
Colorado,--,2035803
Colorado,11,1521
Colorado,21,28958
Colorado,22,8911
Colorado,23,115908
Colorado,31-33,120250
Colorado,42,91414
Colorado,44-45,244702
Colorado,48-49,60750
Colorado,51,80030
Colorado,52,96889
Colorado,53,39878
Colorado,54,177810
Colorado,55,50015
Colorado,56,218357
Colorado,61,45416
Colorado,62,264818
Colorado,71,47615
Colorado,72,244653
Colorado,81,97813
Colorado,99,0
Connecticut,--,1463732
Connecticut,11,338
Connecticut,21,1111
Connecticut,22,0
Connecticut,23,49438
Connecticut,31-33,153757
Connecticut,42,72424
Connecticut,44-45,183809
Connecticut,48-49,39996
Connecticut,51,36542
Connecticut,52,115456
Connecticut,53,18753
Connecticut,54,102622
Connecticut,55,36011
Connecticut,56,90045
Connecticut,61,66005
Connecticut,62,268876
Connecticut,71,25460
Connecticut,72,134280
Connecticut,81,59762
Connecticut,99,55
Delaware,--,363688
Delaware,11,119
Delaware,21,114
Delaware,22,2466
Delaware,23,17123
Delaware,31-33,26712
Delaware,42,16055
Delaware,44-45,51783
Delaware,48-49,11689
Delaware,51,6607
Delaware,52,37496
Delaware,53,5485
Delaware,54,26600
Delaware,55,10610
Delaware,56,26981
Delaware,61,6420
Delaware,62,59704
Delaware,71,6912
Delaware,72,36000
Delaware,81,14783
Delaware,99,0
