State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,121069944.0
United States,11,"Agriculture, Forestry, Fishing and Hunting",156363.0
United States,21,"Mining, Quarrying, and Oil and Gas Extraction",758971.0
United States,22,Utilities,637840.0
United States,23,Construction,5705146.0
United States,31-33,Manufacturing,11424251.0
United States,42,Wholesale Trade,5966747.0
United States,44-45,Retail Trade,15372632.0
United States,48-49,Transportation and Warehousing,4406767.0
United States,51,Information,3364530.0
United States,52,Finance and Insurance,6078713.0
United States,53,Real Estate and Rental and Leasing,2021372.0
United States,54,"Professional, Scientific, and Technical Services",8619574.0
United States,55,Management of Companies and Enterprises,3235958.0
United States,56,Administrative and Support and Waste Management and Remediation Services,10579324.0
United States,61,Educational Services,3562364.0
United States,62,Health Care and Social Assistance,18852038.0
United States,71,"Arts, Entertainment, and Recreation",2170121.0
United States,72,Accommodation and Food Services,12791928.0
United States,81,Other Services (except Public Administration),5347121.0
United States,99,Industries not classified,0.0
Alabama,--,Total,1604016.0
Alabama,11,"Agriculture, Forestry, Fishing and Hunting",6413.0
Alabama,21,"Mining, Quarrying, and Oil and Gas Extraction",7001.0
Alabama,22,Utilities,0.0
Alabama,23,Construction,77743.0
Alabama,31-33,Manufacturing,243899.0
Alabama,42,Wholesale Trade,71724.0
Alabama,44-45,Retail Trade,227977.0
Alabama,48-49,Transportation and Warehousing,59186.0
Alabama,51,Information,33189.0
Alabama,52,Finance and Insurance,70052.0
Alabama,53,Real Estate and Rental and Leasing,22975.0
Alabama,54,"Professional, Scientific, and Technical Services",93495.0
Alabama,55,Management of Companies and Enterprises,18500.0
Alabama,56,Administrative and Support and Waste Management and Remediation Services,129311.0
Alabama,61,Educational Services,25217.0
Alabama,62,Health Care and Social Assistance,236675.0
Alabama,71,"Arts, Entertainment, and Recreation",17030.0
Alabama,72,Accommodation and Food Services,165836.0
Alabama,81,Other Services (except Public Administration),80861.0
Alabama,99,Industries not classified,0.0
Alaska,--,Total,266886.0
Alaska,11,"Agriculture, Forestry, Fishing and Hunting",1003.0
Alaska,21,"Mining, Quarrying, and Oil and Gas Extraction",12752.0
Alaska,22,Utilities,2085.0
Alaska,23,Construction,20222.0
Alaska,31-33,Manufacturing,12846.0
Alaska,42,Wholesale Trade,9479.0
Alaska,44-45,Retail Trade,33677.0
Alaska,48-49,Transportation and Warehousing,18678.0
Alaska,51,Information,6799.0
Alaska,52,Finance and Insurance,7512.0
Alaska,53,Real Estate and Rental and Leasing,4420.0
Alaska,54,"Professional, Scientific, and Technical Services",18959.0
Alaska,55,Management of Companies and Enterprises,7359.0
Alaska,56,Administrative and Support and Waste Management and Remediation Services,18321.0
Alaska,61,Educational Services,2825.0
Alaska,62,Health Care and Social Assistance,47152.0
Alaska,71,"Arts, Entertainment, and Recreation",4950.0
Alaska,72,Accommodation and Food Services,27694.0
Alaska,81,Other Services (except Public Administration),10116.0
Alaska,99,Industries not classified,0.0
Arizona,--,Total,2241077.0
Arizona,11,"Agriculture, Forestry, Fishing and Hunting",1430.0
Arizona,21,"Mining, Quarrying, and Oil and Gas Extraction",11920.0
Arizona,22,Utilities,12265.0
Arizona,23,Construction,131133.0
Arizona,31-33,Manufacturing,140517.0
Arizona,42,Wholesale Trade,91700.0
Arizona,44-45,Retail Trade,306601.0
Arizona,48-49,Transportation and Warehousing,84449.0
Arizona,51,Information,46118.0
Arizona,52,Finance and Insurance,136738.0
Arizona,53,Real Estate and Rental and Leasing,43538.0
Arizona,54,"Professional, Scientific, and Technical Services",142438.0
Arizona,55,Management of Companies and Enterprises,47891.0
Arizona,56,Administrative and Support and Waste Management and Remediation Services,257224.0
Arizona,61,Educational Services,60583.0
Arizona,62,Health Care and Social Assistance,325753.0
Arizona,71,"Arts, Entertainment, and Recreation",42507.0
Arizona,72,Accommodation and Food Services,272779.0
Arizona,81,Other Services (except Public Administration),85244.0
Arizona,99,Industries not classified,0.0
Arkansas,--,Total,992201.0
Arkansas,11,"Agriculture, Forestry, Fishing and Hunting",4538.0
Arkansas,21,"Mining, Quarrying, and Oil and Gas Extraction",8101.0
Arkansas,22,Utilities,7478.0
Arkansas,23,Construction,41363.0
Arkansas,31-33,Manufacturing,153715.0
Arkansas,42,Wholesale Trade,43907.0
Arkansas,44-45,Retail Trade,141256.0
Arkansas,48-49,Transportation and Warehousing,50142.0
Arkansas,51,Information,25782.0
Arkansas,52,Finance and Insurance,36294.0
Arkansas,53,Real Estate and Rental and Leasing,13397.0
Arkansas,54,"Professional, Scientific, and Technical Services",37324.0
Arkansas,55,Management of Companies and Enterprises,36533.0
Arkansas,56,Administrative and Support and Waste Management and Remediation Services,57121.0
Arkansas,61,Educational Services,15849.0
Arkansas,62,Health Care and Social Assistance,170306.0
Arkansas,71,"Arts, Entertainment, and Recreation",9215.0
Arkansas,72,Accommodation and Food Services,98592.0
Arkansas,81,Other Services (except Public Administration),41124.0
Arkansas,99,Industries not classified,0.0
California,--,Total,13838702.0
California,11,"Agriculture, Forestry, Fishing and Hunting",26328.0
California,21,"Mining, Quarrying, and Oil and Gas Extraction",27276.0
California,22,Utilities,0.0
California,23,Construction,644977.0
California,31-33,Manufacturing,1149707.0
California,42,Wholesale Trade,840397.0
California,44-45,Retail Trade,1638332.0
California,48-49,Transportation and Warehousing,463483.0
California,51,Information,645036.0
California,52,Finance and Insurance,585304.0
California,53,Real Estate and Rental and Leasing,281169.0
California,54,"Professional, Scientific, and Technical Services",1226321.0
California,55,Management of Companies and Enterprises,302742.0
California,56,Administrative and Support and Waste Management and Remediation Services,1300624.0
California,61,Educational Services,395407.0
California,62,Health Care and Social Assistance,1818568.0
California,71,"Arts, Entertainment, and Recreation",321658.0
California,72,Accommodation and Food Services,1537438.0
California,81,Other Services (except Public Administration),568661.0
California,99,Industries not classified,0.0
Colorado,--,Total,2181455.0
Colorado,11,"Agriculture, Forestry, Fishing and Hunting",1693.0
Colorado,21,"Mining, Quarrying, and Oil and Gas Extraction",30741.0
Colorado,22,Utilities,0.0
Colorado,23,Construction,135889.0
Colorado,31-33,Manufacturing,120963.0
Colorado,42,Wholesale Trade,94793.0
Colorado,44-45,Retail Trade,262395.0
Colorado,48-49,Transportation and Warehousing,65352.0
Colorado,51,Information,83495.0
Colorado,52,Finance and Insurance,103532.0
Colorado,53,Real Estate and Rental and Leasing,41061.0
Colorado,54,"Professional, Scientific, and Technical Services",193812.0
Colorado,55,Management of Companies and Enterprises,55878.0
Colorado,56,Administrative and Support and Waste Management and Remediation Services,236838.0
Colorado,61,Educational Services,50399.0
Colorado,62,Health Care and Social Assistance,279544.0
Colorado,71,"Arts, Entertainment, and Recreation",52402.0
Colorado,72,Accommodation and Food Services,260852.0
Colorado,81,Other Services (except Public Administration),101857.0
Colorado,99,Industries not classified,0.0
Connecticut,--,Total,1485426.0
Connecticut,11,"Agriculture, Forestry, Fishing and Hunting",288.0
Connecticut,21,"Mining, Quarrying, and Oil and Gas Extraction",1903.0
Connecticut,22,Utilities,0.0
Connecticut,23,Construction,51805.0
Connecticut,31-33,Manufacturing,151363.0
Connecticut,42,Wholesale Trade,71695.0
Connecticut,44-45,Retail Trade,186153.0
Connecticut,48-49,Transportation and Warehousing,41152.0
Connecticut,51,Information,40951.0
Connecticut,52,Finance and Insurance,113514.0
Connecticut,53,Real Estate and Rental and Leasing,19023.0
Connecticut,54,"Professional, Scientific, and Technical Services",103077.0
Connecticut,55,Management of Companies and Enterprises,34685.0
Connecticut,56,Administrative and Support and Waste Management and Remediation Services,85222.0
Connecticut,61,Educational Services,74744.0
Connecticut,62,Health Care and Social Assistance,276251.0
Connecticut,71,"Arts, Entertainment, and Recreation",27620.0
Connecticut,72,Accommodation and Food Services,138818.0
Connecticut,81,Other Services (except Public Administration),59213.0
Connecticut,99,Industries not classified,0.0
Delaware,--,Total,391636.0
Delaware,11,"Agriculture, Forestry, Fishing and Hunting",120.0
Delaware,21,"Mining, Quarrying, and Oil and Gas Extraction",161.0
Delaware,22,Utilities,2375.0
Delaware,23,Construction,18489.0
Delaware,31-33,Manufacturing,25665.0
Delaware,42,Wholesale Trade,16148.0
Delaware,44-45,Retail Trade,54479.0
Delaware,48-49,Transportation and Warehousing,13313.0
Delaware,51,Information,8280.0
Delaware,52,Finance and Insurance,39140.0
Delaware,53,Real Estate and Rental and Leasing,6135.0
Delaware,54,"Professional, Scientific, and Technical Services",33125.0
Delaware,55,Management of Companies and Enterprises,15455.0
Delaware,56,Administrative and Support and Waste Management and Remediation Services,26555.0
Delaware,61,Educational Services,6668.0
Delaware,62,Health Care and Social Assistance,64183.0
Delaware,71,"Arts, Entertainment, and Recreation",8758.0
Delaware,72,Accommodation and Food Services,37808.0
Delaware,81,Other Services (except Public Administration),14740.0
Delaware,99,Industries not classified,0.0
District of Columbia,--,Total,495453.0
District of Columbia,11,"Agriculture, Forestry, Fishing and Hunting",0.0
District of Columbia,21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
District of Columbia,22,Utilities,0.0
District of Columbia,23,Construction,9131.0
District of Columbia,31-33,Manufacturing,940.0
District of Columbia,42,Wholesale Trade,4429.0
District of Columbia,44-45,Retail Trade,21074.0
District of Columbia,48-49,Transportation and Warehousing,2861.0
District of Columbia,51,Information,22222.0
District of Columbia,52,Finance and Insurance,17363.0
District of Columbia,53,Real Estate and Rental and Leasing,10850.0
District of Columbia,54,"Professional, Scientific, and Technical Services",99978.0
District of Columbia,55,Management of Companies and Enterprises,11760.0
District of Columbia,56,Administrative and Support and Waste Management and Remediation Services,30590.0
District of Columbia,61,Educational Services,49292.0
District of Columbia,62,Health Care and Social Assistance,66564.0
District of Columbia,71,"Arts, Entertainment, and Recreation",7207.0
District of Columbia,72,Accommodation and Food Services,64885.0
District of Columbia,81,Other Services (except Public Administration),74269.0
District of Columbia,99,Industries not classified,0.0
Florida,--,Total,7441584.0
Florida,11,"Agriculture, Forestry, Fishing and Hunting",9051.0
Florida,21,"Mining, Quarrying, and Oil and Gas Extraction",4343.0
Florida,22,Utilities,26665.0
Florida,23,Construction,336909.0
Florida,31-33,Manufacturing,290647.0
