State,NAICS Code,Total Employment - 2015
United States,--,124085947
United States,11,160144
United States,21,743660
United States,22,639234
United States,23,6008286
United States,31-33,11605501
United States,42,6076109
United States,44-45,15704167
United States,48-49,4616568
United States,51,3394317
United States,52,6135914
United States,53,2065427
United States,54,8798260
United States,55,3308759
United States,56,11112465
United States,61,3642170
United States,62,19221864
United States,71,2230822
United States,72,13196892
United States,81,5401233
United States,99,24155
Alabama,--,1634391
Alabama,11,6597
Alabama,21,7442
Alabama,22,17415
Alabama,23,79220
Alabama,31-33,248033
Alabama,42,71347
Alabama,44-45,231788
Alabama,48-49,58578
Alabama,51,32939
Alabama,52,69400
Alabama,53,23229
Alabama,54,96861
Alabama,55,19180
Alabama,56,134919
Alabama,61,25886
Alabama,62,241618
Alabama,71,17449
Alabama,72,171391
Alabama,81,80793
Alabama,99,306
Alaska,--,267999
Alaska,11,819
Alaska,21,13566
Alaska,22,2081
Alaska,23,18581
Alaska,31-33,12294
Alaska,42,9125
Alaska,44-45,35221
Alaska,48-49,18736
Alaska,51,6711
Alaska,52,7340
Alaska,53,4455
Alaska,54,18662
Alaska,55,7821
Alaska,56,17628
Alaska,61,3025
Alaska,62,49240
Alaska,71,4639
Alaska,72,28112
Alaska,81,9867
Alaska,99,76
Arizona,--,2295186
Arizona,11,1610
Arizona,21,11941
Arizona,22,12448
Arizona,23,133038
Arizona,31-33,140742
Arizona,42,92335
Arizona,44-45,314461
Arizona,48-49,87151
Arizona,51,49040
Arizona,52,141104
Arizona,53,45027
Arizona,54,144711
Arizona,55,53144
Arizona,56,256103
Arizona,61,57650
Arizona,62,338701
Arizona,71,45977
Arizona,72,282120
Arizona,81,87510
Arizona,99,373
Arkansas,--,1003113
Arkansas,11,4773
Arkansas,21,7163
Arkansas,22,7341
Arkansas,23,43465
Arkansas,31-33,155487
Arkansas,42,44463
Arkansas,44-45,143230
Arkansas,48-49,52637
Arkansas,51,24670
Arkansas,52,36327
Arkansas,53,12440
Arkansas,54,36828
Arkansas,55,37991
Arkansas,56,60761
Arkansas,61,15724
Arkansas,62,168568
Arkansas,71,9385
Arkansas,72,100906
Arkansas,81,40757
Arkansas,99,197
California,--,14325377
California,11,26336
California,21,24380
California,22,59668
California,23,686757
California,31-33,1162646
California,42,854203
California,44-45,1690005
California,48-49,486149
California,51,684853
California,52,591037
California,53,286606
California,54,1258225
California,55,315604
California,56,1389206
California,61,414712
California,62,1873857
California,71,332743
California,72,1609306
California,81,575034
California,99,4050
Colorado,--,2253795
Colorado,11,1548
Colorado,21,30018
Colorado,22,10592
Colorado,23,145088
Colorado,31-33,121335
Colorado,42,100067
Colorado,44-45,272567
Colorado,48-49,69739
Colorado,51,81017
Colorado,52,105193
Colorado,53,43329
Colorado,54,191456
Colorado,55,57014
Colorado,56,251026
Colorado,61,50283
Colorado,62,292970
Colorado,71,55061
Colorado,72,270647
Colorado,81,104477
Colorado,99,368
Connecticut,--,1503102
Connecticut,11,281
Connecticut,21,902
Connecticut,22,7542
Connecticut,23,54690
Connecticut,31-33,149359
Connecticut,42,72994
Connecticut,44-45,184465
Connecticut,48-49,41807
Connecticut,51,40729
Connecticut,52,122420
Connecticut,53,19902
Connecticut,54,108017
Connecticut,55,33327
Connecticut,56,85640
Connecticut,61,74626
Connecticut,62,277966
Connecticut,71,27767
Connecticut,72,141384
Connecticut,81,59036
Connecticut,99,248
Delaware,--,397385
Delaware,11,131
Delaware,21,213
Delaware,22,2374
Delaware,23,19468
Delaware,31-33,26420
Delaware,42,15520
Delaware,44-45,55070
Delaware,48-49,14153
Delaware,51,6684
Delaware,52,42783
Delaware,53,6095
Delaware,54,31486
Delaware,55,12337
Delaware,56,28429
Delaware,61,6925
Delaware,62,66496
Delaware,71,8650
Delaware,72,39289
Delaware,81,14798
Delaware,99,64
District of Columbia,--,513002
District of Columbia,11,0
District of Columbia,21,6
District of Columbia,22,2106
District of Columbia,23,9314
District of Columbia,31-33,1013
District of Columbia,42,4455
District of Columbia,44-45,21999
District of Columbia,48-49,3076
District of Columbia,51,24055
District of Columbia,52,17156
District of Columbia,53,11067
District of Columbia,54,100443
District of Columbia,55,14734
District of Columbia,56,32087
District of Columbia,61,53247
District of Columbia,62,66439
District of Columbia,71,7801
District of Columbia,72,68875
District of Columbia,81,75051
District of Columbia,99,77
Florida,--,7777990
Florida,11,9271
Florida,21,3943
Florida,22,27063
Florida,23,363780
Florida,31-33,298117
Florida,42,313865
Florida,44-45,1070533
Florida,48-49,238271
Florida,51,165788
Florida,52,344804
Florida,53,163133
Florida,54,487877
Florida,55,145099
Florida,56,1509292
Florida,61,170670
Florida,62,1049304
Florida,71,192635
Florida,72,908180
Florida,81,315424
Florida,99,941
Georgia,--,3692490
Georgia,11,7530
Georgia,21,5435
Georgia,22,24886
Georgia,23,164767
Georgia,31-33,365088
Georgia,42,204669
Georgia,44-45,468517
Georgia,48-49,176600
Georgia,51,118864
Georgia,52,173080
Georgia,53,59555
Georgia,54,252351
Georgia,55,124169
Georgia,56,377195
Georgia,61,83713
Georgia,62,478276
Georgia,71,46741
Georgia,72,403873
Georgia,81,156605
Georgia,99,576
Hawaii,--,523677
Hawaii,11,165
Hawaii,21,167
Hawaii,22,3688
Hawaii,23,29518
Hawaii,31-33,12449
Hawaii,42,18856
Hawaii,44-45,71688
Hawaii,48-49,29911
Hawaii,51,8116
Hawaii,52,18975
Hawaii,53,12735
Hawaii,54,22734
Hawaii,55,6258
Hawaii,56,60148
Hawaii,61,16832
Hawaii,62,69873
Hawaii,71,11289
Hawaii,72,104743
Hawaii,81,25471
Hawaii,99,61
Idaho,--,546524
Idaho,11,3431
Idaho,21,2832
Idaho,22,3606
Idaho,23,34903
Idaho,31-33,57884
Idaho,42,30283
Idaho,44-45,82400
Idaho,48-49,18419
Idaho,51,11917
Idaho,52,21637
Idaho,53,7190
Idaho,54,33003
Idaho,55,8368
Idaho,56,39518
Idaho,61,13649
Idaho,62,89070
Idaho,71,9180
Idaho,72,59491
Idaho,81,19631
Idaho,99,112
Illinois,--,5427549
Illinois,11,1988
Illinois,21,9497
Illinois,22,28014
Illinois,23,198152
Illinois,31-33,540999
Illinois,42,316297
Illinois,44-45,626903
Illinois,48-49,242399
Illinois,51,123407
Illinois,52,334298
Illinois,53,76489
Illinois,54,403049
Illinois,55,208258
Illinois,56,518574
Illinois,61,167097
Illinois,62,796016
Illinois,71,79139
Illinois,72,506747
Illinois,81,249650
Illinois,99,576
Indiana,--,2660503
Indiana,11,1445
Indiana,21,6036
Indiana,22,15667
Indiana,23,117203
Indiana,31-33,489137
Indiana,42,129252
Indiana,44-45,317863
Indiana,48-49,123332
Indiana,51,42870
Indiana,52,98502
Indiana,53,32599
Indiana,54,111959
Indiana,55,51319
Indiana,56,206965
Indiana,61,68282
Indiana,62,418733
Indiana,71,33471
Indiana,72,269899
Indiana,81,125707
Indiana,99,262
Iowa,--,1338418
Iowa,11,2574
Iowa,21,2003
Iowa,22,8012
Iowa,23,64083
Iowa,31-33,211610
Iowa,42,67914
Iowa,44-45,184663
Iowa,48-49,55985
Iowa,51,30607
Iowa,52,93674
Iowa,53,12891
Iowa,54,55059
Iowa,55,24037
Iowa,56,77330
Iowa,61,37085
Iowa,62,219531
Iowa,71,19792
Iowa,72,118733
Iowa,81,52699
Iowa,99,136
Kansas,--,1189876
Kansas,11,1011
Kansas,21,10012
Kansas,22,7291
Kansas,23,63486
Kansas,31-33,167014
Kansas,42,63422
Kansas,44-45,150465
Kansas,48-49,52669
Kansas,51,34674
Kansas,52,61271
Kansas,53,14950
Kansas,54,64246
Kansas,55,26671
Kansas,56,77049
Kansas,61,20871
Kansas,62,193684
Kansas,71,15304
Kansas,72,113938
Kansas,81,51664
Kansas,99,184
Kentucky,--,1579477
Kentucky,11,1313
Kentucky,21,14068
Kentucky,22,8413
Kentucky,23,65891
Kentucky,31-33,232007
Kentucky,42,72254
Kentucky,44-45,207315
Kentucky,48-49,92858
Kentucky,51,35992
Kentucky,52,73587
Kentucky,53,17217
Kentucky,54,72731
Kentucky,55,30671
Kentucky,56,119443
Kentucky,61,28599
Kentucky,62,253185
Kentucky,71,16931
Kentucky,72,170344
Kentucky,81,65799
Kentucky,99,859
Louisiana,--,1724973
Louisiana,11,4156
Louisiana,21,54643
Louisiana,22,11082
Louisiana,23,138482
Louisiana,31-33,125354
Louisiana,42,78235
Louisiana,44-45,238174
Louisiana,48-49,72841
Louisiana,51,26261
Louisiana,52,63015
Louisiana,53,31900
Louisiana,54,105778
Louisiana,55,23468
Louisiana,56,104599
Louisiana,61,44026
Louisiana,62,289548
Louisiana,71,25160
Louisiana,72,212407
Louisiana,81,75598
Louisiana,99,246
Maine,--,500549
Maine,11,3358
Maine,21,77
Maine,22,2121
Maine,23,23601
Maine,31-33,50316
Maine,42,17643
Maine,44-45,82303
Maine,48-49,15160
Maine,51,11250
Maine,52,27149
Maine,53,6323
Maine,54,22832
Maine,55,8888
Maine,56,23346
Maine,61,18543
Maine,62,109725
Maine,71,7948
Maine,72,51406
Maine,81,18425
Maine,99,135
Maryland,--,2239817
Maryland,11,1253
Maryland,21,1077
Maryland,22,9515
Maryland,23,143706
Maryland,31-33,97575
Maryland,42,87739
Maryland,44-45,290304
Maryland,48-49,69414
Maryland,51,50918
Maryland,52,100070
Maryland,53,44031
Maryland,54,273594
Maryland,55,51252
Maryland,56,191693
Maryland,61,82558
Maryland,62,366774
Maryland,71,42519
Maryland,72,220945
Maryland,81,114523
Maryland,99,357
Massachusetts,--,3167329
Massachusetts,11,1028
Massachusetts,21,855
Massachusetts,22,12572
Massachusetts,23,124019
