FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
10020.0,"Abbeville, LA Micropolitan Statistical Area",--,Total,9221
10020.0,"Abbeville, LA Micropolitan Statistical Area",11,"Forestry, Fishing, Hunting, and Agriculture Support",[b]
10020.0,"Abbeville, LA Micropolitan Statistical Area",21,Mining,346
10020.0,"Abbeville, LA Micropolitan Statistical Area",22,Utilities,[b]
10020.0,"Abbeville, LA Micropolitan Statistical Area",23,Construction,854
10020.0,"Abbeville, LA Micropolitan Statistical Area",31-33,Manufacturing,792
10020.0,"Abbeville, LA Micropolitan Statistical Area",42,Wholesale Trade,538
10020.0,"Abbeville, LA Micropolitan Statistical Area",44-45,Retail Trade,2138
10020.0,"Abbeville, LA Micropolitan Statistical Area",48-49,Transportation and Warehousing,424
10020.0,"Abbeville, LA Micropolitan Statistical Area",51,Information,165
10020.0,"Abbeville, LA Micropolitan Statistical Area",52,Finance and Insurance,415
10020.0,"Abbeville, LA Micropolitan Statistical Area",53,Real Estate and Rental and Leasing,68
10020.0,"Abbeville, LA Micropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",289
10020.0,"Abbeville, LA Micropolitan Statistical Area",55,Management of Companies and Enterprises,[b]
10020.0,"Abbeville, LA Micropolitan Statistical Area",56,Administrative and Support and Waste Management and Remediation Services,172
10020.0,"Abbeville, LA Micropolitan Statistical Area",61,Educational Services,104
10020.0,"Abbeville, LA Micropolitan Statistical Area",62,Health Care and Social Assistance,1440
10020.0,"Abbeville, LA Micropolitan Statistical Area",71,"Arts, Entertainment, and Recreation",76
10020.0,"Abbeville, LA Micropolitan Statistical Area",72,Accommodation and Food Services,827
10020.0,"Abbeville, LA Micropolitan Statistical Area",81,Other Services (except Public Administration),453
10020.0,"Abbeville, LA Micropolitan Statistical Area",99,Unclassified,[a]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",--,Total,17152
10100.0,"Aberdeen, SD Micropolitan Statistical Area",11,"Forestry, Fishing, Hunting, and Agriculture Support",[a]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",21,Mining,[b]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",22,Utilities,[c]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",23,Construction,[f]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",31-33,Manufacturing,[g]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",42,Wholesale Trade,1057
10100.0,"Aberdeen, SD Micropolitan Statistical Area",44-45,Retail Trade,2923
10100.0,"Aberdeen, SD Micropolitan Statistical Area",48-49,Transportation and Warehousing,268
10100.0,"Aberdeen, SD Micropolitan Statistical Area",51,Information,[e]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",52,Finance and Insurance,1123
10100.0,"Aberdeen, SD Micropolitan Statistical Area",53,Real Estate and Rental and Leasing,232
10100.0,"Aberdeen, SD Micropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",501
10100.0,"Aberdeen, SD Micropolitan Statistical Area",55,Management of Companies and Enterprises,[c]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",56,Administrative and Support and Waste Management and Remediation Services,1210
10100.0,"Aberdeen, SD Micropolitan Statistical Area",61,Educational Services,[e]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",62,Health Care and Social Assistance,2888
10100.0,"Aberdeen, SD Micropolitan Statistical Area",71,"Arts, Entertainment, and Recreation",[c]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",72,Accommodation and Food Services,1983
10100.0,"Aberdeen, SD Micropolitan Statistical Area",81,Other Services (except Public Administration),950
10100.0,"Aberdeen, SD Micropolitan Statistical Area",99,Unclassified,[a]
10140.0,"Aberdeen, WA Micropolitan Statistical Area",--,Total,18344
10140.0,"Aberdeen, WA Micropolitan Statistical Area",11,"Forestry, Fishing, Hunting, and Agriculture Support",1056
10140.0,"Aberdeen, WA Micropolitan Statistical Area",22,Utilities,[a]
10140.0,"Aberdeen, WA Micropolitan Statistical Area",23,Construction,1217
10140.0,"Aberdeen, WA Micropolitan Statistical Area",31-33,Manufacturing,3513
10140.0,"Aberdeen, WA Micropolitan Statistical Area",42,Wholesale Trade,867
10140.0,"Aberdeen, WA Micropolitan Statistical Area",44-45,Retail Trade,2991
10140.0,"Aberdeen, WA Micropolitan Statistical Area",48-49,Transportation and Warehousing,520
10140.0,"Aberdeen, WA Micropolitan Statistical Area",51,Information,376
10140.0,"Aberdeen, WA Micropolitan Statistical Area",52,Finance and Insurance,710
10140.0,"Aberdeen, WA Micropolitan Statistical Area",53,Real Estate and Rental and Leasing,312
10140.0,"Aberdeen, WA Micropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",452
10140.0,"Aberdeen, WA Micropolitan Statistical Area",55,Management of Companies and Enterprises,31
10140.0,"Aberdeen, WA Micropolitan Statistical Area",56,Administrative and Support and Waste Management and Remediation Services,335
10140.0,"Aberdeen, WA Micropolitan Statistical Area",61,Educational Services,[b]
10140.0,"Aberdeen, WA Micropolitan Statistical Area",62,Health Care and Social Assistance,2613
10140.0,"Aberdeen, WA Micropolitan Statistical Area",71,"Arts, Entertainment, and Recreation",264
10140.0,"Aberdeen, WA Micropolitan Statistical Area",72,Accommodation and Food Services,2228
10140.0,"Aberdeen, WA Micropolitan Statistical Area",81,Other Services (except Public Administration),805
