State,NAICS Code,NAICS Description,Total Employment
California,61,Educational Services,422749.0
California,62,Health Care and Social Assistance,1928468.0
California,71,"Arts, Entertainment, and Recreation",338705.0
California,72,Accommodation and Food Services,1671180.0
California,81,Other Services (except Public Administration),586153.0
California,99,Industries not classified,3984.0
Colorado,--,Total,2318190.0
Colorado,11,"Agriculture, Forestry, Fishing and Hunting",1931.0
Colorado,21,"Mining, Quarrying, and Oil and Gas Extraction",22684.0
Colorado,22,Utilities,10868.0
Colorado,23,Construction,152325.0
Colorado,31-33,Manufacturing,121428.0
Colorado,42,Wholesale Trade,102986.0
Colorado,44-45,Retail Trade,281435.0
Colorado,48-49,Transportation and Warehousing,67489.0
Colorado,51,Information,86918.0
Colorado,52,Finance and Insurance,106462.0
Colorado,53,Real Estate and Rental and Leasing,45440.0
Colorado,54,"Professional, Scientific, and Technical Services",194466.0
Colorado,55,Management of Companies and Enterprises,60073.0
Colorado,56,Administrative and Support and Waste Management and Remediation Services,256339.0
Colorado,61,Educational Services,51155.0
Colorado,62,Health Care and Social Assistance,307955.0
Colorado,71,"Arts, Entertainment, and Recreation",58086.0
Colorado,72,Accommodation and Food Services,282483.0
Colorado,81,Other Services (except Public Administration),107296.0
Colorado,99,Industries not classified,371.0
Connecticut,--,Total,1533879.0
Connecticut,11,"Agriculture, Forestry, Fishing and Hunting",334.0
Connecticut,21,"Mining, Quarrying, and Oil and Gas Extraction",931.0
Connecticut,22,Utilities,7438.0
Connecticut,23,Construction,58249.0
Connecticut,31-33,Manufacturing,155579.0
Connecticut,42,Wholesale Trade,73356.0
Connecticut,44-45,Retail Trade,186979.0
Connecticut,48-49,Transportation and Warehousing,43315.0
Connecticut,51,Information,37781.0
Connecticut,52,Finance and Insurance,126081.0
Connecticut,53,Real Estate and Rental and Leasing,20237.0
Connecticut,54,"Professional, Scientific, and Technical Services",106207.0
Connecticut,55,Management of Companies and Enterprises,34199.0
Connecticut,56,Administrative and Support and Waste Management and Remediation Services,85639.0
Connecticut,61,Educational Services,76423.0
Connecticut,62,Health Care and Social Assistance,285014.0
Connecticut,71,"Arts, Entertainment, and Recreation",28450.0
Connecticut,72,Accommodation and Food Services,146476.0
Connecticut,81,Other Services (except Public Administration),60983.0
Connecticut,99,Industries not classified,208.0
Delaware,--,Total,400069.0
Delaware,11,"Agriculture, Forestry, Fishing and Hunting",124.0
Delaware,21,"Mining, Quarrying, and Oil and Gas Extraction",135.0
Delaware,22,Utilities,2200.0
Delaware,23,Construction,20158.0
Delaware,31-33,Manufacturing,27189.0
Delaware,42,Wholesale Trade,16853.0
Delaware,44-45,Retail Trade,56173.0
Delaware,48-49,Transportation and Warehousing,14338.0
Delaware,51,Information,6766.0
Delaware,52,Finance and Insurance,42232.0
Delaware,53,Real Estate and Rental and Leasing,6537.0
Delaware,54,"Professional, Scientific, and Technical Services",29556.0
Delaware,55,Management of Companies and Enterprises,8245.0
Delaware,56,Administrative and Support and Waste Management and Remediation Services,29380.0
Delaware,61,Educational Services,7204.0
Delaware,62,Health Care and Social Assistance,67806.0
Delaware,71,"Arts, Entertainment, and Recreation",8754.0
Delaware,72,Accommodation and Food Services,41458.0
Delaware,81,Other Services (except Public Administration),14887.0
Delaware,99,Industries not classified,74.0
District of Columbia,--,Total,526879.0
District of Columbia,11,"Agriculture, Forestry, Fishing and Hunting",0.0
District of Columbia,21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
District of Columbia,22,Utilities,1820.0
District of Columbia,23,Construction,10049.0
District of Columbia,31-33,Manufacturing,1258.0
District of Columbia,42,Wholesale Trade,4702.0
District of Columbia,44-45,Retail Trade,22143.0
District of Columbia,48-49,Transportation and Warehousing,3875.0
District of Columbia,51,Information,22834.0
District of Columbia,52,Finance and Insurance,17729.0
District of Columbia,53,Real Estate and Rental and Leasing,12340.0
District of Columbia,54,"Professional, Scientific, and Technical Services",102780.0
District of Columbia,55,Management of Companies and Enterprises,18452.0
District of Columbia,56,Administrative and Support and Waste Management and Remediation Services,33333.0
District of Columbia,61,Educational Services,49847.0
District of Columbia,62,Health Care and Social Assistance,68675.0
District of Columbia,71,"Arts, Entertainment, and Recreation",9565.0
District of Columbia,72,Accommodation and Food Services,72186.0
District of Columbia,81,Other Services (except Public Administration),75210.0
District of Columbia,99,Industries not classified,78.0
Florida,--,Total,8169642.0
Florida,11,"Agriculture, Forestry, Fishing and Hunting",9051.0
Florida,21,"Mining, Quarrying, and Oil and Gas Extraction",3747.0
Florida,22,Utilities,26487.0
Florida,23,Construction,397243.0
Florida,31-33,Manufacturing,306700.0
Florida,42,Wholesale Trade,318689.0
Florida,44-45,Retail Trade,1088564.0
Florida,48-49,Transportation and Warehousing,248639.0
Florida,51,Information,167490.0
Florida,52,Finance and Insurance,355395.0
Florida,53,Real Estate and Rental and Leasing,164836.0
Florida,54,"Professional, Scientific, and Technical Services",499518.0
Florida,55,Management of Companies and Enterprises,153650.0
Florida,56,Administrative and Support and Waste Management and Remediation Services,1707780.0
Florida,61,Educational Services,174121.0
Florida,62,Health Care and Social Assistance,1086559.0
Florida,71,"Arts, Entertainment, and Recreation",198688.0
Florida,72,Accommodation and Food Services,935554.0
Florida,81,Other Services (except Public Administration),326030.0
Florida,99,Industries not classified,901.0
Georgia,--,Total,3804433.0
Georgia,11,"Agriculture, Forestry, Fishing and Hunting",7729.0
Georgia,21,"Mining, Quarrying, and Oil and Gas Extraction",4501.0
Georgia,22,Utilities,24832.0
Georgia,23,Construction,171834.0
Georgia,31-33,Manufacturing,367902.0
Georgia,42,Wholesale Trade,211958.0
Georgia,44-45,Retail Trade,485488.0
Georgia,48-49,Transportation and Warehousing,182614.0
Georgia,51,Information,120699.0
Georgia,52,Finance and Insurance,177532.0
Georgia,53,Real Estate and Rental and Leasing,62742.0
Georgia,54,"Professional, Scientific, and Technical Services",263554.0
Georgia,55,Management of Companies and Enterprises,131006.0
Georgia,56,Administrative and Support and Waste Management and Remediation Services,379545.0
Georgia,61,Educational Services,85987.0
