State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,114064976
United States,11,"Agriculture, forestry, fishing, & hunting",183565
United States,21,Mining,456128
United States,22,Utilities,655230
United States,23,Construction,6572800
United States,31-33,Manufacturing,16473994
United States,42,Wholesale trade,6112029
United States,44-45,Retail Trade,14840775
United States,48-49,Transportation & Warehousing,3790002
United States,51,Information,3545731
United States,52,Finance & insurance,5963426
United States,53,Real estate & rental & leasing,1942046
United States,54,"Professional, scientific, & technical services",6816216
United States,55,Management of companies & enterprises,2873521
United States,56,Administrative & support & waste management & remediation serv,9138100
United States,61,Educational services,2532324
United States,62,Health care & social assistance,14108655
United States,71,"Arts, entertainment, & recreation",1741497
United States,72,Accommodation & foodservices,9880923
United States,81,Other services (except public administration),5293399
United States,95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",1001015
United States,99,Unclassified,143600
Alabama,--,Total,1653074
Alabama,11,"Agriculture, forestry, fishing, & hunting",8789
Alabama,21,Mining,7286
Alabama,22,Utilities,14616
Alabama,23,Construction,107151
Alabama,31-33,Manufacturing,333782
Alabama,42,Wholesale trade,82141
Alabama,44-45,Retail Trade,229599
Alabama,48-49,Transportation & Warehousing,49273
Alabama,51,Information,39670
Alabama,52,Finance & insurance,73598
Alabama,53,Real estate & rental & leasing,23122
Alabama,54,"Professional, scientific, & technical services",72572
Alabama,55,Management of companies & enterprises,24065
Alabama,56,Administrative & support & waste management & remediation serv,124939
Alabama,61,Educational services,20055
Alabama,62,Health care & social assistance,201822
Alabama,71,"Arts, entertainment, & recreation",14339
Alabama,72,Accommodation & foodservices,129601
Alabama,81,Other services (except public administration),84009
Alabama,95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",10977
Alabama,99,Unclassified,1668
Alaska,--,Total,204887
Alaska,11,"Agriculture, forestry, fishing, & hunting",1946
Alaska,21,Mining,7742
Alaska,22,Utilities,1810
Alaska,23,Construction,14741
Alaska,31-33,Manufacturing,11258
Alaska,42,Wholesale trade,7285
Alaska,44-45,Retail Trade,33300
Alaska,48-49,Transportation & Warehousing,17869
Alaska,51,Information,6029
Alaska,52,Finance & insurance,5717
Alaska,53,Real estate & rental & leasing,3963
Alaska,54,"Professional, scientific, & technical services",10918
Alaska,55,Management of companies & enterprises,2284
Alaska,56,Administrative & support & waste management & remediation serv,10280
Alaska,61,Educational services,2641
Alaska,62,Health care & social assistance,31188
Alaska,71,"Arts, entertainment, & recreation",2734
Alaska,72,Accommodation & foodservices,21402
Alaska,81,Other services (except public administration),10783
