State,NAICS Code,Total Employment - 2017
United States,--,128591812
United States,11,164046
United States,21,578098
United States,22,644703
United States,23,6533061
United States,31-33,11721785
United States,42,6115476
United States,44-45,15705808
United States,48-49,4866282
United States,51,3507966
United States,52,6408168
United States,53,2148006
United States,54,8905549
United States,55,3462498
United States,56,11897056
United States,61,3688541
United States,62,20241438
United States,71,2368928
United States,72,14088211
United States,81,5534978
United States,99,11214
Alabama,--,1690061
Alabama,11,6320
Alabama,21,4797
Alabama,22,14174
Alabama,23,82972
Alabama,31-33,254603
Alabama,42,75851
Alabama,44-45,226622
Alabama,48-49,60565
Alabama,51,33839
Alabama,52,69541
Alabama,53,23103
Alabama,54,101085
Alabama,55,18822
Alabama,56,152528
Alabama,61,26365
Alabama,62,252774
Alabama,71,17533
Alabama,72,186480
Alabama,81,81945
Alabama,99,142
Alaska,--,262075
Alaska,11,540
Alaska,21,9830
Alaska,22,2070
Alaska,23,16732
Alaska,31-33,12348
Alaska,42,8787
Alaska,44-45,33530
Alaska,48-49,18993
Alaska,51,6781
Alaska,52,7352
Alaska,53,4508
Alaska,54,18380
Alaska,55,6006
Alaska,56,17987
Alaska,61,3308
Alaska,62,52228
Alaska,71,4825
Alaska,72,27820
Alaska,81,10022
Alaska,99,28
Arizona,--,2448538
Arizona,11,1934
Arizona,21,10994
Arizona,22,12450
Arizona,23,148714
Arizona,31-33,149174
Arizona,42,95709
Arizona,44-45,318161
Arizona,48-49,93459
Arizona,51,54882
Arizona,52,165173
Arizona,53,49921
Arizona,54,149835
Arizona,55,59741
Arizona,56,268569
Arizona,61,60378
Arizona,62,371491
Arizona,71,48565
Arizona,72,299167
Arizona,81,89997
Arizona,99,224
Arkansas,--,1030593
Arkansas,11,5034
Arkansas,21,4240
Arkansas,22,7321
Arkansas,23,46822
Arkansas,31-33,156257
Arkansas,42,50284
Arkansas,44-45,140215
Arkansas,48-49,51810
Arkansas,51,24056
Arkansas,52,37735
Arkansas,53,12765
Arkansas,54,37604
Arkansas,55,40066
Arkansas,56,62318
Arkansas,61,15934
Arkansas,62,179424
Arkansas,71,10067
Arkansas,72,107026
Arkansas,81,41506
Arkansas,99,109
California,--,14896625
California,11,28856
California,21,17982
California,22,58586
California,23,754856
California,31-33,1167502
California,42,840423
California,44-45,1680545
California,48-49,536987
California,51,660559
California,52,618857
California,53,297953
California,54,1209633
California,55,354312
California,56,1562797
California,61,425846
California,62,2011358
California,71,342338
California,72,1735578
California,81,589526
California,99,2131
Colorado,--,2371694
Colorado,11,1732
Colorado,21,21129
Colorado,22,10668
