NAICS Code,NAICS Description,Total Employment,State
11,"Agriculture, forestry, fishing and hunting",539.0,New Hampshire
21,"Mining, quarrying, and oil and gas extraction",181.0,New Hampshire
22,Utilities,3487.0,New Hampshire
23,Construction,24112.0,New Hampshire
31-33,Manufacturing,71259.0,New Hampshire
42,Wholesale trade,25195.0,New Hampshire
44-45,Retail trade,97524.0,New Hampshire
48-49,Transportation and warehousing,12295.0,New Hampshire
51,Information,15123.0,New Hampshire
52,Finance and insurance,25617.0,New Hampshire
53,Real estate and rental and leasing,6636.0,New Hampshire
54,"Professional, scientific, and technical services",31241.0,New Hampshire
55,Management of companies and enterprises,9949.0,New Hampshire
56,Administrative and support and waste management and remediation services,45511.0,New Hampshire
61,Educational services,29670.0,New Hampshire
62,Health care and social assistance,84913.0,New Hampshire
71,"Arts, entertainment, and recreation",13032.0,New Hampshire
72,Accommodation and food services,50848.0,New Hampshire
81,Other services (except public administration),20866.0,New Hampshire
99,Industries not classified,45.0,New Hampshire
--,Total,3443211.0,New Jersey
11,"Agriculture, forestry, fishing and hunting",1557.0,New Jersey
21,"Mining, quarrying, and oil and gas extraction",1354.0,New Jersey
22,Utilities,18014.0,New Jersey
23,Construction,144254.0,New Jersey
31-33,Manufacturing,252418.0,New Jersey
42,Wholesale trade,256966.0,New Jersey
44-45,Retail trade,444550.0,New Jersey
48-49,Transportation and warehousing,157812.0,New Jersey
51,Information,104497.0,New Jersey
52,Finance and insurance,201941.0,New Jersey
53,Real estate and rental and leasing,60291.0,New Jersey
54,"Professional, scientific, and technical services",325784.0,New Jersey
55,Management of companies and enterprises,127570.0,New Jersey
56,Administrative and support and waste management and remediation services,261766.0,New Jersey
61,Educational services,92523.0,New Jersey
62,Health care and social assistance,514099.0,New Jersey
71,"Arts, entertainment, and recreation",52128.0,New Jersey
72,Accommodation and food services,277222.0,New Jersey
81,Other services (except public administration),148178.0,New Jersey
99,Industries not classified,0.0,New Jersey
--,Total,615879.0,New Mexico
11,"Agriculture, forestry, fishing and hunting",468.0,New Mexico
21,"Mining, quarrying, and oil and gas extraction",17424.0,New Mexico
22,Utilities,5194.0,New Mexico
23,Construction,47354.0,New Mexico
31-33,Manufacturing,28623.0,New Mexico
42,Wholesale trade,21779.0,New Mexico
44-45,Retail trade,97027.0,New Mexico
48-49,Transportation and warehousing,16830.0,New Mexico
51,Information,13704.0,New Mexico
52,Finance and insurance,24255.0,New Mexico
53,Real estate and rental and leasing,10836.0,New Mexico
54,"Professional, scientific, and technical services",47801.0,New Mexico
55,Management of companies and enterprises,6187.0,New Mexico
56,Administrative and support and waste management and remediation services,41906.0,New Mexico
61,Educational services,9855.0,New Mexico
62,Health care and social assistance,106196.0,New Mexico
71,"Arts, entertainment, and recreation",14338.0,New Mexico
72,Accommodation and food services,78904.0,New Mexico
81,Other services (except public administration),27129.0,New Mexico
99,Industries not classified,69.0,New Mexico
--,Total,7332392.0,New York
11,"Agriculture, forestry, fishing and hunting",3271.0,New York
21,"Mining, quarrying, and oil and gas extraction",3626.0,New York
22,Utilities,40787.0,New York
23,Construction,319755.0,New York
31-33,Manufacturing,462496.0,New York
42,Wholesale trade,369767.0,New York
44-45,Retail trade,859320.0,New York
48-49,Transportation and warehousing,225441.0,New York
51,Information,278367.0,New York
52,Finance and insurance,545967.0,New York
53,Real estate and rental and leasing,164510.0,New York
54,"Professional, scientific, and technical services",580129.0,New York
55,Management of companies and enterprises,172163.0,New York
56,Administrative and support and waste management and remediation services,470973.0,New York
61,Educational services,363805.0,New York
62,Health care and social assistance,1364923.0,New York
71,"Arts, entertainment, and recreation",153017.0,New York
72,Accommodation and food services,603709.0,New York
81,Other services (except public administration),349276.0,New York
99,Industries not classified,0.0,New York
--,Total,3353931.0,North Carolina
11,"Agriculture, forestry, fishing and hunting",4208.0,North Carolina
21,"Mining, quarrying, and oil and gas extraction",3097.0,North Carolina
22,Utilities,18677.0,North Carolina
23,Construction,197282.0,North Carolina
31-33,Manufacturing,439637.0,North Carolina
42,Wholesale trade,168381.0,North Carolina
44-45,Retail trade,447417.0,North Carolina
48-49,Transportation and warehousing,108082.0,North Carolina
51,Information,77163.0,North Carolina
52,Finance and insurance,169721.0,North Carolina
53,Real estate and rental and leasing,48187.0,North Carolina
54,"Professional, scientific, and technical services",180238.0,North Carolina
55,Management of companies and enterprises,75895.0,North Carolina
56,Administrative and support and waste management and remediation services,246195.0,North Carolina
61,Educational services,84944.0,North Carolina
62,Health care and social assistance,539670.0,North Carolina
71,"Arts, entertainment, and recreation",55117.0,North Carolina
72,Accommodation and food services,343309.0,North Carolina
81,Other services (except public administration),146319.0,North Carolina
99,Industries not classified,0.0,North Carolina
--,Total,296083.0,North Dakota
11,"Agriculture, forestry, fishing and hunting",466.0,North Dakota
21,"Mining, quarrying, and oil and gas extraction",6920.0,North Dakota
22,Utilities,0.0,North Dakota
23,Construction,16952.0,North Dakota
31-33,Manufacturing,24350.0,North Dakota
42,Wholesale trade,18698.0,North Dakota
44-45,Retail trade,44573.0,North Dakota
48-49,Transportation and warehousing,11644.0,North Dakota
51,Information,7635.0,North Dakota
52,Finance and insurance,18066.0,North Dakota
53,Real estate and rental and leasing,3709.0,North Dakota
54,"Professional, scientific, and technical services",10648.0,North Dakota
55,Management of companies and enterprises,9354.0,North Dakota
56,Administrative and support and waste management and remediation services,11819.0,North Dakota
61,Educational services,4548.0,North Dakota
62,Health care and social assistance,53196.0,North Dakota
71,"Arts, entertainment, and recreation",5003.0,North Dakota
72,Accommodation and food services,31533.0,North Dakota
81,Other services (except public administration),12930.0,North Dakota
99,Industries not classified,0.0,North Dakota
--,Total,4460553.0,Ohio
11,"Agriculture, forestry, fishing and hunting",1280.0,Ohio
21,"Mining, quarrying, and oil and gas extraction",9784.0,Ohio
22,Utilities,0.0,Ohio
23,Construction,178933.0,Ohio
31-33,Manufacturing,638489.0,Ohio
42,Wholesale trade,218619.0,Ohio
44-45,Retail trade,560684.0,Ohio
48-49,Transportation and warehousing,154071.0,Ohio
51,Information,93948.0,Ohio
52,Finance and insurance,248027.0,Ohio
53,Real estate and rental and leasing,62513.0,Ohio
54,"Professional, scientific, and technical services",231276.0,Ohio
55,Management of companies and enterprises,143767.0,Ohio
56,Administrative and support and waste management and remediation services,301903.0,Ohio
61,Educational services,110631.0,Ohio
62,Health care and social assistance,779678.0,Ohio
71,"Arts, entertainment, and recreation",59596.0,Ohio
72,Accommodation and food services,431343.0,Ohio
81,Other services (except public administration),208666.0,Ohio
99,Industries not classified,0.0,Ohio
--,Total,1290278.0,Oklahoma
11,"Agriculture, forestry, fishing and hunting",916.0,Oklahoma
21,"Mining, quarrying, and oil and gas extraction",43778.0,Oklahoma
22,Utilities,9799.0,Oklahoma
23,Construction,72601.0,Oklahoma
31-33,Manufacturing,134603.0,Oklahoma
42,Wholesale trade,59935.0,Oklahoma
44-45,Retail trade,173845.0,Oklahoma
48-49,Transportation and warehousing,43718.0,Oklahoma
51,Information,30299.0,Oklahoma
52,Finance and insurance,62339.0,Oklahoma
53,Real estate and rental and leasing,24969.0,Oklahoma
54,"Professional, scientific, and technical services",64443.0,Oklahoma
55,Management of companies and enterprises,28878.0,Oklahoma
56,Administrative and support and waste management and remediation services,90074.0,Oklahoma
61,Educational services,19016.0,Oklahoma
62,Health care and social assistance,206966.0,Oklahoma
71,"Arts, entertainment, and recreation",28422.0,Oklahoma
72,Accommodation and food services,133853.0,Oklahoma
81,Other services (except public administration),61627.0,Oklahoma
99,Industries not classified,0.0,Oklahoma
--,Total,1363826.0,Oregon
11,"Agriculture, forestry, fishing and hunting",10560.0,Oregon
21,"Mining, quarrying, and oil and gas extraction",1352.0,Oregon
22,Utilities,7772.0,Oregon
23,Construction,76311.0,Oregon
31-33,Manufacturing,152428.0,Oregon
42,Wholesale trade,83014.0,Oregon
44-45,Retail trade,186447.0,Oregon
48-49,Transportation and warehousing,52312.0,Oregon
51,Information,36633.0,Oregon
52,Finance and insurance,62617.0,Oregon
53,Real estate and rental and leasing,27815.0,Oregon
54,"Professional, scientific, and technical services",79963.0,Oregon
55,Management of companies and enterprises,38118.0,Oregon
56,Administrative and support and waste management and remediation services,73434.0,Oregon
61,Educational services,40930.0,Oregon
62,Health care and social assistance,202862.0,Oregon
71,"Arts, entertainment, and recreation",24071.0,Oregon
72,Accommodation and food services,145213.0,Oregon
81,Other services (except public administration),61781.0,Oregon
99,Industries not classified,0.0,Oregon
--,Total,5044648.0,Pennsylvania
11,"Agriculture, forestry, fishing and hunting",2804.0,Pennsylvania
21,"Mining, quarrying, and oil and gas extraction",20519.0,Pennsylvania
22,Utilities,31960.0,Pennsylvania
23,Construction,233626.0,Pennsylvania
31-33,Manufacturing,574683.0,Pennsylvania
42,Wholesale trade,239033.0,Pennsylvania
44-45,Retail trade,654782.0,Pennsylvania
48-49,Transportation and warehousing,197104.0,Pennsylvania
51,Information,125923.0,Pennsylvania
52,Finance and insurance,271629.0,Pennsylvania
53,Real estate and rental and leasing,63863.0,Pennsylvania
54,"Professional, scientific, and technical services",313439.0,Pennsylvania
55,Management of companies and enterprises,143068.0,Pennsylvania
56,Administrative and support and waste management and remediation services,268898.0,Pennsylvania
61,Educational services,241017.0,Pennsylvania
62,Health care and social assistance,917808.0,Pennsylvania
71,"Arts, entertainment, and recreation",82903.0,Pennsylvania
72,Accommodation and food services,420075.0,Pennsylvania
81,Other services (except public administration),241149.0,Pennsylvania
99,Industries not classified,0.0,Pennsylvania
--,Total,413584.0,Rhode Island
11,"Agriculture, forestry, fishing and hunting",0.0,Rhode Island
21,"Mining, quarrying, and oil and gas extraction",135.0,Rhode Island
22,Utilities,1157.0,Rhode Island
23,Construction,18354.0,Rhode Island
31-33,Manufacturing,44008.0,Rhode Island
42,Wholesale trade,21369.0,Rhode Island
44-45,Retail trade,47032.0,Rhode Island
48-49,Transportation and warehousing,10086.0,Rhode Island
51,Information,7412.0,Rhode Island
52,Finance and insurance,27763.0,Rhode Island
53,Real estate and rental and leasing,6775.0,Rhode Island
54,"Professional, scientific, and technical services",23351.0,Rhode Island
55,Management of companies and enterprises,11028.0,Rhode Island
56,Administrative and support and waste management and remediation services,21855.0,Rhode Island
61,Educational services,25122.0,Rhode Island
62,Health care and social assistance,81450.0,Rhode Island
71,"Arts, entertainment, and recreation",7841.0,Rhode Island
72,Accommodation and food services,41255.0,Rhode Island
81,Other services (except public administration),17454.0,Rhode Island
99,Industries not classified,42.0,Rhode Island
--,Total,1542825.0,South Carolina
11,"Agriculture, forestry, fishing and hunting",4011.0,South Carolina
21,"Mining, quarrying, and oil and gas extraction",1104.0,South Carolina
22,Utilities,12113.0,South Carolina
23,Construction,95350.0,South Carolina
31-33,Manufacturing,223092.0,South Carolina
42,Wholesale trade,62299.0,South Carolina
44-45,Retail trade,224033.0,South Carolina
48-49,Transportation and warehousing,52543.0,South Carolina
51,Information,34417.0,South Carolina
52,Finance and insurance,67278.0,South Carolina
53,Real estate and rental and leasing,26554.0,South Carolina
54,"Professional, scientific, and technical services",76487.0,South Carolina
55,Management of companies and enterprises,23945.0,South Carolina
56,Administrative and support and waste management and remediation services,115782.0,South Carolina
61,Educational services,29943.0,South Carolina
62,Health care and social assistance,212766.0,South Carolina
71,"Arts, entertainment, and recreation",23950.0,South Carolina
72,Accommodation and food services,179928.0,South Carolina
81,Other services (except public administration),77056.0,South Carolina
99,Industries not classified,174.0,South Carolina
--,Total,330517.0,South Dakota
11,"Agriculture, forestry, fishing and hunting",508.0,South Dakota
21,"Mining, quarrying, and oil and gas extraction",854.0,South Dakota
22,Utilities,2177.0,South Dakota
23,Construction,18280.0,South Dakota
31-33,Manufacturing,40477.0,South Dakota
42,Wholesale trade,16367.0,South Dakota
44-45,Retail trade,50335.0,South Dakota
48-49,Transportation and warehousing,9068.0,South Dakota
51,Information,7501.0,South Dakota
52,Finance and insurance,27542.0,South Dakota
53,Real estate and rental and leasing,3642.0,South Dakota
54,"Professional, scientific, and technical services",11048.0,South Dakota
55,Management of companies and enterprises,5367.0,South Dakota
56,Administrative and support and waste management and remediation services,11688.0,South Dakota
61,Educational services,7724.0,South Dakota
62,Health care and social assistance,60812.0,South Dakota
71,"Arts, entertainment, and recreation",6241.0,South Dakota
72,Accommodation and food services,36242.0,South Dakota
81,Other services (except public administration),14577.0,South Dakota
99,Industries not classified,67.0,South Dakota
--,Total,2317986.0,Tennessee
11,"Agriculture, forestry, fishing and hunting",1271.0,Tennessee
21,"Mining, quarrying, and oil and gas extraction",3348.0,Tennessee
22,Utilities,3551.0,Tennessee
23,Construction,104214.0,Tennessee
31-33,Manufacturing,311239.0,Tennessee
42,Wholesale trade,114284.0,Tennessee
44-45,Retail trade,307847.0,Tennessee
48-49,Transportation and warehousing,127380.0,Tennessee
51,Information,49981.0,Tennessee
52,Finance and insurance,114742.0,Tennessee
53,Real estate and rental and leasing,34264.0,Tennessee
54,"Professional, scientific, and technical services",100676.0,Tennessee
55,Management of companies and enterprises,71201.0,Tennessee
56,Administrative and support and waste management and remediation services,181927.0,Tennessee
61,Educational services,54329.0,Tennessee
62,Health care and social assistance,362000.0,Tennessee
71,"Arts, entertainment, and recreation",30478.0,Tennessee
72,Accommodation and food services,234900.0,Tennessee
81,Other services (except public administration),110045.0,Tennessee
99,Industries not classified,309.0,Tennessee
--,Total,8925096.0,Texas
11,"Agriculture, forestry, fishing and hunting",6918.0,Texas
21,"Mining, quarrying, and oil and gas extraction",170230.0,Texas
22,Utilities,47930.0,Texas
23,Construction,592147.0,Texas
31-33,Manufacturing,784367.0,Texas
42,Wholesale trade,479142.0,Texas
44-45,Retail trade,1149349.0,Texas
48-49,Transportation and warehousing,358887.0,Texas
51,Information,236864.0,Texas
52,Finance and insurance,460870.0,Texas
53,Real estate and rental and leasing,169509.0,Texas
54,"Professional, scientific, and technical services",568061.0,Texas
55,Management of companies and enterprises,262792.0,Texas
56,Administrative and support and waste management and remediation services,841590.0,Texas
61,Educational services,145473.0,Texas
62,Health care and social assistance,1216496.0,Texas
71,"Arts, entertainment, and recreation",115179.0,Texas
72,Accommodation and food services,912191.0,Texas
81,Other services (except public administration),404937.0,Texas
99,Industries not classified,2164.0,Texas
--,Total,1059722.0,Utah
11,"Agriculture, forestry, fishing and hunting",432.0,Utah
21,"Mining, quarrying, and oil and gas extraction",10068.0,Utah
22,Utilities,4555.0,Utah
23,Construction,66485.0,Utah
31-33,Manufacturing,110538.0,Utah
42,Wholesale trade,53733.0,Utah
44-45,Retail trade,139792.0,Utah
48-49,Transportation and warehousing,48396.0,Utah
51,Information,33677.0,Utah
52,Finance and insurance,63831.0,Utah
53,Real estate and rental and leasing,19263.0,Utah
54,"Professional, scientific, and technical services",66916.0,Utah
55,Management of companies and enterprises,17363.0,Utah
56,Administrative and support and waste management and remediation services,112342.0,Utah
61,Educational services,36641.0,Utah
62,Health care and social assistance,117747.0,Utah
71,"Arts, entertainment, and recreation",17446.0,Utah
72,Accommodation and food services,93017.0,Utah
81,Other services (except public administration),47367.0,Utah
99,Industries not classified,0.0,Utah
--,Total,264766.0,Vermont
11,"Agriculture, forestry, fishing and hunting",414.0,Vermont
21,"Mining, quarrying, and oil and gas extraction",0.0,Vermont
22,Utilities,1855.0,Vermont
23,Construction,13172.0,Vermont
31-33,Manufacturing,32504.0,Vermont
42,Wholesale trade,10585.0,Vermont
44-45,Retail trade,38752.0,Vermont
48-49,Transportation and warehousing,6037.0,Vermont
51,Information,5604.0,Vermont
52,Finance and insurance,12531.0,Vermont
53,Real estate and rental and leasing,2983.0,Vermont
54,"Professional, scientific, and technical services",20779.0,Vermont
55,Management of companies and enterprises,2949.0,Vermont
56,Administrative and support and waste management and remediation services,7256.0,Vermont
61,Educational services,14189.0,Vermont
62,Health care and social assistance,48986.0,Vermont
71,"Arts, entertainment, and recreation",6660.0,Vermont
72,Accommodation and food services,30040.0,Vermont
81,Other services (except public administration),8873.0,Vermont
99,Industries not classified,0.0,Vermont
--,Total,3061186.0,Virginia
11,"Agriculture, forestry, fishing and hunting",3842.0,Virginia
21,"Mining, quarrying, and oil and gas extraction",10215.0,Virginia
22,Utilities,14727.0,Virginia
23,Construction,185651.0,Virginia
31-33,Manufacturing,252213.0,Virginia
42,Wholesale trade,106047.0,Virginia
44-45,Retail trade,412600.0,Virginia
48-49,Transportation and warehousing,90549.0,Virginia
51,Information,99825.0,Virginia
52,Finance and insurance,158692.0,Virginia
53,Real estate and rental and leasing,55846.0,Virginia
54,"Professional, scientific, and technical services",407365.0,Virginia
55,Management of companies and enterprises,58205.0,Virginia
56,Administrative and support and waste management and remediation services,234295.0,Virginia
61,Educational services,68106.0,Virginia
62,Health care and social assistance,384352.0,Virginia
71,"Arts, entertainment, and recreation",51020.0,Virginia
72,Accommodation and food services,302874.0,Virginia
81,Other services (except public administration),164431.0,Virginia
99,Industries not classified,331.0,Virginia
--,Total,2385282.0,Washington
11,"Agriculture, forestry, fishing and hunting",12296.0,Washington
21,"Mining, quarrying, and oil and gas extraction",2845.0,Washington
22,Utilities,7890.0,Washington
23,Construction,158331.0,Washington
31-33,Manufacturing,234232.0,Washington
42,Wholesale trade,127188.0,Washington
44-45,Retail trade,309936.0,Washington
48-49,Transportation and warehousing,83629.0,Washington
51,Information,115015.0,Washington
52,Finance and insurance,104647.0,Washington
53,Real estate and rental and leasing,48790.0,Washington
54,"Professional, scientific, and technical services",163100.0,Washington
55,Management of companies and enterprises,79848.0,Washington
56,Administrative and support and waste management and remediation services,129478.0,Washington
61,Educational services,48589.0,Washington
62,Health care and social assistance,360487.0,Washington
71,"Arts, entertainment, and recreation",60516.0,Washington
72,Accommodation and food services,230637.0,Washington
81,Other services (except public administration),107371.0,Washington
99,Industries not classified,0.0,Washington
--,Total,572960.0,West Virginia
11,"Agriculture, forestry, fishing and hunting",868.0,West Virginia
21,"Mining, quarrying, and oil and gas extraction",31552.0,West Virginia
22,Utilities,6488.0,West Virginia
23,Construction,27824.0,West Virginia
31-33,Manufacturing,55357.0,West Virginia
42,Wholesale trade,19337.0,West Virginia
44-45,Retail trade,89919.0,West Virginia
48-49,Transportation and warehousing,15498.0,West Virginia
51,Information,10666.0,West Virginia
52,Finance and insurance,20027.0,West Virginia
53,Real estate and rental and leasing,6376.0,West Virginia
54,"Professional, scientific, and technical services",24670.0,West Virginia
55,Management of companies and enterprises,4586.0,West Virginia
56,Administrative and support and waste management and remediation services,30529.0,West Virginia
61,Educational services,7677.0,West Virginia
62,Health care and social assistance,122596.0,West Virginia
71,"Arts, entertainment, and recreation",11370.0,West Virginia
72,Accommodation and food services,61316.0,West Virginia
81,Other services (except public administration),26253.0,West Virginia
99,Industries not classified,51.0,West Virginia
--,Total,2355879.0,Wisconsin
11,"Agriculture, forestry, fishing and hunting",2968.0,Wisconsin
21,"Mining, quarrying, and oil and gas extraction",2275.0,Wisconsin
22,Utilities,14370.0,Wisconsin
23,Construction,93989.0,Wisconsin
31-33,Manufacturing,431014.0,Wisconsin
42,Wholesale trade,109275.0,Wisconsin
44-45,Retail trade,301908.0,Wisconsin
48-49,Transportation and warehousing,97648.0,Wisconsin
51,Information,50062.0,Wisconsin
52,Finance and insurance,145343.0,Wisconsin
53,Real estate and rental and leasing,25709.0,Wisconsin
54,"Professional, scientific, and technical services",101541.0,Wisconsin
55,Management of companies and enterprises,64900.0,Wisconsin
56,Administrative and support and waste management and remediation services,116187.0,Wisconsin
61,Educational services,52836.0,Wisconsin
62,Health care and social assistance,377578.0,Wisconsin
71,"Arts, entertainment, and recreation",40387.0,Wisconsin
72,Accommodation and food services,217633.0,Wisconsin
81,Other services (except public administration),109937.0,Wisconsin
99,Industries not classified,0.0,Wisconsin
--,Total,214715.0,Wyoming
11,"Agriculture, forestry, fishing and hunting",0.0,Wyoming
21,"Mining, quarrying, and oil and gas extraction",24682.0,Wyoming
22,Utilities,2455.0,Wyoming
23,Construction,19751.0,Wyoming
31-33,Manufacturing,10453.0,Wyoming
42,Wholesale trade,8456.0,Wyoming
44-45,Retail trade,31960.0,Wyoming
48-49,Transportation and warehousing,9874.0,Wyoming
51,Information,4151.0,Wyoming
52,Finance and insurance,7176.0,Wyoming
53,Real estate and rental and leasing,4393.0,Wyoming
54,"Professional, scientific, and technical services",9322.0,Wyoming
55,Management of companies and enterprises,1183.0,Wyoming
56,Administrative and support and waste management and remediation services,6808.0,Wyoming
61,Educational services,1831.0,Wyoming
62,Health care and social assistance,30963.0,Wyoming
71,"Arts, entertainment, and recreation",4425.0,Wyoming
72,Accommodation and food services,27607.0,Wyoming
81,Other services (except public administration),8875.0,Wyoming
99,Industries not classified,124.0,Wyoming
