NAICS Code,NAICS Description,Total Employment,State
23,Construction,141420.0,Colorado
31-33,Manufacturing,121919.0,Colorado
42,Wholesale trade,97732.0,Colorado
44-45,Retail trade,246697.0,Colorado
48-49,Transportation and warehousing,59775.0,Colorado
51,Information,79749.0,Colorado
52,Finance and insurance,99049.0,Colorado
53,Real estate and rental and leasing,43204.0,Colorado
54,"Professional, scientific, and technical services",168070.0,Colorado
55,Management of companies and enterprises,44093.0,Colorado
56,Administrative and support and waste management and remediation services,205462.0,Colorado
61,Educational services,42338.0,Colorado
62,Health care and social assistance,252797.0,Colorado
71,"Arts, entertainment, and recreation",46894.0,Colorado
72,Accommodation and food services,224562.0,Colorado
81,Other services (except public administration),96032.0,Colorado
99,Industries not classified,325.0,Colorado
--,Total,1468291.0,Connecticut
11,"Agriculture, forestry, fishing and hunting",291.0,Connecticut
21,"Mining, quarrying, and oil and gas extraction",745.0,Connecticut
22,Utilities,0.0,Connecticut
23,Construction,53079.0,Connecticut
31-33,Manufacturing,166398.0,Connecticut
42,Wholesale trade,75632.0,Connecticut
44-45,Retail trade,180143.0,Connecticut
48-49,Transportation and warehousing,39162.0,Connecticut
51,Information,37301.0,Connecticut
52,Finance and insurance,124950.0,Connecticut
53,Real estate and rental and leasing,21496.0,Connecticut
54,"Professional, scientific, and technical services",95334.0,Connecticut
55,Management of companies and enterprises,38788.0,Connecticut
56,Administrative and support and waste management and remediation services,84177.0,Connecticut
61,Educational services,64404.0,Connecticut
62,Health care and social assistance,259507.0,Connecticut
71,"Arts, entertainment, and recreation",24415.0,Connecticut
72,Accommodation and food services,129737.0,Connecticut
81,Other services (except public administration),63031.0,Connecticut
99,Industries not classified,187.0,Connecticut
--,Total,370846.0,Delaware
11,"Agriculture, forestry, fishing and hunting",152.0,Delaware
21,"Mining, quarrying, and oil and gas extraction",34.0,Delaware
22,Utilities,2622.0,Delaware
23,Construction,20509.0,Delaware
31-33,Manufacturing,30410.0,Delaware
42,Wholesale trade,17857.0,Delaware
44-45,Retail trade,51130.0,Delaware
48-49,Transportation and warehousing,12643.0,Delaware
51,Information,8331.0,Delaware
52,Finance and insurance,38986.0,Delaware
53,Real estate and rental and leasing,6436.0,Delaware
54,"Professional, scientific, and technical services",23308.0,Delaware
55,Management of companies and enterprises,14004.0,Delaware
56,Administrative and support and waste management and remediation services,25890.0,Delaware
61,Educational services,7155.0,Delaware
62,Health care and social assistance,57485.0,Delaware
71,"Arts, entertainment, and recreation",6641.0,Delaware
72,Accommodation and food services,32589.0,Delaware
81,Other services (except public administration),14615.0,Delaware
99,Industries not classified,0.0,Delaware
--,Total,466550.0,District of Columbia
11,"Agriculture, forestry, fishing and hunting",0.0,District of Columbia
21,"Mining, quarrying, and oil and gas extraction",0.0,District of Columbia
22,Utilities,0.0,District of Columbia
23,Construction,6511.0,District of Columbia
31-33,Manufacturing,1800.0,District of Columbia
42,Wholesale trade,5056.0,District of Columbia
44-45,Retail trade,19122.0,District of Columbia
48-49,Transportation and warehousing,3110.0,District of Columbia
51,Information,21728.0,District of Columbia
52,Finance and insurance,16939.0,District of Columbia
53,Real estate and rental and leasing,9075.0,District of Columbia
54,"Professional, scientific, and technical services",89927.0,District of Columbia
55,Management of companies and enterprises,7216.0,District of Columbia
56,Administrative and support and waste management and remediation services,35116.0,District of Columbia
61,Educational services,48409.0,District of Columbia
62,Health care and social assistance,67587.0,District of Columbia
71,"Arts, entertainment, and recreation",6555.0,District of Columbia
72,Accommodation and food services,54967.0,District of Columbia
81,Other services (except public administration),71424.0,District of Columbia
99,Industries not classified,0.0,District of Columbia
--,Total,6861612.0,Florida
11,"Agriculture, forestry, fishing and hunting",13489.0,Florida
21,"Mining, quarrying, and oil and gas extraction",5114.0,Florida
22,Utilities,28384.0,Florida
23,Construction,341614.0,Florida
31-33,Manufacturing,294519.0,Florida
42,Wholesale trade,287665.0,Florida
44-45,Retail trade,921514.0,Florida
48-49,Transportation and warehousing,207407.0,Florida
51,Information,156305.0,Florida
52,Finance and insurance,338098.0,Florida
53,Real estate and rental and leasing,157738.0,Florida
54,"Professional, scientific, and technical services",430886.0,Florida
55,Management of companies and enterprises,130523.0,Florida
56,Administrative and support and waste management and remediation services,1287394.0,Florida
61,Educational services,138431.0,Florida
62,Health care and social assistance,943823.0,Florida
71,"Arts, entertainment, and recreation",155028.0,Florida
72,Accommodation and food services,728819.0,Florida
81,Other services (except public administration),294216.0,Florida
99,Industries not classified,0.0,Florida
--,Total,3410505.0,Georgia
11,"Agriculture, forestry, fishing and hunting",7346.0,Georgia
21,"Mining, quarrying, and oil and gas extraction",5304.0,Georgia
22,Utilities,0.0,Georgia
23,Construction,175310.0,Georgia
31-33,Manufacturing,351203.0,Georgia
42,Wholesale trade,191424.0,Georgia
44-45,Retail trade,440334.0,Georgia
48-49,Transportation and warehousing,152477.0,Georgia
51,Information,126735.0,Georgia
52,Finance and insurance,168206.0,Georgia
53,Real estate and rental and leasing,61066.0,Georgia
54,"Professional, scientific, and technical services",239870.0,Georgia
55,Management of companies and enterprises,106154.0,Georgia
56,Administrative and support and waste management and remediation services,299129.0,Georgia
61,Educational services,77208.0,Georgia
62,Health care and social assistance,431360.0,Georgia
71,"Arts, entertainment, and recreation",42037.0,Georgia
72,Accommodation and food services,351142.0,Georgia
81,Other services (except public administration),158720.0,Georgia
99,Industries not classified,297.0,Georgia
--,Total,488403.0,Hawaii
11,"Agriculture, forestry, fishing and hunting",262.0,Hawaii
21,"Mining, quarrying, and oil and gas extraction",223.0,Hawaii
22,Utilities,3133.0,Hawaii
23,Construction,29530.0,Hawaii
31-33,Manufacturing,12854.0,Hawaii
42,Wholesale trade,19045.0,Hawaii
44-45,Retail trade,66960.0,Hawaii
48-49,Transportation and warehousing,25498.0,Hawaii
