NAICS Code,Total Employment - 2011,MSA
--,55193,"Abilene, TX MSA"
11,0,"Abilene, TX MSA"
21,1640,"Abilene, TX MSA"
22,424,"Abilene, TX MSA"
23,3111,"Abilene, TX MSA"
31-33,2295,"Abilene, TX MSA"
42,2277,"Abilene, TX MSA"
44-45,8535,"Abilene, TX MSA"
48-49,1688,"Abilene, TX MSA"
51,1071,"Abilene, TX MSA"
52,2962,"Abilene, TX MSA"
53,877,"Abilene, TX MSA"
54,1815,"Abilene, TX MSA"
55,409,"Abilene, TX MSA"
56,2230,"Abilene, TX MSA"
61,3367,"Abilene, TX MSA"
62,12137,"Abilene, TX MSA"
71,695,"Abilene, TX MSA"
72,6732,"Abilene, TX MSA"
81,2890,"Abilene, TX MSA"
99,0,"Abilene, TX MSA"
--,277410,"Akron, OH MSA"
11,0,"Akron, OH MSA"
21,267,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,12295,"Akron, OH MSA"
31-33,36071,"Akron, OH MSA"
42,17115,"Akron, OH MSA"
44-45,36960,"Akron, OH MSA"
48-49,8559,"Akron, OH MSA"
51,5378,"Akron, OH MSA"
52,10453,"Akron, OH MSA"
53,2954,"Akron, OH MSA"
54,16872,"Akron, OH MSA"
55,11637,"Akron, OH MSA"
56,18210,"Akron, OH MSA"
61,4966,"Akron, OH MSA"
62,50262,"Akron, OH MSA"
71,3640,"Akron, OH MSA"
72,25287,"Akron, OH MSA"
81,13546,"Akron, OH MSA"
99,47,"Akron, OH MSA"
--,276731,"Albuquerque, NM MSA"
11,78,"Albuquerque, NM MSA"
21,245,"Albuquerque, NM MSA"
22,0,"Albuquerque, NM MSA"
23,19807,"Albuquerque, NM MSA"
31-33,16645,"Albuquerque, NM MSA"
42,11249,"Albuquerque, NM MSA"
44-45,41475,"Albuquerque, NM MSA"
48-49,7398,"Albuquerque, NM MSA"
51,8351,"Albuquerque, NM MSA"
52,11827,"Albuquerque, NM MSA"
53,4690,"Albuquerque, NM MSA"
54,23750,"Albuquerque, NM MSA"
55,4459,"Albuquerque, NM MSA"
56,17125,"Albuquerque, NM MSA"
61,4734,"Albuquerque, NM MSA"
62,48591,"Albuquerque, NM MSA"
71,6707,"Albuquerque, NM MSA"
72,34744,"Albuquerque, NM MSA"
81,12862,"Albuquerque, NM MSA"
99,0,"Albuquerque, NM MSA"
--,48383,"Alexandria, LA MSA"
11,387,"Alexandria, LA MSA"
21,0,"Alexandria, LA MSA"
22,0,"Alexandria, LA MSA"
23,3499,"Alexandria, LA MSA"
31-33,3963,"Alexandria, LA MSA"
42,1793,"Alexandria, LA MSA"
44-45,8158,"Alexandria, LA MSA"
48-49,1023,"Alexandria, LA MSA"
51,658,"Alexandria, LA MSA"
52,1711,"Alexandria, LA MSA"
53,632,"Alexandria, LA MSA"
54,1820,"Alexandria, LA MSA"
55,182,"Alexandria, LA MSA"
56,1710,"Alexandria, LA MSA"
61,982,"Alexandria, LA MSA"
62,13875,"Alexandria, LA MSA"
71,221,"Alexandria, LA MSA"
72,4230,"Alexandria, LA MSA"
81,2694,"Alexandria, LA MSA"
99,0,"Alexandria, LA MSA"
--,288983,"Allentown-Bethlehem-Easton, PA-NJ MSA"
11,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
21,195,"Allentown-Bethlehem-Easton, PA-NJ MSA"
22,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
23,10374,"Allentown-Bethlehem-Easton, PA-NJ MSA"
31-33,31412,"Allentown-Bethlehem-Easton, PA-NJ MSA"
42,17546,"Allentown-Bethlehem-Easton, PA-NJ MSA"
44-45,41544,"Allentown-Bethlehem-Easton, PA-NJ MSA"
48-49,12618,"Allentown-Bethlehem-Easton, PA-NJ MSA"
51,6734,"Allentown-Bethlehem-Easton, PA-NJ MSA"
52,12258,"Allentown-Bethlehem-Easton, PA-NJ MSA"
53,2578,"Allentown-Bethlehem-Easton, PA-NJ MSA"
54,11767,"Allentown-Bethlehem-Easton, PA-NJ MSA"
55,9236,"Allentown-Bethlehem-Easton, PA-NJ MSA"
56,18238,"Allentown-Bethlehem-Easton, PA-NJ MSA"
61,11885,"Allentown-Bethlehem-Easton, PA-NJ MSA"
62,56382,"Allentown-Bethlehem-Easton, PA-NJ MSA"
71,4482,"Allentown-Bethlehem-Easton, PA-NJ MSA"
72,25408,"Allentown-Bethlehem-Easton, PA-NJ MSA"
81,13427,"Allentown-Bethlehem-Easton, PA-NJ MSA"
99,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
--,50360,"Altoona, PA MSA"
11,0,"Altoona, PA MSA"
21,0,"Altoona, PA MSA"
22,0,"Altoona, PA MSA"
23,2063,"Altoona, PA MSA"
31-33,6777,"Altoona, PA MSA"
42,1812,"Altoona, PA MSA"
44-45,8759,"Altoona, PA MSA"
48-49,3510,"Altoona, PA MSA"
51,1312,"Altoona, PA MSA"
52,1498,"Altoona, PA MSA"
53,457,"Altoona, PA MSA"
54,1917,"Altoona, PA MSA"
55,752,"Altoona, PA MSA"
56,2240,"Altoona, PA MSA"
61,327,"Altoona, PA MSA"
62,10875,"Altoona, PA MSA"
71,575,"Altoona, PA MSA"
72,4732,"Altoona, PA MSA"
81,2521,"Altoona, PA MSA"
99,1,"Altoona, PA MSA"
--,90682,"Amarillo, TX MSA"
11,51,"Amarillo, TX MSA"
21,272,"Amarillo, TX MSA"
22,0,"Amarillo, TX MSA"
23,5456,"Amarillo, TX MSA"
31-33,7880,"Amarillo, TX MSA"
42,4769,"Amarillo, TX MSA"
44-45,13965,"Amarillo, TX MSA"
48-49,3161,"Amarillo, TX MSA"
51,1522,"Amarillo, TX MSA"
52,5414,"Amarillo, TX MSA"
53,1314,"Amarillo, TX MSA"
54,2804,"Amarillo, TX MSA"
55,1249,"Amarillo, TX MSA"
56,6931,"Amarillo, TX MSA"
61,832,"Amarillo, TX MSA"
62,16673,"Amarillo, TX MSA"
71,1170,"Amarillo, TX MSA"
72,10532,"Amarillo, TX MSA"
81,5251,"Amarillo, TX MSA"
99,0,"Amarillo, TX MSA"
--,28288,"Ames, IA MSA"
11,139,"Ames, IA MSA"
21,0,"Ames, IA MSA"
22,0,"Ames, IA MSA"
23,1672,"Ames, IA MSA"
31-33,4315,"Ames, IA MSA"
42,929,"Ames, IA MSA"
44-45,4798,"Ames, IA MSA"
48-49,394,"Ames, IA MSA"
51,726,"Ames, IA MSA"
52,822,"Ames, IA MSA"
53,437,"Ames, IA MSA"
54,1210,"Ames, IA MSA"
55,264,"Ames, IA MSA"
56,1072,"Ames, IA MSA"
61,154,"Ames, IA MSA"
62,4845,"Ames, IA MSA"
71,403,"Ames, IA MSA"
72,4418,"Ames, IA MSA"
81,1524,"Ames, IA MSA"
99,0,"Ames, IA MSA"
--,159707,"Anchorage, AK MSA"
11,188,"Anchorage, AK MSA"
21,7396,"Anchorage, AK MSA"
22,772,"Anchorage, AK MSA"
23,12375,"Anchorage, AK MSA"
31-33,2967,"Anchorage, AK MSA"
42,5902,"Anchorage, AK MSA"
44-45,17882,"Anchorage, AK MSA"
48-49,10673,"Anchorage, AK MSA"
51,5136,"Anchorage, AK MSA"
52,5309,"Anchorage, AK MSA"
53,3019,"Anchorage, AK MSA"
54,13508,"Anchorage, AK MSA"
55,5274,"Anchorage, AK MSA"
56,16310,"Anchorage, AK MSA"
61,1842,"Anchorage, AK MSA"
62,25571,"Anchorage, AK MSA"
71,3144,"Anchorage, AK MSA"
72,16470,"Anchorage, AK MSA"
81,5959,"Anchorage, AK MSA"
99,0,"Anchorage, AK MSA"
--,134317,"Ann Arbor, MI MSA"
11,53,"Ann Arbor, MI MSA"
21,0,"Ann Arbor, MI MSA"
22,0,"Ann Arbor, MI MSA"
23,3318,"Ann Arbor, MI MSA"
31-33,11757,"Ann Arbor, MI MSA"
42,3778,"Ann Arbor, MI MSA"
44-45,16106,"Ann Arbor, MI MSA"
48-49,3126,"Ann Arbor, MI MSA"
51,4331,"Ann Arbor, MI MSA"
52,4127,"Ann Arbor, MI MSA"
53,2737,"Ann Arbor, MI MSA"
54,11483,"Ann Arbor, MI MSA"
55,4844,"Ann Arbor, MI MSA"
56,10141,"Ann Arbor, MI MSA"
61,2034,"Ann Arbor, MI MSA"
62,0,"Ann Arbor, MI MSA"
71,2159,"Ann Arbor, MI MSA"
72,14537,"Ann Arbor, MI MSA"
81,5879,"Ann Arbor, MI MSA"
99,0,"Ann Arbor, MI MSA"
--,36093,"Anniston-Oxford, AL MSA"
11,49,"Anniston-Oxford, AL MSA"
21,0,"Anniston-Oxford, AL MSA"
22,0,"Anniston-Oxford, AL MSA"
23,900,"Anniston-Oxford, AL MSA"
31-33,5900,"Anniston-Oxford, AL MSA"
42,1412,"Anniston-Oxford, AL MSA"
44-45,6207,"Anniston-Oxford, AL MSA"
48-49,1329,"Anniston-Oxford, AL MSA"
51,0,"Anniston-Oxford, AL MSA"
52,915,"Anniston-Oxford, AL MSA"
53,243,"Anniston-Oxford, AL MSA"
54,1557,"Anniston-Oxford, AL MSA"
55,132,"Anniston-Oxford, AL MSA"
56,3599,"Anniston-Oxford, AL MSA"
61,363,"Anniston-Oxford, AL MSA"
62,6095,"Anniston-Oxford, AL MSA"
71,228,"Anniston-Oxford, AL MSA"
72,4366,"Anniston-Oxford, AL MSA"
81,1829,"Anniston-Oxford, AL MSA"
99,1,"Anniston-Oxford, AL MSA"
--,104778,"Appleton, WI MSA"
11,0,"Appleton, WI MSA"
21,121,"Appleton, WI MSA"
22,0,"Appleton, WI MSA"
23,5812,"Appleton, WI MSA"
31-33,20522,"Appleton, WI MSA"
42,5864,"Appleton, WI MSA"
44-45,14265,"Appleton, WI MSA"
48-49,4214,"Appleton, WI MSA"
51,2238,"Appleton, WI MSA"
52,6318,"Appleton, WI MSA"
53,750,"Appleton, WI MSA"
54,4057,"Appleton, WI MSA"
55,2523,"Appleton, WI MSA"
56,6744,"Appleton, WI MSA"
61,2029,"Appleton, WI MSA"
62,12599,"Appleton, WI MSA"
71,2103,"Appleton, WI MSA"
72,9710,"Appleton, WI MSA"
81,4713,"Appleton, WI MSA"
99,0,"Appleton, WI MSA"
--,144047,"Asheville, NC MSA"
11,49,"Asheville, NC MSA"
21,128,"Asheville, NC MSA"
22,465,"Asheville, NC MSA"
23,6758,"Asheville, NC MSA"
31-33,17920,"Asheville, NC MSA"
42,4660,"Asheville, NC MSA"
44-45,23113,"Asheville, NC MSA"
48-49,3745,"Asheville, NC MSA"
51,2038,"Asheville, NC MSA"
52,3726,"Asheville, NC MSA"
53,2228,"Asheville, NC MSA"
54,5547,"Asheville, NC MSA"
55,1056,"Asheville, NC MSA"
56,7754,"Asheville, NC MSA"
61,4285,"Asheville, NC MSA"
62,31485,"Asheville, NC MSA"
71,2796,"Asheville, NC MSA"
72,18722,"Asheville, NC MSA"
81,7553,"Asheville, NC MSA"
99,0,"Asheville, NC MSA"
--,54616,"Athens-Clarke County, GA MSA"
11,0,"Athens-Clarke County, GA MSA"
21,228,"Athens-Clarke County, GA MSA"
22,265,"Athens-Clarke County, GA MSA"
23,1746,"Athens-Clarke County, GA MSA"
31-33,6035,"Athens-Clarke County, GA MSA"
42,2426,"Athens-Clarke County, GA MSA"
44-45,9495,"Athens-Clarke County, GA MSA"
48-49,941,"Athens-Clarke County, GA MSA"
51,954,"Athens-Clarke County, GA MSA"
52,1729,"Athens-Clarke County, GA MSA"
53,1105,"Athens-Clarke County, GA MSA"
54,2404,"Athens-Clarke County, GA MSA"
55,383,"Athens-Clarke County, GA MSA"
56,3334,"Athens-Clarke County, GA MSA"
61,846,"Athens-Clarke County, GA MSA"
62,11264,"Athens-Clarke County, GA MSA"
71,649,"Athens-Clarke County, GA MSA"
72,7618,"Athens-Clarke County, GA MSA"
81,3127,"Athens-Clarke County, GA MSA"
99,0,"Athens-Clarke County, GA MSA"
