FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
10100.0,"Aberdeen, SD Micro Area",--,Total,19575.0
10100.0,"Aberdeen, SD Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",20.0
10100.0,"Aberdeen, SD Micro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
10100.0,"Aberdeen, SD Micro Area",22,Utilities,124.0
10100.0,"Aberdeen, SD Micro Area",23,Construction,935.0
10100.0,"Aberdeen, SD Micro Area",31-33,Manufacturing,2956.0
10100.0,"Aberdeen, SD Micro Area",42,Wholesale Trade,1555.0
10100.0,"Aberdeen, SD Micro Area",44-45,Retail Trade,3154.0
10100.0,"Aberdeen, SD Micro Area",48-49,Transportation and Warehousing,376.0
10100.0,"Aberdeen, SD Micro Area",51,Information,384.0
10100.0,"Aberdeen, SD Micro Area",52,Finance and Insurance,1030.0
10100.0,"Aberdeen, SD Micro Area",53,Real Estate and Rental and Leasing,274.0
10100.0,"Aberdeen, SD Micro Area",54,"Professional, Scientific, and Technical Services",541.0
10100.0,"Aberdeen, SD Micro Area",55,Management of Companies and Enterprises,0.0
10100.0,"Aberdeen, SD Micro Area",56,Administrative and Support and Waste Management and Remediation Services,651.0
10100.0,"Aberdeen, SD Micro Area",61,Educational Services,437.0
10100.0,"Aberdeen, SD Micro Area",62,Health Care and Social Assistance,3139.0
10100.0,"Aberdeen, SD Micro Area",71,"Arts, Entertainment, and Recreation",393.0
10100.0,"Aberdeen, SD Micro Area",72,Accommodation and Food Services,2669.0
10100.0,"Aberdeen, SD Micro Area",81,Other Services (except Public Administration),749.0
10100.0,"Aberdeen, SD Micro Area",99,Industries not classified,0.0
10140.0,"Aberdeen, WA Micro Area",--,Total,15544.0
10140.0,"Aberdeen, WA Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",0.0
10140.0,"Aberdeen, WA Micro Area",22,Utilities,0.0
10140.0,"Aberdeen, WA Micro Area",23,Construction,1384.0
10140.0,"Aberdeen, WA Micro Area",31-33,Manufacturing,1916.0
10140.0,"Aberdeen, WA Micro Area",42,Wholesale Trade,549.0
10140.0,"Aberdeen, WA Micro Area",44-45,Retail Trade,2881.0
10140.0,"Aberdeen, WA Micro Area",48-49,Transportation and Warehousing,473.0
10140.0,"Aberdeen, WA Micro Area",51,Information,175.0
10140.0,"Aberdeen, WA Micro Area",52,Finance and Insurance,0.0
10140.0,"Aberdeen, WA Micro Area",53,Real Estate and Rental and Leasing,284.0
10140.0,"Aberdeen, WA Micro Area",54,"Professional, Scientific, and Technical Services",417.0
10140.0,"Aberdeen, WA Micro Area",55,Management of Companies and Enterprises,25.0
10140.0,"Aberdeen, WA Micro Area",56,Administrative and Support and Waste Management and Remediation Services,543.0
10140.0,"Aberdeen, WA Micro Area",61,Educational Services,14.0
10140.0,"Aberdeen, WA Micro Area",62,Health Care and Social Assistance,2774.0
10140.0,"Aberdeen, WA Micro Area",71,"Arts, Entertainment, and Recreation",234.0
10140.0,"Aberdeen, WA Micro Area",72,Accommodation and Food Services,1922.0
10140.0,"Aberdeen, WA Micro Area",81,Other Services (except Public Administration),842.0
10140.0,"Aberdeen, WA Micro Area",99,Industries not classified,0.0
10180.0,"Abilene, TX Metro Area",--,Total,57611.0
10180.0,"Abilene, TX Metro Area",11,"Agriculture, Forestry, Fishing and Hunting",0.0
10180.0,"Abilene, TX Metro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",2214.0
10180.0,"Abilene, TX Metro Area",22,Utilities,433.0
10180.0,"Abilene, TX Metro Area",23,Construction,2996.0
10180.0,"Abilene, TX Metro Area",31-33,Manufacturing,2436.0
10180.0,"Abilene, TX Metro Area",42,Wholesale Trade,2591.0
10180.0,"Abilene, TX Metro Area",44-45,Retail Trade,8835.0
10180.0,"Abilene, TX Metro Area",48-49,Transportation and Warehousing,1700.0
10180.0,"Abilene, TX Metro Area",51,Information,1140.0
10180.0,"Abilene, TX Metro Area",52,Finance and Insurance,2946.0
10180.0,"Abilene, TX Metro Area",53,Real Estate and Rental and Leasing,888.0
10180.0,"Abilene, TX Metro Area",54,"Professional, Scientific, and Technical Services",1875.0
10180.0,"Abilene, TX Metro Area",55,Management of Companies and Enterprises,977.0
10180.0,"Abilene, TX Metro Area",56,Administrative and Support and Waste Management and Remediation Services,2178.0
10180.0,"Abilene, TX Metro Area",61,Educational Services,3392.0
10180.0,"Abilene, TX Metro Area",62,Health Care and Social Assistance,12194.0
10180.0,"Abilene, TX Metro Area",71,"Arts, Entertainment, and Recreation",726.0
10180.0,"Abilene, TX Metro Area",72,Accommodation and Food Services,7087.0
10180.0,"Abilene, TX Metro Area",81,Other Services (except Public Administration),2981.0
10180.0,"Abilene, TX Metro Area",99,Industries not classified,0.0
10220.0,"Ada, OK Micro Area",--,Total,12509.0
10220.0,"Ada, OK Micro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",379.0
10220.0,"Ada, OK Micro Area",22,Utilities,0.0
10220.0,"Ada, OK Micro Area",23,Construction,521.0
10220.0,"Ada, OK Micro Area",31-33,Manufacturing,1080.0
10220.0,"Ada, OK Micro Area",42,Wholesale Trade,510.0
10220.0,"Ada, OK Micro Area",44-45,Retail Trade,1757.0
10220.0,"Ada, OK Micro Area",48-49,Transportation and Warehousing,299.0
10220.0,"Ada, OK Micro Area",51,Information,121.0
10220.0,"Ada, OK Micro Area",52,Finance and Insurance,1049.0
10220.0,"Ada, OK Micro Area",53,Real Estate and Rental and Leasing,159.0
10220.0,"Ada, OK Micro Area",54,"Professional, Scientific, and Technical Services",324.0
10220.0,"Ada, OK Micro Area",55,Management of Companies and Enterprises,0.0
10220.0,"Ada, OK Micro Area",56,Administrative and Support and Waste Management and Remediation Services,561.0
10220.0,"Ada, OK Micro Area",61,Educational Services,28.0
10220.0,"Ada, OK Micro Area",62,Health Care and Social Assistance,3507.0
10220.0,"Ada, OK Micro Area",71,"Arts, Entertainment, and Recreation",178.0
10220.0,"Ada, OK Micro Area",72,Accommodation and Food Services,1281.0
10220.0,"Ada, OK Micro Area",81,Other Services (except Public Administration),515.0
10220.0,"Ada, OK Micro Area",99,Industries not classified,0.0
10300.0,"Adrian, MI Micro Area",--,Total,22985.0
10300.0,"Adrian, MI Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",0.0
10300.0,"Adrian, MI Micro Area",22,Utilities,0.0
10300.0,"Adrian, MI Micro Area",23,Construction,656.0
10300.0,"Adrian, MI Micro Area",31-33,Manufacturing,5136.0
10300.0,"Adrian, MI Micro Area",42,Wholesale Trade,463.0
10300.0,"Adrian, MI Micro Area",44-45,Retail Trade,3663.0
10300.0,"Adrian, MI Micro Area",48-49,Transportation and Warehousing,567.0
10300.0,"Adrian, MI Micro Area",51,Information,321.0
10300.0,"Adrian, MI Micro Area",52,Finance and Insurance,888.0
10300.0,"Adrian, MI Micro Area",53,Real Estate and Rental and Leasing,0.0
10300.0,"Adrian, MI Micro Area",54,"Professional, Scientific, and Technical Services",459.0
10300.0,"Adrian, MI Micro Area",55,Management of Companies and Enterprises,130.0
10300.0,"Adrian, MI Micro Area",56,Administrative and Support and Waste Management and Remediation Services,834.0
10300.0,"Adrian, MI Micro Area",61,Educational Services,1921.0
10300.0,"Adrian, MI Micro Area",62,Health Care and Social Assistance,3058.0
10300.0,"Adrian, MI Micro Area",71,"Arts, Entertainment, and Recreation",357.0
10300.0,"Adrian, MI Micro Area",72,Accommodation and Food Services,2618.0
10300.0,"Adrian, MI Micro Area",81,Other Services (except Public Administration),1549.0
10300.0,"Adrian, MI Micro Area",99,Industries not classified,0.0
10420.0,"Akron, OH Metro Area",--,Total,291083.0
