State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,113425965.0
United States,11,"Agriculture, forestry, fishing and hunting",156520.0
United States,21,"Mining, quarrying, and oil and gas extraction",651204.0
United States,22,Utilities,639795.0
United States,23,Construction,5190921.0
United States,31-33,Manufacturing,10984361.0
United States,42,Wholesale trade,5626328.0
United States,44-45,Retail trade,14698563.0
United States,48-49,Transportation and warehousing,4106359.0
United States,51,Information,3121317.0
United States,52,Finance and insurance,5886602.0
United States,53,Real estate and rental and leasing,1917640.0
United States,54,"Professional, scientific, and technical services",7929910.0
United States,55,Management of companies and enterprises,2921669.0
United States,56,Administrative and support and waste management and remediation services,9389950.0
United States,61,Educational services,3386047.0
United States,62,Health care and social assistance,18059112.0
United States,71,"Arts, entertainment, and recreation",2003129.0
United States,72,Accommodation and food services,11556285.0
United States,81,Other services (except public administration),5181801.0
United States,99,Industries not classified,0.0
Alabama,--,Total,1573138.0
Alabama,11,"Agriculture, forestry, fishing and hunting",6066.0
Alabama,21,"Mining, quarrying, and oil and gas extraction",7809.0
Alabama,22,Utilities,16731.0
Alabama,23,Construction,79757.0
Alabama,31-33,Manufacturing,227628.0
Alabama,42,Wholesale trade,69928.0
Alabama,44-45,Retail trade,225793.0
Alabama,48-49,Transportation and warehousing,55452.0
Alabama,51,Information,33300.0
Alabama,52,Finance and insurance,69040.0
Alabama,53,Real estate and rental and leasing,23837.0
Alabama,54,"Professional, scientific, and technical services",93488.0
Alabama,55,Management of companies and enterprises,19592.0
Alabama,56,Administrative and support and waste management and remediation services,133471.0
Alabama,61,Educational services,29099.0
Alabama,62,Health care and social assistance,235237.0
Alabama,71,"Arts, entertainment, and recreation",17292.0
Alabama,72,Accommodation and food services,149907.0
Alabama,81,Other services (except public administration),79528.0
Alabama,99,Industries not classified,0.0
Alaska,--,Total,254996.0
Alaska,11,"Agriculture, forestry, fishing and hunting",1297.0
Alaska,21,"Mining, quarrying, and oil and gas extraction",11188.0
Alaska,22,Utilities,1922.0
Alaska,23,Construction,16923.0
Alaska,31-33,Manufacturing,13125.0
Alaska,42,Wholesale trade,8642.0
Alaska,44-45,Retail trade,32548.0
Alaska,48-49,Transportation and warehousing,17713.0
Alaska,51,Information,6751.0
Alaska,52,Finance and insurance,7350.0
Alaska,53,Real estate and rental and leasing,4909.0
Alaska,54,"Professional, scientific, and technical services",17417.0
Alaska,55,Management of companies and enterprises,6661.0
Alaska,56,Administrative and support and waste management and remediation services,20335.0
Alaska,61,Educational services,3157.0
Alaska,62,Health care and social assistance,44084.0
Alaska,71,"Arts, entertainment, and recreation",4906.0
Alaska,72,Accommodation and food services,26132.0
Alaska,81,Other services (except public administration),9918.0
Alaska,99,Industries not classified,0.0
Arizona,--,Total,2108561.0
Arizona,11,"Agriculture, forestry, fishing and hunting",1359.0
Arizona,21,"Mining, quarrying, and oil and gas extraction",11160.0
Arizona,22,Utilities,12498.0
Arizona,23,Construction,116992.0
Arizona,31-33,Manufacturing,137532.0
Arizona,42,Wholesale trade,91256.0
Arizona,44-45,Retail trade,306972.0
Arizona,48-49,Transportation and warehousing,75115.0
Arizona,51,Information,50521.0
Arizona,52,Finance and insurance,129576.0
Arizona,53,Real estate and rental and leasing,39171.0
Arizona,54,"Professional, scientific, and technical services",128576.0
Arizona,55,Management of companies and enterprises,41237.0
Arizona,56,Administrative and support and waste management and remediation services,208372.0
Arizona,61,Educational services,75040.0
Arizona,62,Health care and social assistance,314612.0
Arizona,71,"Arts, entertainment, and recreation",40407.0
Arizona,72,Accommodation and food services,246722.0
Arizona,81,Other services (except public administration),81243.0
Arizona,99,Industries not classified,0.0
Arkansas,--,Total,980644.0
Arkansas,11,"Agriculture, forestry, fishing and hunting",4417.0
Arkansas,21,"Mining, quarrying, and oil and gas extraction",9890.0
Arkansas,22,Utilities,7431.0
Arkansas,23,Construction,43815.0
Arkansas,31-33,Manufacturing,156024.0
Arkansas,42,Wholesale trade,43452.0
Arkansas,44-45,Retail trade,136814.0
Arkansas,48-49,Transportation and warehousing,49486.0
Arkansas,51,Information,24099.0
Arkansas,52,Finance and insurance,36729.0
Arkansas,53,Real estate and rental and leasing,13053.0
Arkansas,54,"Professional, scientific, and technical services",33583.0
Arkansas,55,Management of companies and enterprises,39376.0
Arkansas,56,Administrative and support and waste management and remediation services,50842.0
Arkansas,61,Educational services,16632.0
Arkansas,62,Health care and social assistance,171336.0
Arkansas,71,"Arts, entertainment, and recreation",9080.0
Arkansas,72,Accommodation and food services,92443.0
Arkansas,81,Other services (except public administration),41983.0
Arkansas,99,Industries not classified,159.0
California,--,Total,12698427.0
California,11,"Agriculture, forestry, fishing and hunting",26466.0
California,21,"Mining, quarrying, and oil and gas extraction",22579.0
California,22,Utilities,0.0
California,23,Construction,555192.0
California,31-33,Manufacturing,1134193.0
California,42,Wholesale trade,790097.0
California,44-45,Retail trade,1517573.0
California,48-49,Transportation and warehousing,424729.0
California,51,Information,497861.0
California,52,Finance and insurance,571421.0
California,53,Real estate and rental and leasing,270918.0
California,54,"Professional, scientific, and technical services",1212869.0
California,55,Management of companies and enterprises,271499.0
California,56,Administrative and support and waste management and remediation services,1086339.0
California,61,Educational services,368524.0
California,62,Health care and social assistance,1714414.0
California,71,"Arts, entertainment, and recreation",290128.0
California,72,Accommodation and food services,1339508.0
California,81,Other services (except public administration),539629.0
California,99,Industries not classified,0.0
Colorado,--,Total,1972271.0
Colorado,11,"Agriculture, forestry, fishing and hunting",1758.0
Colorado,21,"Mining, quarrying, and oil and gas extraction",25006.0
Colorado,22,Utilities,8969.0
Colorado,23,Construction,115615.0
Colorado,31-33,Manufacturing,117810.0
Colorado,42,Wholesale trade,90442.0
Colorado,44-45,Retail trade,242477.0
Colorado,48-49,Transportation and warehousing,59932.0
Colorado,51,Information,78188.0
Colorado,52,Finance and insurance,92251.0
Colorado,53,Real estate and rental and leasing,40022.0
Colorado,54,"Professional, scientific, and technical services",170484.0
Colorado,55,Management of companies and enterprises,44857.0
Colorado,56,Administrative and support and waste management and remediation services,206447.0
Colorado,61,Educational services,44308.0
Colorado,62,Health care and social assistance,257481.0
Colorado,71,"Arts, entertainment, and recreation",50935.0
Colorado,72,Accommodation and food services,228341.0
Colorado,81,Other services (except public administration),96646.0
Colorado,99,Industries not classified,0.0
Connecticut,--,Total,1442620.0
Connecticut,11,"Agriculture, forestry, fishing and hunting",266.0
Connecticut,21,"Mining, quarrying, and oil and gas extraction",1022.0
Connecticut,22,Utilities,0.0
Connecticut,23,Construction,48782.0
Connecticut,31-33,Manufacturing,150646.0
Connecticut,42,Wholesale trade,71127.0
Connecticut,44-45,Retail trade,180535.0
Connecticut,48-49,Transportation and warehousing,38802.0
Connecticut,51,Information,37559.0
Connecticut,52,Finance and insurance,115490.0
Connecticut,53,Real estate and rental and leasing,19204.0
Connecticut,54,"Professional, scientific, and technical services",101163.0
Connecticut,55,Management of companies and enterprises,35510.0
Connecticut,56,Administrative and support and waste management and remediation services,86242.0
Connecticut,61,Educational services,67239.0
Connecticut,62,Health care and social assistance,265810.0
Connecticut,71,"Arts, entertainment, and recreation",23820.0
Connecticut,72,Accommodation and food services,128681.0
Connecticut,81,Other services (except public administration),60509.0
Connecticut,99,Industries not classified,0.0
Delaware,--,Total,359602.0
Delaware,11,"Agriculture, forestry, fishing and hunting",121.0
Delaware,21,"Mining, quarrying, and oil and gas extraction",0.0
Delaware,22,Utilities,2183.0
Delaware,23,Construction,18032.0
Delaware,31-33,Manufacturing,27715.0
Delaware,42,Wholesale trade,16359.0
Delaware,44-45,Retail trade,51664.0
Delaware,48-49,Transportation and warehousing,10844.0
Delaware,51,Information,7944.0
Delaware,52,Finance and insurance,35450.0
Delaware,53,Real estate and rental and leasing,5506.0
Delaware,54,"Professional, scientific, and technical services",24315.0
Delaware,55,Management of companies and enterprises,11345.0
Delaware,56,Administrative and support and waste management and remediation services,26900.0
Delaware,61,Educational services,6374.0
Delaware,62,Health care and social assistance,59793.0
Delaware,71,"Arts, entertainment, and recreation",6449.0
Delaware,72,Accommodation and food services,34347.0
Delaware,81,Other services (except public administration),14166.0
Delaware,99,Industries not classified,0.0
District of Columbia,--,Total,477623.0
District of Columbia,11,"Agriculture, forestry, fishing and hunting",0.0
District of Columbia,21,"Mining, quarrying, and oil and gas extraction",0.0
District of Columbia,22,Utilities,0.0
