State,NAICS Code,Total Employment - 2001
United States,--,115061184.0
United States,11,183476.0
United States,21,485565.0
United States,22,654484.0
United States,23,6491994.0
United States,31-33,15950424.0
United States,42,6142089.0
United States,44-45,14890289.0
United States,48-49,3750663.0
United States,51,3754698.0
United States,52,6248400.0
United States,53,2013673.0
United States,54,7156579.0
United States,55,2879223.0
United States,56,9061987.0
United States,61,2612430.0
United States,62,14534726.0
United States,71,1780362.0
United States,72,9972301.0
United States,81,5370479.0
United States,95,1022114.0
United States,99,105228.0
Alabama,--,1620952.0
Alabama,11,8210.0
Alabama,21,7353.0
Alabama,22,14896.0
Alabama,23,102471.0
Alabama,31-33,312352.0
Alabama,42,79873.0
Alabama,44-45,227367.0
Alabama,48-49,47494.0
Alabama,51,36877.0
Alabama,52,72319.0
Alabama,53,23791.0
Alabama,54,76061.0
Alabama,55,20283.0
Alabama,56,123738.0
Alabama,61,21126.0
Alabama,62,208130.0
Alabama,71,14165.0
Alabama,72,127776.0
Alabama,81,84345.0
Alabama,95,11374.0
Alabama,99,951.0
Alaska,--,214297.0
Alaska,11,1610.0
Alaska,21,9698.0
Alaska,22,1925.0
Alaska,23,15183.0
Alaska,31-33,11012.0
Alaska,42,7148.0
Alaska,44-45,33401.0
Alaska,48-49,18104.0
Alaska,51,6431.0
Alaska,52,7084.0
Alaska,53,4863.0
Alaska,54,11404.0
Alaska,55,2768.0
Alaska,56,11258.0
Alaska,61,2663.0
Alaska,62,32602.0
Alaska,72,21926.0
Alaska,81,11351.0
Arizona,--,1941599.0
Arizona,11,1823.0
Arizona,21,10008.0
Arizona,22,10075.0
Arizona,23,168416.0
Arizona,31-33,194217.0
Arizona,42,87975.0
Arizona,44-45,265812.0
Arizona,48-49,73585.0
Arizona,51,57983.0
Arizona,52,112814.0
Arizona,53,41625.0
Arizona,54,117366.0
Arizona,55,42042.0
Arizona,56,189748.0
Arizona,61,27103.0
Arizona,62,200305.0
Arizona,71,35016.0
Arizona,72,205693.0
Arizona,81,80803.0
Arizona,95,17552.0
Arizona,99,1638.0
Arkansas,--,995521.0
Arkansas,11,6144.0
Arkansas,21,3446.0
Arkansas,22,7837.0
Arkansas,23,43998.0
Arkansas,31-33,228671.0
Arkansas,42,43532.0
Arkansas,44-45,136513.0
Arkansas,48-49,43379.0
Arkansas,51,29728.0
Arkansas,52,34376.0
Arkansas,53,12108.0
Arkansas,54,31999.0
Arkansas,55,20893.0
Arkansas,56,63007.0
Arkansas,61,11419.0
Arkansas,62,133950.0
Arkansas,71,8071.0
Arkansas,72,76932.0
Arkansas,81,41762.0
Arkansas,95,17118.0
Arkansas,99,638.0
California,--,13239616.0
California,11,26577.0
California,21,23068.0
California,22,46250.0
California,23,795840.0
California,31-33,1740754.0
California,42,829917.0
California,44-45,1531595.0
California,48-49,421195.0
California,51,565276.0
California,52,649558.0
California,53,288923.0
California,54,1177669.0
California,55,297552.0
California,56,1108895.0
California,61,278019.0
California,62,1374627.0
California,71,261092.0
California,72,1137789.0
California,81,566856.0
California,95,103770.0
California,99,14394.0
Colorado,--,1986570.0
Colorado,11,1231.0
Colorado,21,12784.0
Colorado,22,7204.0
Colorado,23,161531.0
Colorado,31-33,162364.0
Colorado,42,99349.0
Colorado,44-45,260536.0
Colorado,48-49,59553.0
Colorado,51,114503.0
Colorado,52,105924.0
Colorado,53,45805.0
Colorado,54,149387.0
Colorado,55,39212.0
Colorado,56,185708.0
Colorado,61,29933.0
Colorado,62,196461.0
Colorado,71,40508.0
Colorado,72,206313.0
Colorado,81,91473.0
Colorado,95,15038.0
Colorado,99,1753.0
Connecticut,--,1555214.0
Connecticut,11,575.0
Connecticut,21,576.0
Connecticut,22,10928.0
Connecticut,23,67404.0
Connecticut,31-33,233167.0
Connecticut,42,78670.0
Connecticut,44-45,187474.0
Connecticut,48-49,34721.0
Connecticut,51,52607.0
Connecticut,52,136062.0
Connecticut,53,23194.0
Connecticut,54,95724.0
Connecticut,55,43470.0
Connecticut,56,104122.0
Connecticut,61,51644.0
Connecticut,62,220685.0
Connecticut,71,38959.0
Connecticut,72,95378.0
Connecticut,81,63635.0
Connecticut,95,14641.0
Connecticut,99,1578.0
Delaware,--,389376.0
Delaware,23,21263.0
Delaware,31-33,41887.0
Delaware,42,24106.0
Delaware,44-45,52151.0
Delaware,48-49,7350.0
Delaware,51,8799.0
Delaware,52,44879.0
Delaware,53,5350.0
Delaware,54,19564.0
Delaware,55,19969.0
Delaware,56,30194.0
Delaware,61,6249.0
Delaware,62,46074.0
Delaware,71,7526.0
Delaware,72,27263.0
Delaware,81,16161.0
Delaware,95,7302.0
Delaware,99,415.0
District of Columbia,--,422549.0
District of Columbia,22,1908.0
District of Columbia,23,6370.0
District of Columbia,31-33,2529.0
District of Columbia,42,5606.0
District of Columbia,44-45,18216.0
District of Columbia,48-49,3797.0
District of Columbia,51,25619.0
District of Columbia,52,18597.0
District of Columbia,53,9479.0
District of Columbia,54,80331.0
District of Columbia,55,5064.0
District of Columbia,56,31489.0
District of Columbia,61,40175.0
District of Columbia,62,61444.0
District of Columbia,71,4954.0
District of Columbia,72,44054.0
District of Columbia,81,60909.0
District of Columbia,95,1560.0
Florida,--,6431696.0
Florida,11,13486.0
Florida,21,5742.0
Florida,22,27931.0
Florida,23,369059.0
Florida,31-33,412993.0
Florida,42,311391.0
Florida,44-45,915111.0
Florida,48-49,183265.0
Florida,51,181754.0
Florida,52,348542.0
Florida,53,137699.0
Florida,54,371157.0
Florida,55,131007.0
Florida,56,1043426.0
Florida,61,101100.0
Florida,62,768747.0
Florida,71,141832.0
Florida,72,613432.0
Florida,81,305215.0
Florida,95,44561.0
Florida,99,4246.0
Georgia,--,3498583.0
Georgia,11,9331.0
Georgia,21,6839.0
Georgia,22,25229.0
Georgia,23,194679.0
Georgia,31-33,491688.0
Georgia,42,201981.0
Georgia,44-45,464576.0
Georgia,48-49,122828.0
Georgia,51,150686.0
Georgia,52,174964.0
Georgia,53,59201.0
Georgia,54,205699.0
Georgia,55,95493.0
Georgia,56,334934.0
