NAICS Code,Total Employment - 2000,MSA
--,49157.0,"Abilene, TX MSA"
21,635.0,"Abilene, TX MSA"
22,461.0,"Abilene, TX MSA"
23,2506.0,"Abilene, TX MSA"
31-33,3706.0,"Abilene, TX MSA"
42,2031.0,"Abilene, TX MSA"
44-45,7230.0,"Abilene, TX MSA"
48-49,1246.0,"Abilene, TX MSA"
51,1337.0,"Abilene, TX MSA"
52,2436.0,"Abilene, TX MSA"
53,811.0,"Abilene, TX MSA"
54,1378.0,"Abilene, TX MSA"
55,447.0,"Abilene, TX MSA"
56,2955.0,"Abilene, TX MSA"
61,2373.0,"Abilene, TX MSA"
62,10176.0,"Abilene, TX MSA"
71,597.0,"Abilene, TX MSA"
72,5695.0,"Abilene, TX MSA"
81,3027.0,"Abilene, TX MSA"
95,66.0,"Abilene, TX MSA"
--,302159.0,"Akron, OH MSA"
23,17628.0,"Akron, OH MSA"
31-33,53531.0,"Akron, OH MSA"
42,17239.0,"Akron, OH MSA"
44-45,40135.0,"Akron, OH MSA"
48-49,7085.0,"Akron, OH MSA"
51,5575.0,"Akron, OH MSA"
52,11505.0,"Akron, OH MSA"
53,3844.0,"Akron, OH MSA"
54,12405.0,"Akron, OH MSA"
55,16938.0,"Akron, OH MSA"
56,21086.0,"Akron, OH MSA"
61,4190.0,"Akron, OH MSA"
62,38052.0,"Akron, OH MSA"
71,4765.0,"Akron, OH MSA"
72,25864.0,"Akron, OH MSA"
81,14692.0,"Akron, OH MSA"
95,4149.0,"Akron, OH MSA"
--,278980.0,"Albuquerque, NM MSA"
23,22213.0,"Albuquerque, NM MSA"
31-33,24669.0,"Albuquerque, NM MSA"
42,13588.0,"Albuquerque, NM MSA"
44-45,39269.0,"Albuquerque, NM MSA"
48-49,7318.0,"Albuquerque, NM MSA"
52,14223.0,"Albuquerque, NM MSA"
54,26183.0,"Albuquerque, NM MSA"
56,22907.0,"Albuquerque, NM MSA"
62,34889.0,"Albuquerque, NM MSA"
71,5525.0,"Albuquerque, NM MSA"
72,29148.0,"Albuquerque, NM MSA"
81,12225.0,"Albuquerque, NM MSA"
--,48286.0,"Alexandria, LA MSA"
11,314.0,"Alexandria, LA MSA"
23,4503.0,"Alexandria, LA MSA"
31-33,3210.0,"Alexandria, LA MSA"
42,1940.0,"Alexandria, LA MSA"
44-45,7838.0,"Alexandria, LA MSA"
48-49,972.0,"Alexandria, LA MSA"
51,1211.0,"Alexandria, LA MSA"
52,1955.0,"Alexandria, LA MSA"
53,743.0,"Alexandria, LA MSA"
54,1994.0,"Alexandria, LA MSA"
55,142.0,"Alexandria, LA MSA"
56,2277.0,"Alexandria, LA MSA"
61,837.0,"Alexandria, LA MSA"
62,11746.0,"Alexandria, LA MSA"
72,3910.0,"Alexandria, LA MSA"
81,2784.0,"Alexandria, LA MSA"
95,78.0,"Alexandria, LA MSA"
--,51851.0,"Altoona, PA MSA"
11,9.0,"Altoona, PA MSA"
21,151.0,"Altoona, PA MSA"
22,197.0,"Altoona, PA MSA"
23,2481.0,"Altoona, PA MSA"
31-33,8959.0,"Altoona, PA MSA"
42,2784.0,"Altoona, PA MSA"
44-45,8839.0,"Altoona, PA MSA"
48-49,1632.0,"Altoona, PA MSA"
51,1704.0,"Altoona, PA MSA"
52,1855.0,"Altoona, PA MSA"
53,392.0,"Altoona, PA MSA"
54,2216.0,"Altoona, PA MSA"
55,698.0,"Altoona, PA MSA"
56,2837.0,"Altoona, PA MSA"
61,328.0,"Altoona, PA MSA"
62,8787.0,"Altoona, PA MSA"
71,627.0,"Altoona, PA MSA"
72,4261.0,"Altoona, PA MSA"
81,2482.0,"Altoona, PA MSA"
95,593.0,"Altoona, PA MSA"
99,19.0,"Altoona, PA MSA"
--,83423.0,"Amarillo, TX MSA"
21,234.0,"Amarillo, TX MSA"
23,5689.0,"Amarillo, TX MSA"
31-33,11085.0,"Amarillo, TX MSA"
42,6176.0,"Amarillo, TX MSA"
44-45,12582.0,"Amarillo, TX MSA"
48-49,2349.0,"Amarillo, TX MSA"
51,2152.0,"Amarillo, TX MSA"
52,4305.0,"Amarillo, TX MSA"
53,1279.0,"Amarillo, TX MSA"
54,3364.0,"Amarillo, TX MSA"
55,1410.0,"Amarillo, TX MSA"
56,3893.0,"Amarillo, TX MSA"
61,385.0,"Amarillo, TX MSA"
62,12905.0,"Amarillo, TX MSA"
71,882.0,"Amarillo, TX MSA"
72,8258.0,"Amarillo, TX MSA"
81,5173.0,"Amarillo, TX MSA"
99,71.0,"Amarillo, TX MSA"
--,112764.0,"Anchorage, AK MSA"
11,258.0,"Anchorage, AK MSA"
21,4909.0,"Anchorage, AK MSA"
22,660.0,"Anchorage, AK MSA"
23,8718.0,"Anchorage, AK MSA"
31-33,1665.0,"Anchorage, AK MSA"
42,5025.0,"Anchorage, AK MSA"
44-45,15928.0,"Anchorage, AK MSA"
48-49,10757.0,"Anchorage, AK MSA"
51,3720.0,"Anchorage, AK MSA"
52,4051.0,"Anchorage, AK MSA"
53,2240.0,"Anchorage, AK MSA"
54,8115.0,"Anchorage, AK MSA"
55,2040.0,"Anchorage, AK MSA"
56,7779.0,"Anchorage, AK MSA"
61,1586.0,"Anchorage, AK MSA"
62,15511.0,"Anchorage, AK MSA"
71,1422.0,"Anchorage, AK MSA"
72,12109.0,"Anchorage, AK MSA"
81,5682.0,"Anchorage, AK MSA"
95,367.0,"Anchorage, AK MSA"
99,222.0,"Anchorage, AK MSA"
--,232376.0,"Ann Arbor, MI MSA"
23,11773.0,"Ann Arbor, MI MSA"
31-33,48925.0,"Ann Arbor, MI MSA"
42,7174.0,"Ann Arbor, MI MSA"
44-45,32168.0,"Ann Arbor, MI MSA"
48-49,4513.0,"Ann Arbor, MI MSA"
51,6411.0,"Ann Arbor, MI MSA"
52,6364.0,"Ann Arbor, MI MSA"
53,2957.0,"Ann Arbor, MI MSA"
54,14174.0,"Ann Arbor, MI MSA"
55,7013.0,"Ann Arbor, MI MSA"
56,14415.0,"Ann Arbor, MI MSA"
61,3333.0,"Ann Arbor, MI MSA"
62,34259.0,"Ann Arbor, MI MSA"
71,2721.0,"Ann Arbor, MI MSA"
72,19314.0,"Ann Arbor, MI MSA"
81,9073.0,"Ann Arbor, MI MSA"
--,40614.0,"Anniston-Oxford, AL MSA"
11,41.0,"Anniston-Oxford, AL MSA"
23,1680.0,"Anniston-Oxford, AL MSA"
31-33,11053.0,"Anniston-Oxford, AL MSA"
42,1744.0,"Anniston-Oxford, AL MSA"
44-45,6217.0,"Anniston-Oxford, AL MSA"
48-49,782.0,"Anniston-Oxford, AL MSA"
51,1056.0,"Anniston-Oxford, AL MSA"
52,1033.0,"Anniston-Oxford, AL MSA"
53,424.0,"Anniston-Oxford, AL MSA"
54,1068.0,"Anniston-Oxford, AL MSA"
55,87.0,"Anniston-Oxford, AL MSA"
56,2294.0,"Anniston-Oxford, AL MSA"
61,270.0,"Anniston-Oxford, AL MSA"
62,5357.0,"Anniston-Oxford, AL MSA"
71,191.0,"Anniston-Oxford, AL MSA"
72,4143.0,"Anniston-Oxford, AL MSA"
81,2087.0,"Anniston-Oxford, AL MSA"
95,659.0,"Anniston-Oxford, AL MSA"
99,76.0,"Anniston-Oxford, AL MSA"
--,191208.0,"Appleton, WI MSA"
21,320.0,"Appleton, WI MSA"
23,12211.0,"Appleton, WI MSA"
31-33,55347.0,"Appleton, WI MSA"
42,8530.0,"Appleton, WI MSA"
44-45,23742.0,"Appleton, WI MSA"
48-49,5664.0,"Appleton, WI MSA"
51,2859.0,"Appleton, WI MSA"
52,9893.0,"Appleton, WI MSA"
53,1645.0,"Appleton, WI MSA"
54,5195.0,"Appleton, WI MSA"
56,11375.0,"Appleton, WI MSA"
61,2702.0,"Appleton, WI MSA"
62,19072.0,"Appleton, WI MSA"
71,2006.0,"Appleton, WI MSA"
72,13951.0,"Appleton, WI MSA"
81,8150.0,"Appleton, WI MSA"
95,697.0,"Appleton, WI MSA"
--,102192.0,"Asheville, NC MSA"
23,6957.0,"Asheville, NC MSA"
31-33,17512.0,"Asheville, NC MSA"
44-45,14472.0,"Asheville, NC MSA"
62,17460.0,"Asheville, NC MSA"
72,11350.0,"Asheville, NC MSA"
81,5028.0,"Asheville, NC MSA"
95,538.0,"Asheville, NC MSA"
--,53579.0,"Athens-Clarke County, GA MSA"
23,2779.0,"Athens-Clarke County, GA MSA"
31-33,10862.0,"Athens-Clarke County, GA MSA"
42,2575.0,"Athens-Clarke County, GA MSA"
44-45,9942.0,"Athens-Clarke County, GA MSA"
51,1289.0,"Athens-Clarke County, GA MSA"
52,1677.0,"Athens-Clarke County, GA MSA"
54,2002.0,"Athens-Clarke County, GA MSA"
56,2855.0,"Athens-Clarke County, GA MSA"
62,7652.0,"Athens-Clarke County, GA MSA"
72,5568.0,"Athens-Clarke County, GA MSA"
81,2788.0,"Athens-Clarke County, GA MSA"
99,24.0,"Athens-Clarke County, GA MSA"
--,2111505.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
22,13401.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
23,129279.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
31-33,183832.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
42,146297.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
44-45,253198.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
48-49,101457.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
51,111687.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
52,114070.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
53,43377.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
54,166353.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
55,82232.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
56,229358.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
62,167812.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
72,173067.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
81,87402.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
95,38933.0,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
--,32271.0,"Auburn-Opelika, AL MSA"
11,110.0,"Auburn-Opelika, AL MSA"
22,104.0,"Auburn-Opelika, AL MSA"
23,2116.0,"Auburn-Opelika, AL MSA"
31-33,6890.0,"Auburn-Opelika, AL MSA"
42,806.0,"Auburn-Opelika, AL MSA"
44-45,5298.0,"Auburn-Opelika, AL MSA"
48-49,471.0,"Auburn-Opelika, AL MSA"
51,595.0,"Auburn-Opelika, AL MSA"
52,846.0,"Auburn-Opelika, AL MSA"
53,608.0,"Auburn-Opelika, AL MSA"
54,694.0,"Auburn-Opelika, AL MSA"
55,11.0,"Auburn-Opelika, AL MSA"
56,2079.0,"Auburn-Opelika, AL MSA"
61,99.0,"Auburn-Opelika, AL MSA"
62,4434.0,"Auburn-Opelika, AL MSA"
71,418.0,"Auburn-Opelika, AL MSA"
72,4876.0,"Auburn-Opelika, AL MSA"
81,1535.0,"Auburn-Opelika, AL MSA"
99,60.0,"Auburn-Opelika, AL MSA"
--,550418.0,"Austin-Round Rock-Georgetown, TX MSA"
22,1216.0,"Austin-Round Rock-Georgetown, TX MSA"
23,37137.0,"Austin-Round Rock-Georgetown, TX MSA"
31-33,75788.0,"Austin-Round Rock-Georgetown, TX MSA"
42,24480.0,"Austin-Round Rock-Georgetown, TX MSA"
44-45,70222.0,"Austin-Round Rock-Georgetown, TX MSA"
48-49,7832.0,"Austin-Round Rock-Georgetown, TX MSA"
51,24260.0,"Austin-Round Rock-Georgetown, TX MSA"
52,28626.0,"Austin-Round Rock-Georgetown, TX MSA"
53,9431.0,"Austin-Round Rock-Georgetown, TX MSA"
54,45018.0,"Austin-Round Rock-Georgetown, TX MSA"
62,53709.0,"Austin-Round Rock-Georgetown, TX MSA"
71,7078.0,"Austin-Round Rock-Georgetown, TX MSA"
72,54403.0,"Austin-Round Rock-Georgetown, TX MSA"
81,26773.0,"Austin-Round Rock-Georgetown, TX MSA"
--,150310.0,"Bakersfield, CA MSA"
11,1735.0,"Bakersfield, CA MSA"
21,5455.0,"Bakersfield, CA MSA"
22,1366.0,"Bakersfield, CA MSA"
23,10076.0,"Bakersfield, CA MSA"
