NAICS Code,Total Employment - 2010,MSA
--,55831,"Abilene, TX MSA"
11,34,"Abilene, TX MSA"
21,1410,"Abilene, TX MSA"
22,391,"Abilene, TX MSA"
23,4294,"Abilene, TX MSA"
31-33,2210,"Abilene, TX MSA"
42,2131,"Abilene, TX MSA"
44-45,8424,"Abilene, TX MSA"
48-49,1788,"Abilene, TX MSA"
51,1132,"Abilene, TX MSA"
52,3072,"Abilene, TX MSA"
53,825,"Abilene, TX MSA"
54,1716,"Abilene, TX MSA"
55,392,"Abilene, TX MSA"
56,2242,"Abilene, TX MSA"
61,3452,"Abilene, TX MSA"
62,12222,"Abilene, TX MSA"
71,690,"Abilene, TX MSA"
72,6437,"Abilene, TX MSA"
81,2961,"Abilene, TX MSA"
99,8,"Abilene, TX MSA"
--,270260,"Akron, OH MSA"
11,20,"Akron, OH MSA"
21,263,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,11935,"Akron, OH MSA"
31-33,33983,"Akron, OH MSA"
42,16458,"Akron, OH MSA"
44-45,36411,"Akron, OH MSA"
48-49,8577,"Akron, OH MSA"
51,5572,"Akron, OH MSA"
52,10156,"Akron, OH MSA"
53,3275,"Akron, OH MSA"
54,16813,"Akron, OH MSA"
55,11940,"Akron, OH MSA"
56,15819,"Akron, OH MSA"
61,5200,"Akron, OH MSA"
62,48337,"Akron, OH MSA"
71,3587,"Akron, OH MSA"
72,25203,"Akron, OH MSA"
81,13845,"Akron, OH MSA"
99,12,"Akron, OH MSA"
--,279882,"Albuquerque, NM MSA"
11,0,"Albuquerque, NM MSA"
21,686,"Albuquerque, NM MSA"
22,0,"Albuquerque, NM MSA"
23,21268,"Albuquerque, NM MSA"
31-33,16751,"Albuquerque, NM MSA"
42,12100,"Albuquerque, NM MSA"
44-45,40802,"Albuquerque, NM MSA"
48-49,7322,"Albuquerque, NM MSA"
51,8656,"Albuquerque, NM MSA"
52,13680,"Albuquerque, NM MSA"
53,4907,"Albuquerque, NM MSA"
54,23400,"Albuquerque, NM MSA"
55,3917,"Albuquerque, NM MSA"
56,17312,"Albuquerque, NM MSA"
61,4894,"Albuquerque, NM MSA"
62,48338,"Albuquerque, NM MSA"
71,6997,"Albuquerque, NM MSA"
72,34009,"Albuquerque, NM MSA"
81,12943,"Albuquerque, NM MSA"
99,0,"Albuquerque, NM MSA"
--,48883,"Alexandria, LA MSA"
11,395,"Alexandria, LA MSA"
21,0,"Alexandria, LA MSA"
22,0,"Alexandria, LA MSA"
23,3901,"Alexandria, LA MSA"
31-33,3772,"Alexandria, LA MSA"
42,1887,"Alexandria, LA MSA"
44-45,7892,"Alexandria, LA MSA"
48-49,982,"Alexandria, LA MSA"
51,699,"Alexandria, LA MSA"
52,1784,"Alexandria, LA MSA"
53,583,"Alexandria, LA MSA"
54,1768,"Alexandria, LA MSA"
55,238,"Alexandria, LA MSA"
56,1919,"Alexandria, LA MSA"
61,931,"Alexandria, LA MSA"
62,13613,"Alexandria, LA MSA"
71,267,"Alexandria, LA MSA"
72,4546,"Alexandria, LA MSA"
81,2827,"Alexandria, LA MSA"
99,0,"Alexandria, LA MSA"
--,284193,"Allentown-Bethlehem-Easton, PA-NJ MSA"
11,29,"Allentown-Bethlehem-Easton, PA-NJ MSA"
21,205,"Allentown-Bethlehem-Easton, PA-NJ MSA"
22,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
23,10940,"Allentown-Bethlehem-Easton, PA-NJ MSA"
31-33,31045,"Allentown-Bethlehem-Easton, PA-NJ MSA"
42,17419,"Allentown-Bethlehem-Easton, PA-NJ MSA"
44-45,40898,"Allentown-Bethlehem-Easton, PA-NJ MSA"
48-49,12636,"Allentown-Bethlehem-Easton, PA-NJ MSA"
51,6907,"Allentown-Bethlehem-Easton, PA-NJ MSA"
