NAICS Code,Total Employment - 2007,MSA
--,56735,"Abilene, TX MSA"
11,31,"Abilene, TX MSA"
21,1476,"Abilene, TX MSA"
22,364,"Abilene, TX MSA"
23,4081,"Abilene, TX MSA"
31-33,2713,"Abilene, TX MSA"
42,2060,"Abilene, TX MSA"
44-45,8977,"Abilene, TX MSA"
48-49,1973,"Abilene, TX MSA"
51,1221,"Abilene, TX MSA"
52,3032,"Abilene, TX MSA"
53,678,"Abilene, TX MSA"
54,1619,"Abilene, TX MSA"
55,534,"Abilene, TX MSA"
56,2595,"Abilene, TX MSA"
61,2962,"Abilene, TX MSA"
62,12108,"Abilene, TX MSA"
71,678,"Abilene, TX MSA"
72,6512,"Abilene, TX MSA"
81,3118,"Abilene, TX MSA"
99,3,"Abilene, TX MSA"
--,296117,"Akron, OH MSA"
11,0,"Akron, OH MSA"
21,725,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,14556,"Akron, OH MSA"
31-33,45082,"Akron, OH MSA"
42,17210,"Akron, OH MSA"
44-45,38825,"Akron, OH MSA"
48-49,11181,"Akron, OH MSA"
51,5568,"Akron, OH MSA"
52,11647,"Akron, OH MSA"
53,3375,"Akron, OH MSA"
54,16344,"Akron, OH MSA"
55,17575,"Akron, OH MSA"
56,16395,"Akron, OH MSA"
61,4576,"Akron, OH MSA"
62,45276,"Akron, OH MSA"
71,3889,"Akron, OH MSA"
72,26482,"Akron, OH MSA"
81,14737,"Akron, OH MSA"
99,34,"Akron, OH MSA"
--,310088,"Albuquerque, NM MSA"
11,59,"Albuquerque, NM MSA"
21,247,"Albuquerque, NM MSA"
22,0,"Albuquerque, NM MSA"
23,29908,"Albuquerque, NM MSA"
31-33,22693,"Albuquerque, NM MSA"
42,14314,"Albuquerque, NM MSA"
44-45,44322,"Albuquerque, NM MSA"
48-49,8625,"Albuquerque, NM MSA"
51,8523,"Albuquerque, NM MSA"
52,15004,"Albuquerque, NM MSA"
53,5509,"Albuquerque, NM MSA"
54,22695,"Albuquerque, NM MSA"
55,8755,"Albuquerque, NM MSA"
56,21419,"Albuquerque, NM MSA"
61,4631,"Albuquerque, NM MSA"
62,46086,"Albuquerque, NM MSA"
71,7648,"Albuquerque, NM MSA"
72,35210,"Albuquerque, NM MSA"
81,13216,"Albuquerque, NM MSA"
99,36,"Albuquerque, NM MSA"
--,50620,"Alexandria, LA MSA"
11,402,"Alexandria, LA MSA"
21,0,"Alexandria, LA MSA"
22,0,"Alexandria, LA MSA"
23,3774,"Alexandria, LA MSA"
31-33,4899,"Alexandria, LA MSA"
42,1956,"Alexandria, LA MSA"
44-45,8546,"Alexandria, LA MSA"
48-49,1107,"Alexandria, LA MSA"
51,889,"Alexandria, LA MSA"
52,1796,"Alexandria, LA MSA"
53,752,"Alexandria, LA MSA"
54,1857,"Alexandria, LA MSA"
55,155,"Alexandria, LA MSA"
56,2133,"Alexandria, LA MSA"
61,850,"Alexandria, LA MSA"
62,13022,"Alexandria, LA MSA"
71,312,"Alexandria, LA MSA"
72,3873,"Alexandria, LA MSA"
81,3537,"Alexandria, LA MSA"
99,4,"Alexandria, LA MSA"
--,304196,"Allentown-Bethlehem-Easton, PA-NJ MSA"
11,35,"Allentown-Bethlehem-Easton, PA-NJ MSA"
21,286,"Allentown-Bethlehem-Easton, PA-NJ MSA"
22,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
23,13988,"Allentown-Bethlehem-Easton, PA-NJ MSA"
31-33,36757,"Allentown-Bethlehem-Easton, PA-NJ MSA"
42,16221,"Allentown-Bethlehem-Easton, PA-NJ MSA"
44-45,43591,"Allentown-Bethlehem-Easton, PA-NJ MSA"
48-49,12915,"Allentown-Bethlehem-Easton, PA-NJ MSA"
51,8965,"Allentown-Bethlehem-Easton, PA-NJ MSA"
52,14071,"Allentown-Bethlehem-Easton, PA-NJ MSA"
53,3044,"Allentown-Bethlehem-Easton, PA-NJ MSA"
54,12522,"Allentown-Bethlehem-Easton, PA-NJ MSA"
55,10252,"Allentown-Bethlehem-Easton, PA-NJ MSA"
56,19679,"Allentown-Bethlehem-Easton, PA-NJ MSA"
61,12168,"Allentown-Bethlehem-Easton, PA-NJ MSA"
62,52650,"Allentown-Bethlehem-Easton, PA-NJ MSA"
71,4769,"Allentown-Bethlehem-Easton, PA-NJ MSA"
72,24528,"Allentown-Bethlehem-Easton, PA-NJ MSA"
81,15249,"Allentown-Bethlehem-Easton, PA-NJ MSA"
99,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
--,51585,"Altoona, PA MSA"
11,0,"Altoona, PA MSA"
21,0,"Altoona, PA MSA"
22,0,"Altoona, PA MSA"
23,2358,"Altoona, PA MSA"
31-33,7549,"Altoona, PA MSA"
42,2315,"Altoona, PA MSA"
44-45,9542,"Altoona, PA MSA"
48-49,3088,"Altoona, PA MSA"
51,1358,"Altoona, PA MSA"
52,1293,"Altoona, PA MSA"
53,334,"Altoona, PA MSA"
54,2307,"Altoona, PA MSA"
55,701,"Altoona, PA MSA"
56,1968,"Altoona, PA MSA"
61,248,"Altoona, PA MSA"
62,10215,"Altoona, PA MSA"
71,535,"Altoona, PA MSA"
72,4964,"Altoona, PA MSA"
81,2601,"Altoona, PA MSA"
99,0,"Altoona, PA MSA"
--,89880,"Amarillo, TX MSA"
11,0,"Amarillo, TX MSA"
21,299,"Amarillo, TX MSA"
22,0,"Amarillo, TX MSA"
23,5779,"Amarillo, TX MSA"
31-33,8060,"Amarillo, TX MSA"
42,4848,"Amarillo, TX MSA"
44-45,14325,"Amarillo, TX MSA"
48-49,3066,"Amarillo, TX MSA"
51,1685,"Amarillo, TX MSA"
52,5096,"Amarillo, TX MSA"
53,1233,"Amarillo, TX MSA"
54,6222,"Amarillo, TX MSA"
