FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
10020.0,"Abbeville, LA Micropolitan Statistical Area",--,Total,10490.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",11,"Agriculture, forestry, fishing and hunting",0.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",21,"Mining, quarrying, and oil and gas extraction",540.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",22,Utilities,0.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",23,Construction,1110.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",31-33,Manufacturing,551.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",42,Wholesale trade,393.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",44-45,Retail trade,2299.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",48-49,Transportation and warehousing,480.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",51,Information,157.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",52,Finance and insurance,461.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",53,Real estate and rental and leasing,380.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",54,"Professional, scientific, and technical services",261.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",55,Management of companies and enterprises,0.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",56,Administrative and support and waste management and remediation services,224.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",61,Educational services,127.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",62,Health care and social assistance,1835.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",71,"Arts, entertainment, and recreation",0.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",72,Accommodation and food services,976.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",81,Other services (except public administration),415.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",99,Industries not classified,0.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",--,Total,19092.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",11,"Agriculture, forestry, fishing and hunting",0.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",21,"Mining, quarrying, and oil and gas extraction",0.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",22,Utilities,133.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",23,Construction,862.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",31-33,Manufacturing,2407.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",42,Wholesale trade,1310.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",44-45,Retail trade,3181.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",48-49,Transportation and warehousing,279.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",51,Information,463.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",52,Finance and insurance,1277.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",53,Real estate and rental and leasing,262.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",54,"Professional, scientific, and technical services",477.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",55,Management of companies and enterprises,0.0
