NAICS Code,Total Employment - 2017,MSA
--,58400,"Abilene, TX MSA"
11,26,"Abilene, TX MSA"
21,1026,"Abilene, TX MSA"
22,720,"Abilene, TX MSA"
23,3478,"Abilene, TX MSA"
31-33,2874,"Abilene, TX MSA"
42,2562,"Abilene, TX MSA"
44-45,8637,"Abilene, TX MSA"
48-49,2242,"Abilene, TX MSA"
51,933,"Abilene, TX MSA"
52,2584,"Abilene, TX MSA"
53,862,"Abilene, TX MSA"
54,1869,"Abilene, TX MSA"
55,352,"Abilene, TX MSA"
56,2348,"Abilene, TX MSA"
61,3674,"Abilene, TX MSA"
62,12948,"Abilene, TX MSA"
71,716,"Abilene, TX MSA"
72,7294,"Abilene, TX MSA"
81,3251,"Abilene, TX MSA"
99,4,"Abilene, TX MSA"
--,296361,"Akron, OH MSA"
11,57,"Akron, OH MSA"
21,347,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,11749,"Akron, OH MSA"
31-33,39520,"Akron, OH MSA"
42,19377,"Akron, OH MSA"
44-45,38157,"Akron, OH MSA"
48-49,10553,"Akron, OH MSA"
51,5577,"Akron, OH MSA"
52,12356,"Akron, OH MSA"
53,3077,"Akron, OH MSA"
54,15249,"Akron, OH MSA"
55,15316,"Akron, OH MSA"
56,17821,"Akron, OH MSA"
61,5290,"Akron, OH MSA"
62,52330,"Akron, OH MSA"
71,4454,"Akron, OH MSA"
72,29261,"Akron, OH MSA"
81,12962,"Akron, OH MSA"
99,12,"Akron, OH MSA"
--,36602,"Albany-Lebanon, OR MSA"
11,641,"Albany-Lebanon, OR MSA"
21,0,"Albany-Lebanon, OR MSA"
22,0,"Albany-Lebanon, OR MSA"
23,2566,"Albany-Lebanon, OR MSA"
31-33,7424,"Albany-Lebanon, OR MSA"
42,1738,"Albany-Lebanon, OR MSA"
44-45,5140,"Albany-Lebanon, OR MSA"
48-49,2903,"Albany-Lebanon, OR MSA"
51,319,"Albany-Lebanon, OR MSA"
52,970,"Albany-Lebanon, OR MSA"
53,383,"Albany-Lebanon, OR MSA"
54,1013,"Albany-Lebanon, OR MSA"
55,143,"Albany-Lebanon, OR MSA"
56,1793,"Albany-Lebanon, OR MSA"
61,329,"Albany-Lebanon, OR MSA"
62,5677,"Albany-Lebanon, OR MSA"
71,212,"Albany-Lebanon, OR MSA"
72,3314,"Albany-Lebanon, OR MSA"
81,1869,"Albany-Lebanon, OR MSA"
99,0,"Albany-Lebanon, OR MSA"
--,303614,"Albuquerque, NM MSA"
11,63,"Albuquerque, NM MSA"
21,262,"Albuquerque, NM MSA"
22,1654,"Albuquerque, NM MSA"
23,20906,"Albuquerque, NM MSA"
31-33,15429,"Albuquerque, NM MSA"
42,11398,"Albuquerque, NM MSA"
44-45,40533,"Albuquerque, NM MSA"
48-49,7765,"Albuquerque, NM MSA"
51,8135,"Albuquerque, NM MSA"
52,12974,"Albuquerque, NM MSA"
53,4641,"Albuquerque, NM MSA"
54,33387,"Albuquerque, NM MSA"
55,5238,"Albuquerque, NM MSA"
