NAICS Code,Total Employment - 2006,MSA
--,55895.0,"Abilene, TX MSA"
21,1141.0,"Abilene, TX MSA"
23,3337.0,"Abilene, TX MSA"
31-33,2948.0,"Abilene, TX MSA"
44-45,8820.0,"Abilene, TX MSA"
52,2986.0,"Abilene, TX MSA"
53,895.0,"Abilene, TX MSA"
62,12067.0,"Abilene, TX MSA"
72,6683.0,"Abilene, TX MSA"
81,3250.0,"Abilene, TX MSA"
--,297342.0,"Akron, OH MSA"
23,14704.0,"Akron, OH MSA"
31-33,48503.0,"Akron, OH MSA"
42,16804.0,"Akron, OH MSA"
44-45,38012.0,"Akron, OH MSA"
48-49,10284.0,"Akron, OH MSA"
51,5034.0,"Akron, OH MSA"
52,11903.0,"Akron, OH MSA"
53,3807.0,"Akron, OH MSA"
54,16038.0,"Akron, OH MSA"
55,15991.0,"Akron, OH MSA"
56,18423.0,"Akron, OH MSA"
61,4564.0,"Akron, OH MSA"
62,44186.0,"Akron, OH MSA"
71,4064.0,"Akron, OH MSA"
72,27530.0,"Akron, OH MSA"
81,14359.0,"Akron, OH MSA"
--,309426.0,"Albuquerque, NM MSA"
23,30820.0,"Albuquerque, NM MSA"
31-33,23153.0,"Albuquerque, NM MSA"
42,14276.0,"Albuquerque, NM MSA"
44-45,44128.0,"Albuquerque, NM MSA"
48-49,8168.0,"Albuquerque, NM MSA"
52,14684.0,"Albuquerque, NM MSA"
54,23852.0,"Albuquerque, NM MSA"
56,20270.0,"Albuquerque, NM MSA"
62,43459.0,"Albuquerque, NM MSA"
72,34917.0,"Albuquerque, NM MSA"
81,12943.0,"Albuquerque, NM MSA"
--,50317.0,"Alexandria, LA MSA"
11,435.0,"Alexandria, LA MSA"
23,3390.0,"Alexandria, LA MSA"
31-33,4206.0,"Alexandria, LA MSA"
44-45,8864.0,"Alexandria, LA MSA"
52,1720.0,"Alexandria, LA MSA"
54,1821.0,"Alexandria, LA MSA"
55,351.0,"Alexandria, LA MSA"
56,2202.0,"Alexandria, LA MSA"
62,13211.0,"Alexandria, LA MSA"
81,3308.0,"Alexandria, LA MSA"
--,301539.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
23,14747.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
31-33,36749.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
42,15669.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
44-45,42705.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
48-49,12383.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
52,16433.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
54,11982.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
56,19646.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
61,12141.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
62,49668.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
72,24072.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
81,14660.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
--,51122.0,"Altoona, PA MSA"
21,63.0,"Altoona, PA MSA"
22,168.0,"Altoona, PA MSA"
23,2435.0,"Altoona, PA MSA"
31-33,7186.0,"Altoona, PA MSA"
42,2472.0,"Altoona, PA MSA"
44-45,8826.0,"Altoona, PA MSA"
48-49,3069.0,"Altoona, PA MSA"
51,1297.0,"Altoona, PA MSA"
52,1422.0,"Altoona, PA MSA"
53,356.0,"Altoona, PA MSA"
54,2571.0,"Altoona, PA MSA"
55,1030.0,"Altoona, PA MSA"
56,1706.0,"Altoona, PA MSA"
61,314.0,"Altoona, PA MSA"
62,10196.0,"Altoona, PA MSA"
71,486.0,"Altoona, PA MSA"
72,4901.0,"Altoona, PA MSA"
81,2619.0,"Altoona, PA MSA"
--,93274.0,"Amarillo, TX MSA"
21,289.0,"Amarillo, TX MSA"
23,6004.0,"Amarillo, TX MSA"
48-49,2680.0,"Amarillo, TX MSA"
72,10424.0,"Amarillo, TX MSA"
--,29268.0,"Ames, IA MSA"
11,134.0,"Ames, IA MSA"
23,1985.0,"Ames, IA MSA"
31-33,4253.0,"Ames, IA MSA"
42,1041.0,"Ames, IA MSA"
44-45,4432.0,"Ames, IA MSA"
48-49,466.0,"Ames, IA MSA"
51,583.0,"Ames, IA MSA"
52,937.0,"Ames, IA MSA"
53,331.0,"Ames, IA MSA"
54,1308.0,"Ames, IA MSA"
55,283.0,"Ames, IA MSA"
56,1322.0,"Ames, IA MSA"
61,137.0,"Ames, IA MSA"
62,4821.0,"Ames, IA MSA"
71,916.0,"Ames, IA MSA"
72,4699.0,"Ames, IA MSA"
81,1502.0,"Ames, IA MSA"
99,1.0,"Ames, IA MSA"
--,150290.0,"Anchorage, AK MSA"
23,14761.0,"Anchorage, AK MSA"
31-33,1702.0,"Anchorage, AK MSA"
42,6202.0,"Anchorage, AK MSA"
44-45,20030.0,"Anchorage, AK MSA"
48-49,11334.0,"Anchorage, AK MSA"
51,4945.0,"Anchorage, AK MSA"
52,5688.0,"Anchorage, AK MSA"
53,2728.0,"Anchorage, AK MSA"
54,10890.0,"Anchorage, AK MSA"
56,15718.0,"Anchorage, AK MSA"
61,1527.0,"Anchorage, AK MSA"
62,21669.0,"Anchorage, AK MSA"
71,2909.0,"Anchorage, AK MSA"
