FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
40.0,"Abilene, TX",--,Total,48503
40.0,"Abilene, TX",11,"Agriculture, forestry, fishing, & hunting",[a]
40.0,"Abilene, TX",21,Mining,1042
40.0,"Abilene, TX",22,Utilities,536
40.0,"Abilene, TX",23,Construction,2396
40.0,"Abilene, TX",31-33,Manufacturing,3462
40.0,"Abilene, TX",42,Wholesale trade,2150
40.0,"Abilene, TX",44-45,Retail Trade,7342
40.0,"Abilene, TX",48-49,Transportation & Warehousing,1277
40.0,"Abilene, TX",51,Information,1348
40.0,"Abilene, TX",52,Finance & insurance,1877
40.0,"Abilene, TX",53,Real estate & rental & leasing,796
40.0,"Abilene, TX",54,"Professional, scientific, & technical services",[g]
40.0,"Abilene, TX",55,Management of companies & enterprises,544
40.0,"Abilene, TX",56,Administrative & support & waste management & remediation serv,2911
40.0,"Abilene, TX",61,Educational services,2456
40.0,"Abilene, TX",62,Health care & social assistance,9720
40.0,"Abilene, TX",71,"Arts, entertainment, & recreation",575
40.0,"Abilene, TX",72,Accommodation & foodservices,5596
40.0,"Abilene, TX",81,Other services (except public administration),3181
40.0,"Abilene, TX",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",62
40.0,"Abilene, TX",99,Unclassified,[b]
80.0,"Akron, OH",--,Total,287987
80.0,"Akron, OH",11,"Agriculture, forestry, fishing, & hunting",[b]
80.0,"Akron, OH",21,Mining,[e]
80.0,"Akron, OH",22,Utilities,1978
80.0,"Akron, OH",23,Construction,15731
80.0,"Akron, OH",31-33,Manufacturing,54680
80.0,"Akron, OH",42,Wholesale trade,16495
80.0,"Akron, OH",44-45,Retail Trade,38400
80.0,"Akron, OH",48-49,Transportation & Warehousing,7799
80.0,"Akron, OH",51,Information,4439
80.0,"Akron, OH",52,Finance & insurance,10143
80.0,"Akron, OH",53,Real estate & rental & leasing,3954
80.0,"Akron, OH",54,"Professional, scientific, & technical services",11818
80.0,"Akron, OH",55,Management of companies & enterprises,16134
80.0,"Akron, OH",56,Administrative & support & waste management & remediation serv,19448
80.0,"Akron, OH",61,Educational services,3319
80.0,"Akron, OH",62,Health care & social assistance,36198
80.0,"Akron, OH",71,"Arts, entertainment, & recreation",4090
80.0,"Akron, OH",72,Accommodation & foodservices,25278
80.0,"Akron, OH",81,Other services (except public administration),14281
80.0,"Akron, OH",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",3269
80.0,"Akron, OH",99,Unclassified,[c]
120.0,"Albany, GA",--,Total,47439
120.0,"Albany, GA",11,"Agriculture, forestry, fishing, & hunting",[e]
120.0,"Albany, GA",21,Mining,[a]
120.0,"Albany, GA",22,Utilities,[c]
120.0,"Albany, GA",23,Construction,3384
120.0,"Albany, GA",31-33,Manufacturing,8714
120.0,"Albany, GA",42,Wholesale trade,2277
120.0,"Albany, GA",44-45,Retail Trade,7523
120.0,"Albany, GA",48-49,Transportation & Warehousing,1419
120.0,"Albany, GA",51,Information,[g]
120.0,"Albany, GA",52,Finance & insurance,1672
120.0,"Albany, GA",53,Real estate & rental & leasing,643
120.0,"Albany, GA",54,"Professional, scientific, & technical services",[g]
120.0,"Albany, GA",55,Management of companies & enterprises,170
120.0,"Albany, GA",56,Administrative & support & waste management & remediation serv,3396
120.0,"Albany, GA",61,Educational services,[e]
120.0,"Albany, GA",62,Health care & social assistance,7516
120.0,"Albany, GA",71,"Arts, entertainment, & recreation",[e]
120.0,"Albany, GA",72,Accommodation & foodservices,3967
120.0,"Albany, GA",81,Other services (except public administration),2883
120.0,"Albany, GA",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",[c]
120.0,"Albany, GA",99,Unclassified,[a]
160.0,"Albany--Schenectady--Troy, NY",--,Total,323468
160.0,"Albany--Schenectady--Troy, NY",11,"Agriculture, forestry, fishing, & hunting",[b]
160.0,"Albany--Schenectady--Troy, NY",21,Mining,[c]
160.0,"Albany--Schenectady--Troy, NY",22,Utilities,1529
160.0,"Albany--Schenectady--Troy, NY",23,Construction,14272
160.0,"Albany--Schenectady--Troy, NY",31-33,Manufacturing,32010
160.0,"Albany--Schenectady--Troy, NY",42,Wholesale trade,15036
