State,NAICS Code,Total Employment - 2013
United States,--,118266253
United States,11,154496
United States,21,732186
United States,22,638575
United States,23,5470181
United States,31-33,11276438
United States,42,5908763
United States,44-45,15023362
United States,48-49,4287236
United States,51,3266084
United States,52,6063761
United States,53,1972105
United States,54,8275350
United States,55,3098762
United States,56,10185297
United States,61,3513469
United States,62,18598711
United States,71,2112000
United States,72,12395387
United States,81,5282688
United States,99,0
Alabama,--,1603100
Alabama,11,6356
Alabama,21,7942
Alabama,22,17238
Alabama,23,78318
Alabama,31-33,242093
Alabama,42,72175
Alabama,44-45,222277
Alabama,48-49,58471
Alabama,51,34447
Alabama,52,69332
Alabama,53,23257
Alabama,54,92520
Alabama,55,16657
Alabama,56,133720
Alabama,61,28969
Alabama,62,240549
Alabama,71,17165
Alabama,72,161421
Alabama,81,80073
Alabama,99,120
Alaska,--,266627
Alaska,11,969
Alaska,21,13029
Alaska,22,2074
Alaska,23,19200
Alaska,31-33,12406
Alaska,42,9041
Alaska,44-45,33175
Alaska,48-49,19097
Alaska,51,6561
Alaska,52,7512
Alaska,53,4550
Alaska,54,18996
Alaska,55,6510
Alaska,56,19279
Alaska,61,3503
Alaska,62,48057
Alaska,71,4678
Alaska,72,27929
Alaska,81,10044
Alaska,99,0
Arizona,--,2173205
Arizona,11,1390
Arizona,21,11234
Arizona,22,12292
Arizona,23,123236
Arizona,31-33,136644
Arizona,42,96074
Arizona,44-45,296132
Arizona,48-49,81274
Arizona,51,47817
Arizona,52,132038
Arizona,53,43959
Arizona,54,128691
Arizona,55,46172
Arizona,56,233414
Arizona,61,72244
Arizona,62,326256
Arizona,71,40538
Arizona,72,259370
Arizona,81,84239
Arizona,99,191
Arkansas,--,978094
Arkansas,11,4474
Arkansas,21,8365
Arkansas,22,7727
Arkansas,23,40629
Arkansas,31-33,153711
Arkansas,42,43299
Arkansas,44-45,138007
Arkansas,48-49,49665
Arkansas,51,25784
Arkansas,52,36295
Arkansas,53,13254
Arkansas,54,33686
Arkansas,55,34690
Arkansas,56,57031
Arkansas,61,18432
Arkansas,62,165607
Arkansas,71,8865
Arkansas,72,96277
Arkansas,81,42188
Arkansas,99,0
California,--,13401863
California,11,24906
California,21,25806
California,22,0
California,23,613955
California,31-33,1146841
California,42,833961
California,44-45,1595788
California,48-49,445742
California,51,582259
California,52,590753
California,53,277273
California,54,1148692
California,55,288820
California,56,1261891
California,61,390823
California,62,1786656
California,71,303635
California,72,1464639
California,81,554877
California,99,0
Colorado,--,2090975
Colorado,11,1646
Colorado,21,28581
Colorado,22,0
Colorado,23,122908
Colorado,31-33,118701
Colorado,42,96393
Colorado,44-45,254679
Colorado,48-49,63219
Colorado,51,81292
Colorado,52,101049
Colorado,53,41563
Colorado,54,182594
Colorado,55,51769
Colorado,56,226550
Colorado,61,46683
Colorado,62,265893
Colorado,71,49448
Colorado,72,249594
Colorado,81,99456
Colorado,99,0
Connecticut,--,1473605
Connecticut,11,360
Connecticut,21,1243
Connecticut,22,0
Connecticut,23,50684
Connecticut,31-33,153370
Connecticut,42,72044
Connecticut,44-45,183805
Connecticut,48-49,40491
Connecticut,51,39120
Connecticut,52,118693
Connecticut,53,18709
Connecticut,54,105226
Connecticut,55,34687
Connecticut,56,86670
Connecticut,61,66749
Connecticut,62,271611
Connecticut,71,25792
Connecticut,72,136558
Connecticut,81,59126
Connecticut,99,0
Delaware,--,382128
Delaware,11,120
Delaware,21,211
Delaware,22,2343
Delaware,23,17838
Delaware,31-33,26239
Delaware,42,15144
Delaware,44-45,52945
Delaware,48-49,11804
Delaware,51,6372
Delaware,52,39196
Delaware,53,5317
Delaware,54,31437
Delaware,55,15022
Delaware,56,30523
Delaware,61,6877
Delaware,62,61496
Delaware,71,8153
Delaware,72,36671
Delaware,81,14370
Delaware,99,0
District of Columbia,--,491130
District of Columbia,11,0
District of Columbia,21,0
