NAICS Code,Total Employment - 2016,MSA
--,59299,"Abilene, TX MSA"
11,20,"Abilene, TX MSA"
21,960,"Abilene, TX MSA"
22,467,"Abilene, TX MSA"
23,4041,"Abilene, TX MSA"
31-33,2840,"Abilene, TX MSA"
42,2633,"Abilene, TX MSA"
44-45,8977,"Abilene, TX MSA"
48-49,2090,"Abilene, TX MSA"
51,1130,"Abilene, TX MSA"
52,2601,"Abilene, TX MSA"
53,926,"Abilene, TX MSA"
54,1885,"Abilene, TX MSA"
55,631,"Abilene, TX MSA"
56,2267,"Abilene, TX MSA"
61,3591,"Abilene, TX MSA"
62,13053,"Abilene, TX MSA"
71,767,"Abilene, TX MSA"
72,7151,"Abilene, TX MSA"
81,3259,"Abilene, TX MSA"
99,10,"Abilene, TX MSA"
--,298043,"Akron, OH MSA"
11,57,"Akron, OH MSA"
21,224,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,13426,"Akron, OH MSA"
31-33,39067,"Akron, OH MSA"
42,19122,"Akron, OH MSA"
44-45,39404,"Akron, OH MSA"
48-49,10156,"Akron, OH MSA"
51,5387,"Akron, OH MSA"
52,11815,"Akron, OH MSA"
53,3467,"Akron, OH MSA"
54,16004,"Akron, OH MSA"
55,15374,"Akron, OH MSA"
56,15712,"Akron, OH MSA"
61,5512,"Akron, OH MSA"
62,53577,"Akron, OH MSA"
71,4532,"Akron, OH MSA"
72,29426,"Akron, OH MSA"
81,12961,"Akron, OH MSA"
99,18,"Akron, OH MSA"
--,36488,"Albany-Lebanon, OR MSA"
11,763,"Albany-Lebanon, OR MSA"
21,45,"Albany-Lebanon, OR MSA"
22,0,"Albany-Lebanon, OR MSA"
23,2290,"Albany-Lebanon, OR MSA"
31-33,7367,"Albany-Lebanon, OR MSA"
42,1680,"Albany-Lebanon, OR MSA"
44-45,5427,"Albany-Lebanon, OR MSA"
48-49,2807,"Albany-Lebanon, OR MSA"
51,335,"Albany-Lebanon, OR MSA"
52,941,"Albany-Lebanon, OR MSA"
53,436,"Albany-Lebanon, OR MSA"
54,909,"Albany-Lebanon, OR MSA"
55,228,"Albany-Lebanon, OR MSA"
56,1912,"Albany-Lebanon, OR MSA"
61,282,"Albany-Lebanon, OR MSA"
62,5526,"Albany-Lebanon, OR MSA"
71,196,"Albany-Lebanon, OR MSA"
72,3415,"Albany-Lebanon, OR MSA"
81,1793,"Albany-Lebanon, OR MSA"
99,10,"Albany-Lebanon, OR MSA"
--,307102,"Albuquerque, NM MSA"
11,63,"Albuquerque, NM MSA"
21,292,"Albuquerque, NM MSA"
22,1609,"Albuquerque, NM MSA"
23,19786,"Albuquerque, NM MSA"
31-33,15624,"Albuquerque, NM MSA"
42,12181,"Albuquerque, NM MSA"
44-45,43131,"Albuquerque, NM MSA"
48-49,7697,"Albuquerque, NM MSA"
51,10705,"Albuquerque, NM MSA"
52,12726,"Albuquerque, NM MSA"
53,4633,"Albuquerque, NM MSA"
54,33069,"Albuquerque, NM MSA"
55,4841,"Albuquerque, NM MSA"
56,19858,"Albuquerque, NM MSA"
61,4128,"Albuquerque, NM MSA"
62,57005,"Albuquerque, NM MSA"
71,5745,"Albuquerque, NM MSA"
72,41433,"Albuquerque, NM MSA"
81,12539,"Albuquerque, NM MSA"
99,37,"Albuquerque, NM MSA"
--,49291,"Alexandria, LA MSA"
11,225,"Alexandria, LA MSA"
21,55,"Alexandria, LA MSA"
22,0,"Alexandria, LA MSA"
23,2973,"Alexandria, LA MSA"
31-33,4006,"Alexandria, LA MSA"
42,1961,"Alexandria, LA MSA"
44-45,8439,"Alexandria, LA MSA"
48-49,1051,"Alexandria, LA MSA"
51,608,"Alexandria, LA MSA"
52,1517,"Alexandria, LA MSA"
53,573,"Alexandria, LA MSA"
54,1938,"Alexandria, LA MSA"
55,211,"Alexandria, LA MSA"
56,1720,"Alexandria, LA MSA"
61,910,"Alexandria, LA MSA"
62,14194,"Alexandria, LA MSA"
71,528,"Alexandria, LA MSA"
72,4988,"Alexandria, LA MSA"
81,2560,"Alexandria, LA MSA"
99,0,"Alexandria, LA MSA"
--,320006,"Allentown-Bethlehem-Easton, PA-NJ MSA"
11,33,"Allentown-Bethlehem-Easton, PA-NJ MSA"
21,116,"Allentown-Bethlehem-Easton, PA-NJ MSA"
22,3081,"Allentown-Bethlehem-Easton, PA-NJ MSA"
23,11906,"Allentown-Bethlehem-Easton, PA-NJ MSA"
31-33,35663,"Allentown-Bethlehem-Easton, PA-NJ MSA"
42,21794,"Allentown-Bethlehem-Easton, PA-NJ MSA"
44-45,44109,"Allentown-Bethlehem-Easton, PA-NJ MSA"
48-49,16829,"Allentown-Bethlehem-Easton, PA-NJ MSA"
51,5437,"Allentown-Bethlehem-Easton, PA-NJ MSA"
52,11320,"Allentown-Bethlehem-Easton, PA-NJ MSA"
53,3072,"Allentown-Bethlehem-Easton, PA-NJ MSA"
54,12039,"Allentown-Bethlehem-Easton, PA-NJ MSA"
55,8777,"Allentown-Bethlehem-Easton, PA-NJ MSA"
56,20237,"Allentown-Bethlehem-Easton, PA-NJ MSA"
61,12838,"Allentown-Bethlehem-Easton, PA-NJ MSA"
62,63608,"Allentown-Bethlehem-Easton, PA-NJ MSA"
71,5489,"Allentown-Bethlehem-Easton, PA-NJ MSA"
72,29524,"Allentown-Bethlehem-Easton, PA-NJ MSA"
81,14103,"Allentown-Bethlehem-Easton, PA-NJ MSA"
99,31,"Allentown-Bethlehem-Easton, PA-NJ MSA"
--,53686,"Altoona, PA MSA"
11,15,"Altoona, PA MSA"
21,0,"Altoona, PA MSA"
22,178,"Altoona, PA MSA"
23,2300,"Altoona, PA MSA"
31-33,6809,"Altoona, PA MSA"
42,2172,"Altoona, PA MSA"
44-45,8887,"Altoona, PA MSA"
48-49,3352,"Altoona, PA MSA"
51,1193,"Altoona, PA MSA"
52,1544,"Altoona, PA MSA"
53,406,"Altoona, PA MSA"
54,1790,"Altoona, PA MSA"
55,1128,"Altoona, PA MSA"
56,2164,"Altoona, PA MSA"
61,286,"Altoona, PA MSA"
62,13387,"Altoona, PA MSA"
71,553,"Altoona, PA MSA"
72,4924,"Altoona, PA MSA"
81,2549,"Altoona, PA MSA"
99,3,"Altoona, PA MSA"
--,95383,"Amarillo, TX MSA"
11,64,"Amarillo, TX MSA"
21,370,"Amarillo, TX MSA"
22,1613,"Amarillo, TX MSA"
23,6255,"Amarillo, TX MSA"
31-33,11365,"Amarillo, TX MSA"
42,5606,"Amarillo, TX MSA"
44-45,14727,"Amarillo, TX MSA"
48-49,3254,"Amarillo, TX MSA"
51,1347,"Amarillo, TX MSA"
52,5505,"Amarillo, TX MSA"
53,1362,"Amarillo, TX MSA"
54,3127,"Amarillo, TX MSA"
55,1042,"Amarillo, TX MSA"
56,3578,"Amarillo, TX MSA"
61,829,"Amarillo, TX MSA"
62,16435,"Amarillo, TX MSA"
71,1174,"Amarillo, TX MSA"
72,12147,"Amarillo, TX MSA"
81,5560,"Amarillo, TX MSA"
99,23,"Amarillo, TX MSA"
--,32670,"Ames, IA MSA"
11,172,"Ames, IA MSA"
21,0,"Ames, IA MSA"
22,114,"Ames, IA MSA"
23,1953,"Ames, IA MSA"
31-33,4951,"Ames, IA MSA"
42,720,"Ames, IA MSA"
44-45,5173,"Ames, IA MSA"
48-49,469,"Ames, IA MSA"
51,1219,"Ames, IA MSA"
52,720,"Ames, IA MSA"
53,570,"Ames, IA MSA"
54,1413,"Ames, IA MSA"
55,434,"Ames, IA MSA"
56,1454,"Ames, IA MSA"
61,159,"Ames, IA MSA"
62,5626,"Ames, IA MSA"
71,940,"Ames, IA MSA"
72,4945,"Ames, IA MSA"
81,1553,"Ames, IA MSA"
99,3,"Ames, IA MSA"
--,165702,"Anchorage, AK MSA"
11,48,"Anchorage, AK MSA"
21,6440,"Anchorage, AK MSA"
22,800,"Anchorage, AK MSA"
23,11161,"Anchorage, AK MSA"
31-33,2131,"Anchorage, AK MSA"
42,6485,"Anchorage, AK MSA"
44-45,19743,"Anchorage, AK MSA"
48-49,11342,"Anchorage, AK MSA"
51,5121,"Anchorage, AK MSA"
52,5515,"Anchorage, AK MSA"
53,2569,"Anchorage, AK MSA"
54,16278,"Anchorage, AK MSA"
55,5919,"Anchorage, AK MSA"
56,12750,"Anchorage, AK MSA"
61,1852,"Anchorage, AK MSA"
62,29917,"Anchorage, AK MSA"
71,2987,"Anchorage, AK MSA"
72,18572,"Anchorage, AK MSA"
81,6048,"Anchorage, AK MSA"
99,24,"Anchorage, AK MSA"
--,150135,"Ann Arbor, MI MSA"
11,47,"Ann Arbor, MI MSA"
21,31,"Ann Arbor, MI MSA"
22,357,"Ann Arbor, MI MSA"
23,4976,"Ann Arbor, MI MSA"
31-33,15005,"Ann Arbor, MI MSA"
42,4134,"Ann Arbor, MI MSA"
44-45,17704,"Ann Arbor, MI MSA"
48-49,3366,"Ann Arbor, MI MSA"
51,6210,"Ann Arbor, MI MSA"
52,3911,"Ann Arbor, MI MSA"
53,2085,"Ann Arbor, MI MSA"
54,15217,"Ann Arbor, MI MSA"
55,3543,"Ann Arbor, MI MSA"
56,8238,"Ann Arbor, MI MSA"
61,2056,"Ann Arbor, MI MSA"
62,37479,"Ann Arbor, MI MSA"
71,2419,"Ann Arbor, MI MSA"
72,17001,"Ann Arbor, MI MSA"
81,6320,"Ann Arbor, MI MSA"
99,36,"Ann Arbor, MI MSA"
--,35843,"Anniston-Oxford, AL MSA"
11,54,"Anniston-Oxford, AL MSA"
