State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,115061184
United States,11,"Agriculture, forestry, fishing, & hunting",183476
United States,21,Mining,485565
United States,22,Utilities,654484
United States,23,Construction,6491994
United States,31-33,Manufacturing,15950424
United States,42,Wholesale trade,6142089
United States,44-45,Retail Trade,14890289
United States,48-49,Transportation & Warehousing,3750663
United States,51,Information,3754698
United States,52,Finance & insurance,6248400
United States,53,Real estate & rental & leasing,2013673
United States,54,"Professional, scientific, & technical services",7156579
United States,55,Management of companies & enterprises,2879223
United States,56,Administrative & support & waste management & remediation serv,9061987
United States,61,Educational services,2612430
United States,62,Health care & social assistance,14534726
United States,71,"Arts, entertainment, & recreation",1780362
United States,72,Accommodation & foodservices,9972301
United States,81,Other services (except public administration),5370479
United States,95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",1022114
United States,99,Unclassified,105228
Alabama,--,Total,1620952
Alabama,11,"Agriculture, forestry, fishing, & hunting",8210
Alabama,21,Mining,7353
Alabama,22,Utilities,14896
Alabama,23,Construction,102471
Alabama,31-33,Manufacturing,312352
Alabama,42,Wholesale trade,79873
Alabama,44-45,Retail Trade,227367
Alabama,48-49,Transportation & Warehousing,47494
Alabama,51,Information,36877
Alabama,52,Finance & insurance,72319
Alabama,53,Real estate & rental & leasing,23791
Alabama,54,"Professional, scientific, & technical services",76061
Alabama,55,Management of companies & enterprises,20283
Alabama,56,Administrative & support & waste management & remediation serv,123738
Alabama,61,Educational services,21126
Alabama,62,Health care & social assistance,208130
Alabama,71,"Arts, entertainment, & recreation",14165
Alabama,72,Accommodation & foodservices,127776
Alabama,81,Other services (except public administration),84345
Alabama,95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",11374
Alabama,99,Unclassified,951
Alaska,--,Total,214297
Alaska,11,"Agriculture, forestry, fishing, & hunting",1610
Alaska,21,Mining,9698
Alaska,22,Utilities,1925
Alaska,23,Construction,15183
Alaska,31-33,Manufacturing,11012
Alaska,42,Wholesale trade,7148
Alaska,44-45,Retail Trade,33401
Alaska,48-49,Transportation & Warehousing,18104
Alaska,51,Information,6431
Alaska,52,Finance & insurance,7084
Alaska,53,Real estate & rental & leasing,4863
Alaska,54,"Professional, scientific, & technical services",11404
Alaska,55,Management of companies & enterprises,2768
Alaska,56,Administrative & support & waste management & remediation serv,11258
Alaska,61,Educational services,2663
Alaska,62,Health care & social assistance,32602
Alaska,71,"Arts, entertainment, & recreation",[h]
Alaska,72,Accommodation & foodservices,21926
Alaska,81,Other services (except public administration),11351
