State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,124085947.0
United States,11,"Agriculture, Forestry, Fishing and Hunting",160144.0
United States,21,"Mining, Quarrying, and Oil and Gas Extraction",743660.0
United States,22,Utilities,639234.0
United States,23,Construction,6008286.0
United States,31-33,Manufacturing,11605501.0
United States,42,Wholesale Trade,6076109.0
United States,44-45,Retail Trade,15704167.0
United States,48-49,Transportation and Warehousing,4616568.0
United States,51,Information,3394317.0
United States,52,Finance and Insurance,6135914.0
United States,53,Real Estate and Rental and Leasing,2065427.0
United States,54,"Professional, Scientific, and Technical Services",8798260.0
United States,55,Management of Companies and Enterprises,3308759.0
United States,56,Administrative and Support and Waste Management and Remediation Services,11112465.0
United States,61,Educational Services,3642170.0
United States,62,Health Care and Social Assistance,19221864.0
United States,71,"Arts, Entertainment, and Recreation",2230822.0
United States,72,Accommodation and Food Services,13196892.0
United States,81,Other Services (except Public Administration),5401233.0
United States,99,Industries not classified,24155.0
Alabama,--,Total,1634391.0
Alabama,11,"Agriculture, Forestry, Fishing and Hunting",6597.0
Alabama,21,"Mining, Quarrying, and Oil and Gas Extraction",7442.0
Alabama,22,Utilities,17415.0
Alabama,23,Construction,79220.0
Alabama,31-33,Manufacturing,248033.0
Alabama,42,Wholesale Trade,71347.0
Alabama,44-45,Retail Trade,231788.0
Alabama,48-49,Transportation and Warehousing,58578.0
Alabama,51,Information,32939.0
Alabama,52,Finance and Insurance,69400.0
Alabama,53,Real Estate and Rental and Leasing,23229.0
Alabama,54,"Professional, Scientific, and Technical Services",96861.0
Alabama,55,Management of Companies and Enterprises,19180.0
Alabama,56,Administrative and Support and Waste Management and Remediation Services,134919.0
Alabama,61,Educational Services,25886.0
Alabama,62,Health Care and Social Assistance,241618.0
Alabama,71,"Arts, Entertainment, and Recreation",17449.0
Alabama,72,Accommodation and Food Services,171391.0
Alabama,81,Other Services (except Public Administration),80793.0
Alabama,99,Industries not classified,306.0
Alaska,--,Total,267999.0
Alaska,11,"Agriculture, Forestry, Fishing and Hunting",819.0
Alaska,21,"Mining, Quarrying, and Oil and Gas Extraction",13566.0
Alaska,22,Utilities,2081.0
Alaska,23,Construction,18581.0
Alaska,31-33,Manufacturing,12294.0
Alaska,42,Wholesale Trade,9125.0
Alaska,44-45,Retail Trade,35221.0
Alaska,48-49,Transportation and Warehousing,18736.0
Alaska,51,Information,6711.0
Alaska,52,Finance and Insurance,7340.0
Alaska,53,Real Estate and Rental and Leasing,4455.0
Alaska,54,"Professional, Scientific, and Technical Services",18662.0
Alaska,55,Management of Companies and Enterprises,7821.0
Alaska,56,Administrative and Support and Waste Management and Remediation Services,17628.0
Alaska,61,Educational Services,3025.0
Alaska,62,Health Care and Social Assistance,49240.0
Alaska,71,"Arts, Entertainment, and Recreation",4639.0
Alaska,72,Accommodation and Food Services,28112.0
Alaska,81,Other Services (except Public Administration),9867.0
Alaska,99,Industries not classified,76.0
Arizona,--,Total,2295186.0
Arizona,11,"Agriculture, Forestry, Fishing and Hunting",1610.0
Arizona,21,"Mining, Quarrying, and Oil and Gas Extraction",11941.0
Arizona,22,Utilities,12448.0
Arizona,23,Construction,133038.0
Arizona,31-33,Manufacturing,140742.0
Arizona,42,Wholesale Trade,92335.0
Arizona,44-45,Retail Trade,314461.0
Arizona,48-49,Transportation and Warehousing,87151.0
Arizona,51,Information,49040.0
Arizona,52,Finance and Insurance,141104.0
Arizona,53,Real Estate and Rental and Leasing,45027.0
Arizona,54,"Professional, Scientific, and Technical Services",144711.0
Arizona,55,Management of Companies and Enterprises,53144.0
Arizona,56,Administrative and Support and Waste Management and Remediation Services,256103.0
Arizona,61,Educational Services,57650.0
Arizona,62,Health Care and Social Assistance,338701.0
Arizona,71,"Arts, Entertainment, and Recreation",45977.0
Arizona,72,Accommodation and Food Services,282120.0
Arizona,81,Other Services (except Public Administration),87510.0
Arizona,99,Industries not classified,373.0
Arkansas,--,Total,1003113.0
Arkansas,11,"Agriculture, Forestry, Fishing and Hunting",4773.0
Arkansas,21,"Mining, Quarrying, and Oil and Gas Extraction",7163.0
Arkansas,22,Utilities,7341.0
Arkansas,23,Construction,43465.0
Arkansas,31-33,Manufacturing,155487.0
Arkansas,42,Wholesale Trade,44463.0
Arkansas,44-45,Retail Trade,143230.0
Arkansas,48-49,Transportation and Warehousing,52637.0
Arkansas,51,Information,24670.0
Arkansas,52,Finance and Insurance,36327.0
Arkansas,53,Real Estate and Rental and Leasing,12440.0
Arkansas,54,"Professional, Scientific, and Technical Services",36828.0
Arkansas,55,Management of Companies and Enterprises,37991.0
Arkansas,56,Administrative and Support and Waste Management and Remediation Services,60761.0
Arkansas,61,Educational Services,15724.0
Arkansas,62,Health Care and Social Assistance,168568.0
Arkansas,71,"Arts, Entertainment, and Recreation",9385.0
Arkansas,72,Accommodation and Food Services,100906.0
Arkansas,81,Other Services (except Public Administration),40757.0
Arkansas,99,Industries not classified,197.0
California,--,Total,14325377.0
California,11,"Agriculture, Forestry, Fishing and Hunting",26336.0
California,21,"Mining, Quarrying, and Oil and Gas Extraction",24380.0
California,22,Utilities,59668.0
California,23,Construction,686757.0
