FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
10020.0,"Abbeville, LA Micropolitan Statistical Area",--,Total,10165.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",11,"Agriculture, forestry, fishing and hunting",0.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",21,"Mining, quarrying, and oil and gas extraction",716.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",22,Utilities,0.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",23,Construction,948.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",31-33,Manufacturing,551.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",42,Wholesale trade,417.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",44-45,Retail trade,2097.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",48-49,Transportation and warehousing,545.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",51,Information,166.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",52,Finance and insurance,487.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",53,Real estate and rental and leasing,280.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",54,"Professional, scientific, and technical services",316.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",55,Management of companies and enterprises,0.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",56,Administrative and support and waste management and remediation services,178.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",61,Educational services,126.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",62,Health care and social assistance,1791.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",71,"Arts, entertainment, and recreation",91.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",72,Accommodation and food services,865.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",81,Other services (except public administration),406.0
10020.0,"Abbeville, LA Micropolitan Statistical Area",99,Industries not classified,0.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",--,Total,18828.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",11,"Agriculture, forestry, fishing and hunting",0.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",21,"Mining, quarrying, and oil and gas extraction",0.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",22,Utilities,134.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",23,Construction,757.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",31-33,Manufacturing,2622.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",42,Wholesale trade,1292.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",44-45,Retail trade,3056.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",48-49,Transportation and warehousing,348.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",51,Information,374.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",52,Finance and insurance,1055.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",53,Real estate and rental and leasing,244.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",54,"Professional, scientific, and technical services",494.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",55,Management of companies and enterprises,0.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",56,Administrative and support and waste management and remediation services,617.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",61,Educational services,422.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",62,Health care and social assistance,3342.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",71,"Arts, entertainment, and recreation",0.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",72,Accommodation and food services,2803.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",81,Other services (except public administration),659.0
10100.0,"Aberdeen, SD Micropolitan Statistical Area",99,Industries not classified,2.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",--,Total,15169.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",11,"Agriculture, forestry, fishing and hunting",597.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",21,"Mining, quarrying, and oil and gas extraction",0.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",22,Utilities,0.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",23,Construction,809.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",31-33,Manufacturing,2204.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",42,Wholesale trade,506.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",44-45,Retail trade,2854.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",48-49,Transportation and warehousing,399.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",51,Information,191.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",52,Finance and insurance,660.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",53,Real estate and rental and leasing,265.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",54,"Professional, scientific, and technical services",425.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",55,Management of companies and enterprises,20.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",56,Administrative and support and waste management and remediation services,447.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",61,Educational services,0.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",62,Health care and social assistance,2834.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",71,"Arts, entertainment, and recreation",170.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",72,Accommodation and food services,1975.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",81,Other services (except public administration),777.0
10140.0,"Aberdeen, WA Micropolitan Statistical Area",99,Industries not classified,5.0
10180.0,"Abilene, TX Metropolitan Statistical Area",--,Total,55193.0
10180.0,"Abilene, TX Metropolitan Statistical Area",11,"Agriculture, forestry, fishing and hunting",0.0
10180.0,"Abilene, TX Metropolitan Statistical Area",21,"Mining, quarrying, and oil and gas extraction",1640.0
10180.0,"Abilene, TX Metropolitan Statistical Area",22,Utilities,424.0
10180.0,"Abilene, TX Metropolitan Statistical Area",23,Construction,3111.0
10180.0,"Abilene, TX Metropolitan Statistical Area",31-33,Manufacturing,2295.0
10180.0,"Abilene, TX Metropolitan Statistical Area",42,Wholesale trade,2277.0
10180.0,"Abilene, TX Metropolitan Statistical Area",44-45,Retail trade,8535.0
10180.0,"Abilene, TX Metropolitan Statistical Area",48-49,Transportation and warehousing,1688.0
10180.0,"Abilene, TX Metropolitan Statistical Area",51,Information,1071.0
10180.0,"Abilene, TX Metropolitan Statistical Area",52,Finance and insurance,2962.0
10180.0,"Abilene, TX Metropolitan Statistical Area",53,Real estate and rental and leasing,877.0
10180.0,"Abilene, TX Metropolitan Statistical Area",54,"Professional, scientific, and technical services",1815.0
10180.0,"Abilene, TX Metropolitan Statistical Area",55,Management of companies and enterprises,409.0
10180.0,"Abilene, TX Metropolitan Statistical Area",56,Administrative and support and waste management and remediation services,2230.0
10180.0,"Abilene, TX Metropolitan Statistical Area",61,Educational services,3367.0
10180.0,"Abilene, TX Metropolitan Statistical Area",62,Health care and social assistance,12137.0
10180.0,"Abilene, TX Metropolitan Statistical Area",71,"Arts, entertainment, and recreation",695.0
10180.0,"Abilene, TX Metropolitan Statistical Area",72,Accommodation and food services,6732.0
10180.0,"Abilene, TX Metropolitan Statistical Area",81,Other services (except public administration),2890.0
10180.0,"Abilene, TX Metropolitan Statistical Area",99,Industries not classified,0.0
10220.0,"Ada, OK Micropolitan Statistical Area",--,Total,12686.0
10220.0,"Ada, OK Micropolitan Statistical Area",21,"Mining, quarrying, and oil and gas extraction",417.0
10220.0,"Ada, OK Micropolitan Statistical Area",22,Utilities,0.0
10220.0,"Ada, OK Micropolitan Statistical Area",23,Construction,446.0
10220.0,"Ada, OK Micropolitan Statistical Area",31-33,Manufacturing,0.0
10220.0,"Ada, OK Micropolitan Statistical Area",42,Wholesale trade,467.0
10220.0,"Ada, OK Micropolitan Statistical Area",44-45,Retail trade,1764.0
10220.0,"Ada, OK Micropolitan Statistical Area",48-49,Transportation and warehousing,297.0
10220.0,"Ada, OK Micropolitan Statistical Area",51,Information,144.0
10220.0,"Ada, OK Micropolitan Statistical Area",52,Finance and insurance,1233.0
10220.0,"Ada, OK Micropolitan Statistical Area",53,Real estate and rental and leasing,324.0
10220.0,"Ada, OK Micropolitan Statistical Area",54,"Professional, scientific, and technical services",379.0
10220.0,"Ada, OK Micropolitan Statistical Area",55,Management of companies and enterprises,0.0
10220.0,"Ada, OK Micropolitan Statistical Area",56,Administrative and support and waste management and remediation services,440.0
10220.0,"Ada, OK Micropolitan Statistical Area",61,Educational services,0.0
10220.0,"Ada, OK Micropolitan Statistical Area",62,Health care and social assistance,3306.0
10220.0,"Ada, OK Micropolitan Statistical Area",71,"Arts, entertainment, and recreation",226.0
10220.0,"Ada, OK Micropolitan Statistical Area",72,Accommodation and food services,1200.0
10220.0,"Ada, OK Micropolitan Statistical Area",81,Other services (except public administration),496.0
10220.0,"Ada, OK Micropolitan Statistical Area",99,Industries not classified,0.0
10300.0,"Adrian, MI Micropolitan Statistical Area",--,Total,22482.0
