State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,118266253.0
United States,11,"Agriculture, Forestry, Fishing and Hunting",154496.0
United States,21,"Mining, Quarrying, and Oil and Gas Extraction",732186.0
United States,22,Utilities,638575.0
United States,23,Construction,5470181.0
United States,31-33,Manufacturing,11276438.0
United States,42,Wholesale Trade,5908763.0
United States,44-45,Retail Trade,15023362.0
United States,48-49,Transportation and Warehousing,4287236.0
United States,51,Information,3266084.0
United States,52,Finance and Insurance,6063761.0
United States,53,Real Estate and Rental and Leasing,1972105.0
United States,54,"Professional, Scientific, and Technical Services",8275350.0
United States,55,Management of Companies and Enterprises,3098762.0
United States,56,Administrative and Support and Waste Management and Remediation Services,10185297.0
United States,61,Educational Services,3513469.0
United States,62,Health Care and Social Assistance,18598711.0
United States,71,"Arts, Entertainment, and Recreation",2112000.0
United States,72,Accommodation and Food Services,12395387.0
United States,81,Other Services (except Public Administration),5282688.0
United States,99,Industries not classified,0.0
Alabama,--,Total,1603100.0
Alabama,11,"Agriculture, Forestry, Fishing and Hunting",6356.0
Alabama,21,"Mining, Quarrying, and Oil and Gas Extraction",7942.0
Alabama,22,Utilities,17238.0
Alabama,23,Construction,78318.0
Alabama,31-33,Manufacturing,242093.0
Alabama,42,Wholesale Trade,72175.0
Alabama,44-45,Retail Trade,222277.0
Alabama,48-49,Transportation and Warehousing,58471.0
Alabama,51,Information,34447.0
Alabama,52,Finance and Insurance,69332.0
Alabama,53,Real Estate and Rental and Leasing,23257.0
Alabama,54,"Professional, Scientific, and Technical Services",92520.0
Alabama,55,Management of Companies and Enterprises,16657.0
Alabama,56,Administrative and Support and Waste Management and Remediation Services,133720.0
Alabama,61,Educational Services,28969.0
Alabama,62,Health Care and Social Assistance,240549.0
Alabama,71,"Arts, Entertainment, and Recreation",17165.0
Alabama,72,Accommodation and Food Services,161421.0
Alabama,81,Other Services (except Public Administration),80073.0
Alabama,99,Industries not classified,120.0
Alaska,--,Total,266627.0
Alaska,11,"Agriculture, Forestry, Fishing and Hunting",969.0
Alaska,21,"Mining, Quarrying, and Oil and Gas Extraction",13029.0
Alaska,22,Utilities,2074.0
Alaska,23,Construction,19200.0
Alaska,31-33,Manufacturing,12406.0
Alaska,42,Wholesale Trade,9041.0
Alaska,44-45,Retail Trade,33175.0
Alaska,48-49,Transportation and Warehousing,19097.0
Alaska,51,Information,6561.0
Alaska,52,Finance and Insurance,7512.0
Alaska,53,Real Estate and Rental and Leasing,4550.0
Alaska,54,"Professional, Scientific, and Technical Services",18996.0
Alaska,55,Management of Companies and Enterprises,6510.0
Alaska,56,Administrative and Support and Waste Management and Remediation Services,19279.0
Alaska,61,Educational Services,3503.0
Alaska,62,Health Care and Social Assistance,48057.0
Alaska,71,"Arts, Entertainment, and Recreation",4678.0
Alaska,72,Accommodation and Food Services,27929.0
Alaska,81,Other Services (except Public Administration),10044.0
Alaska,99,Industries not classified,0.0
Arizona,--,Total,2173205.0
Arizona,11,"Agriculture, Forestry, Fishing and Hunting",1390.0
Arizona,21,"Mining, Quarrying, and Oil and Gas Extraction",11234.0
Arizona,22,Utilities,12292.0
Arizona,23,Construction,123236.0
Arizona,31-33,Manufacturing,136644.0
Arizona,42,Wholesale Trade,96074.0
Arizona,44-45,Retail Trade,296132.0
Arizona,48-49,Transportation and Warehousing,81274.0
Arizona,51,Information,47817.0
Arizona,52,Finance and Insurance,132038.0
Arizona,53,Real Estate and Rental and Leasing,43959.0
Arizona,54,"Professional, Scientific, and Technical Services",128691.0
Arizona,55,Management of Companies and Enterprises,46172.0
Arizona,56,Administrative and Support and Waste Management and Remediation Services,233414.0
Arizona,61,Educational Services,72244.0
Arizona,62,Health Care and Social Assistance,326256.0
Arizona,71,"Arts, Entertainment, and Recreation",40538.0
Arizona,72,Accommodation and Food Services,259370.0
Arizona,81,Other Services (except Public Administration),84239.0
Arizona,99,Industries not classified,191.0
Arkansas,--,Total,978094.0
Arkansas,11,"Agriculture, Forestry, Fishing and Hunting",4474.0
Arkansas,21,"Mining, Quarrying, and Oil and Gas Extraction",8365.0
Arkansas,22,Utilities,7727.0
Arkansas,23,Construction,40629.0
Arkansas,31-33,Manufacturing,153711.0
Arkansas,42,Wholesale Trade,43299.0
Arkansas,44-45,Retail Trade,138007.0
Arkansas,48-49,Transportation and Warehousing,49665.0
Arkansas,51,Information,25784.0
Arkansas,52,Finance and Insurance,36295.0
Arkansas,53,Real Estate and Rental and Leasing,13254.0
Arkansas,54,"Professional, Scientific, and Technical Services",33686.0
Arkansas,55,Management of Companies and Enterprises,34690.0
Arkansas,56,Administrative and Support and Waste Management and Remediation Services,57031.0
Arkansas,61,Educational Services,18432.0
Arkansas,62,Health Care and Social Assistance,165607.0
Arkansas,71,"Arts, Entertainment, and Recreation",8865.0
Arkansas,72,Accommodation and Food Services,96277.0
Arkansas,81,Other Services (except Public Administration),42188.0
Arkansas,99,Industries not classified,0.0
California,--,Total,13401863.0
California,11,"Agriculture, Forestry, Fishing and Hunting",24906.0
California,21,"Mining, Quarrying, and Oil and Gas Extraction",25806.0
California,22,Utilities,0.0
California,23,Construction,613955.0
California,31-33,Manufacturing,1146841.0
California,42,Wholesale Trade,833961.0
California,44-45,Retail Trade,1595788.0
California,48-49,Transportation and Warehousing,445742.0
California,51,Information,582259.0
California,52,Finance and Insurance,590753.0
California,53,Real Estate and Rental and Leasing,277273.0
California,54,"Professional, Scientific, and Technical Services",1148692.0
California,55,Management of Companies and Enterprises,288820.0
California,56,Administrative and Support and Waste Management and Remediation Services,1261891.0
California,61,Educational Services,390823.0
California,62,Health Care and Social Assistance,1786656.0
California,71,"Arts, Entertainment, and Recreation",303635.0
California,72,Accommodation and Food Services,1464639.0
California,81,Other Services (except Public Administration),554877.0
California,99,Industries not classified,0.0
Colorado,--,Total,2090975.0
Colorado,11,"Agriculture, Forestry, Fishing and Hunting",1646.0
Colorado,21,"Mining, Quarrying, and Oil and Gas Extraction",28581.0
Colorado,22,Utilities,0.0
Colorado,23,Construction,122908.0
Colorado,31-33,Manufacturing,118701.0
Colorado,42,Wholesale Trade,96393.0
Colorado,44-45,Retail Trade,254679.0
Colorado,48-49,Transportation and Warehousing,63219.0
Colorado,51,Information,81292.0
Colorado,52,Finance and Insurance,101049.0
Colorado,53,Real Estate and Rental and Leasing,41563.0
