FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
10100.0,"Aberdeen, SD Micro Area",--,Total,18652.0
10100.0,"Aberdeen, SD Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",0.0
10100.0,"Aberdeen, SD Micro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
10100.0,"Aberdeen, SD Micro Area",22,Utilities,122.0
10100.0,"Aberdeen, SD Micro Area",23,Construction,825.0
10100.0,"Aberdeen, SD Micro Area",31-33,Manufacturing,2995.0
10100.0,"Aberdeen, SD Micro Area",42,Wholesale Trade,1358.0
10100.0,"Aberdeen, SD Micro Area",44-45,Retail Trade,3121.0
10100.0,"Aberdeen, SD Micro Area",48-49,Transportation and Warehousing,346.0
10100.0,"Aberdeen, SD Micro Area",51,Information,409.0
10100.0,"Aberdeen, SD Micro Area",52,Finance and Insurance,1006.0
10100.0,"Aberdeen, SD Micro Area",53,Real Estate and Rental and Leasing,281.0
10100.0,"Aberdeen, SD Micro Area",54,"Professional, Scientific, and Technical Services",464.0
10100.0,"Aberdeen, SD Micro Area",55,Management of Companies and Enterprises,0.0
10100.0,"Aberdeen, SD Micro Area",56,Administrative and Support and Waste Management and Remediation Services,646.0
10100.0,"Aberdeen, SD Micro Area",61,Educational Services,384.0
10100.0,"Aberdeen, SD Micro Area",62,Health Care and Social Assistance,3070.0
10100.0,"Aberdeen, SD Micro Area",71,"Arts, Entertainment, and Recreation",0.0
10100.0,"Aberdeen, SD Micro Area",72,Accommodation and Food Services,2342.0
10100.0,"Aberdeen, SD Micro Area",81,Other Services (except Public Administration),699.0
10100.0,"Aberdeen, SD Micro Area",99,Industries not classified,0.0
10140.0,"Aberdeen, WA Micro Area",--,Total,15916.0
10140.0,"Aberdeen, WA Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",569.0
10140.0,"Aberdeen, WA Micro Area",22,Utilities,0.0
10140.0,"Aberdeen, WA Micro Area",23,Construction,1331.0
10140.0,"Aberdeen, WA Micro Area",31-33,Manufacturing,2275.0
10140.0,"Aberdeen, WA Micro Area",42,Wholesale Trade,557.0
10140.0,"Aberdeen, WA Micro Area",44-45,Retail Trade,2891.0
10140.0,"Aberdeen, WA Micro Area",48-49,Transportation and Warehousing,442.0
10140.0,"Aberdeen, WA Micro Area",51,Information,187.0
10140.0,"Aberdeen, WA Micro Area",52,Finance and Insurance,634.0
10140.0,"Aberdeen, WA Micro Area",53,Real Estate and Rental and Leasing,249.0
10140.0,"Aberdeen, WA Micro Area",54,"Professional, Scientific, and Technical Services",429.0
10140.0,"Aberdeen, WA Micro Area",55,Management of Companies and Enterprises,0.0
10140.0,"Aberdeen, WA Micro Area",56,Administrative and Support and Waste Management and Remediation Services,550.0
10140.0,"Aberdeen, WA Micro Area",61,Educational Services,0.0
10140.0,"Aberdeen, WA Micro Area",62,Health Care and Social Assistance,2785.0
10140.0,"Aberdeen, WA Micro Area",71,"Arts, Entertainment, and Recreation",157.0
10140.0,"Aberdeen, WA Micro Area",72,Accommodation and Food Services,1929.0
10140.0,"Aberdeen, WA Micro Area",81,Other Services (except Public Administration),864.0
10140.0,"Aberdeen, WA Micro Area",99,Industries not classified,2.0
10180.0,"Abilene, TX Metro Area",--,Total,57474.0
10180.0,"Abilene, TX Metro Area",11,"Agriculture, Forestry, Fishing and Hunting",33.0
10180.0,"Abilene, TX Metro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",2184.0
10180.0,"Abilene, TX Metro Area",22,Utilities,421.0
10180.0,"Abilene, TX Metro Area",23,Construction,2992.0
10180.0,"Abilene, TX Metro Area",31-33,Manufacturing,2514.0
10180.0,"Abilene, TX Metro Area",42,Wholesale Trade,2242.0
10180.0,"Abilene, TX Metro Area",44-45,Retail Trade,8470.0
10180.0,"Abilene, TX Metro Area",48-49,Transportation and Warehousing,1696.0
10180.0,"Abilene, TX Metro Area",51,Information,1065.0
10180.0,"Abilene, TX Metro Area",52,Finance and Insurance,3024.0
10180.0,"Abilene, TX Metro Area",53,Real Estate and Rental and Leasing,836.0
10180.0,"Abilene, TX Metro Area",54,"Professional, Scientific, and Technical Services",1882.0
10180.0,"Abilene, TX Metro Area",55,Management of Companies and Enterprises,758.0
10180.0,"Abilene, TX Metro Area",56,Administrative and Support and Waste Management and Remediation Services,2576.0
10180.0,"Abilene, TX Metro Area",61,Educational Services,3374.0
10180.0,"Abilene, TX Metro Area",62,Health Care and Social Assistance,13050.0
10180.0,"Abilene, TX Metro Area",71,"Arts, Entertainment, and Recreation",671.0
10180.0,"Abilene, TX Metro Area",72,Accommodation and Food Services,6575.0
10180.0,"Abilene, TX Metro Area",81,Other Services (except Public Administration),3102.0
10180.0,"Abilene, TX Metro Area",99,Industries not classified,0.0
10220.0,"Ada, OK Micro Area",--,Total,13304.0
10220.0,"Ada, OK Micro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",444.0
10220.0,"Ada, OK Micro Area",22,Utilities,0.0
10220.0,"Ada, OK Micro Area",23,Construction,512.0
10220.0,"Ada, OK Micro Area",31-33,Manufacturing,1322.0
10220.0,"Ada, OK Micro Area",42,Wholesale Trade,472.0
10220.0,"Ada, OK Micro Area",44-45,Retail Trade,1932.0
10220.0,"Ada, OK Micro Area",48-49,Transportation and Warehousing,318.0
10220.0,"Ada, OK Micro Area",51,Information,132.0
10220.0,"Ada, OK Micro Area",52,Finance and Insurance,1183.0
10220.0,"Ada, OK Micro Area",53,Real Estate and Rental and Leasing,0.0
10220.0,"Ada, OK Micro Area",54,"Professional, Scientific, and Technical Services",342.0
10220.0,"Ada, OK Micro Area",55,Management of Companies and Enterprises,0.0
10220.0,"Ada, OK Micro Area",56,Administrative and Support and Waste Management and Remediation Services,0.0
10220.0,"Ada, OK Micro Area",61,Educational Services,0.0
10220.0,"Ada, OK Micro Area",62,Health Care and Social Assistance,3607.0
10220.0,"Ada, OK Micro Area",71,"Arts, Entertainment, and Recreation",0.0
10220.0,"Ada, OK Micro Area",72,Accommodation and Food Services,1351.0
10220.0,"Ada, OK Micro Area",81,Other Services (except Public Administration),483.0
10220.0,"Ada, OK Micro Area",99,Industries not classified,0.0
10300.0,"Adrian, MI Micro Area",--,Total,22852.0
10300.0,"Adrian, MI Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",0.0
10300.0,"Adrian, MI Micro Area",22,Utilities,0.0
10300.0,"Adrian, MI Micro Area",23,Construction,622.0
10300.0,"Adrian, MI Micro Area",31-33,Manufacturing,4498.0
10300.0,"Adrian, MI Micro Area",42,Wholesale Trade,0.0
10300.0,"Adrian, MI Micro Area",44-45,Retail Trade,3874.0
10300.0,"Adrian, MI Micro Area",48-49,Transportation and Warehousing,431.0
10300.0,"Adrian, MI Micro Area",51,Information,318.0
10300.0,"Adrian, MI Micro Area",52,Finance and Insurance,852.0
10300.0,"Adrian, MI Micro Area",53,Real Estate and Rental and Leasing,185.0
10300.0,"Adrian, MI Micro Area",54,"Professional, Scientific, and Technical Services",596.0
10300.0,"Adrian, MI Micro Area",55,Management of Companies and Enterprises,115.0
10300.0,"Adrian, MI Micro Area",56,Administrative and Support and Waste Management and Remediation Services,962.0
10300.0,"Adrian, MI Micro Area",61,Educational Services,1966.0
10300.0,"Adrian, MI Micro Area",62,Health Care and Social Assistance,3164.0
10300.0,"Adrian, MI Micro Area",71,"Arts, Entertainment, and Recreation",334.0
10300.0,"Adrian, MI Micro Area",72,Accommodation and Food Services,2624.0
10300.0,"Adrian, MI Micro Area",81,Other Services (except Public Administration),1593.0
10300.0,"Adrian, MI Micro Area",99,Industries not classified,0.0
10420.0,"Akron, OH Metro Area",--,Total,284198.0
10420.0,"Akron, OH Metro Area",11,"Agriculture, Forestry, Fishing and Hunting",48.0
10420.0,"Akron, OH Metro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",264.0
10420.0,"Akron, OH Metro Area",22,Utilities,0.0
10420.0,"Akron, OH Metro Area",23,Construction,11303.0
10420.0,"Akron, OH Metro Area",31-33,Manufacturing,38568.0
10420.0,"Akron, OH Metro Area",42,Wholesale Trade,18310.0
10420.0,"Akron, OH Metro Area",44-45,Retail Trade,37243.0
10420.0,"Akron, OH Metro Area",48-49,Transportation and Warehousing,8750.0
10420.0,"Akron, OH Metro Area",51,Information,4943.0
10420.0,"Akron, OH Metro Area",52,Finance and Insurance,10759.0
10420.0,"Akron, OH Metro Area",53,Real Estate and Rental and Leasing,3104.0
10420.0,"Akron, OH Metro Area",54,"Professional, Scientific, and Technical Services",16213.0
10420.0,"Akron, OH Metro Area",55,Management of Companies and Enterprises,14072.0
10420.0,"Akron, OH Metro Area",56,Administrative and Support and Waste Management and Remediation Services,18581.0
10420.0,"Akron, OH Metro Area",61,Educational Services,5063.0
10420.0,"Akron, OH Metro Area",62,Health Care and Social Assistance,50544.0
10420.0,"Akron, OH Metro Area",71,"Arts, Entertainment, and Recreation",3745.0
10420.0,"Akron, OH Metro Area",72,Accommodation and Food Services,26314.0
10420.0,"Akron, OH Metro Area",81,Other Services (except Public Administration),13384.0
10420.0,"Akron, OH Metro Area",99,Industries not classified,0.0
10460.0,"Alamogordo, NM Micro Area",--,Total,11632.0
10460.0,"Alamogordo, NM Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",0.0
10460.0,"Alamogordo, NM Micro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
10460.0,"Alamogordo, NM Micro Area",22,Utilities,119.0
10460.0,"Alamogordo, NM Micro Area",23,Construction,956.0
10460.0,"Alamogordo, NM Micro Area",31-33,Manufacturing,183.0
10460.0,"Alamogordo, NM Micro Area",42,Wholesale Trade,161.0
10460.0,"Alamogordo, NM Micro Area",44-45,Retail Trade,2283.0
10460.0,"Alamogordo, NM Micro Area",48-49,Transportation and Warehousing,240.0
10460.0,"Alamogordo, NM Micro Area",51,Information,181.0
10460.0,"Alamogordo, NM Micro Area",52,Finance and Insurance,330.0
10460.0,"Alamogordo, NM Micro Area",53,Real Estate and Rental and Leasing,150.0
10460.0,"Alamogordo, NM Micro Area",54,"Professional, Scientific, and Technical Services",596.0
10460.0,"Alamogordo, NM Micro Area",55,Management of Companies and Enterprises,0.0
10460.0,"Alamogordo, NM Micro Area",56,Administrative and Support and Waste Management and Remediation Services,0.0
10460.0,"Alamogordo, NM Micro Area",61,Educational Services,223.0
10460.0,"Alamogordo, NM Micro Area",62,Health Care and Social Assistance,2270.0
10460.0,"Alamogordo, NM Micro Area",71,"Arts, Entertainment, and Recreation",0.0
10460.0,"Alamogordo, NM Micro Area",72,Accommodation and Food Services,2349.0
10460.0,"Alamogordo, NM Micro Area",81,Other Services (except Public Administration),669.0
10460.0,"Alamogordo, NM Micro Area",99,Industries not classified,0.0
10500.0,"Albany, GA Metro Area",--,Total,46716.0
10500.0,"Albany, GA Metro Area",11,"Agriculture, Forestry, Fishing and Hunting",423.0
10500.0,"Albany, GA Metro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
10500.0,"Albany, GA Metro Area",22,Utilities,0.0
10500.0,"Albany, GA Metro Area",23,Construction,2298.0
10500.0,"Albany, GA Metro Area",31-33,Manufacturing,3954.0
10500.0,"Albany, GA Metro Area",42,Wholesale Trade,2265.0
10500.0,"Albany, GA Metro Area",44-45,Retail Trade,7857.0
10500.0,"Albany, GA Metro Area",48-49,Transportation and Warehousing,2305.0
10500.0,"Albany, GA Metro Area",51,Information,694.0
10500.0,"Albany, GA Metro Area",52,Finance and Insurance,1541.0
10500.0,"Albany, GA Metro Area",53,Real Estate and Rental and Leasing,622.0
10500.0,"Albany, GA Metro Area",54,"Professional, Scientific, and Technical Services",2707.0
10500.0,"Albany, GA Metro Area",55,Management of Companies and Enterprises,208.0
10500.0,"Albany, GA Metro Area",56,Administrative and Support and Waste Management and Remediation Services,4514.0
10500.0,"Albany, GA Metro Area",61,Educational Services,293.0
10500.0,"Albany, GA Metro Area",62,Health Care and Social Assistance,9585.0
10500.0,"Albany, GA Metro Area",71,"Arts, Entertainment, and Recreation",0.0
10500.0,"Albany, GA Metro Area",72,Accommodation and Food Services,4800.0
10500.0,"Albany, GA Metro Area",81,Other Services (except Public Administration),2165.0
10500.0,"Albany, GA Metro Area",99,Industries not classified,0.0
10540.0,"Albany, OR Metro Area",--,Total,32484.0
10540.0,"Albany, OR Metro Area",11,"Agriculture, Forestry, Fishing and Hunting",572.0
10540.0,"Albany, OR Metro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
10540.0,"Albany, OR Metro Area",22,Utilities,0.0
10540.0,"Albany, OR Metro Area",23,Construction,1827.0
10540.0,"Albany, OR Metro Area",31-33,Manufacturing,6629.0
10540.0,"Albany, OR Metro Area",42,Wholesale Trade,1532.0
10540.0,"Albany, OR Metro Area",44-45,Retail Trade,4702.0
10540.0,"Albany, OR Metro Area",48-49,Transportation and Warehousing,2399.0
10540.0,"Albany, OR Metro Area",51,Information,320.0
10540.0,"Albany, OR Metro Area",52,Finance and Insurance,786.0
10540.0,"Albany, OR Metro Area",53,Real Estate and Rental and Leasing,375.0
10540.0,"Albany, OR Metro Area",54,"Professional, Scientific, and Technical Services",916.0
10540.0,"Albany, OR Metro Area",55,Management of Companies and Enterprises,0.0
10540.0,"Albany, OR Metro Area",56,Administrative and Support and Waste Management and Remediation Services,2433.0
10540.0,"Albany, OR Metro Area",61,Educational Services,349.0
10540.0,"Albany, OR Metro Area",62,Health Care and Social Assistance,4735.0
10540.0,"Albany, OR Metro Area",71,"Arts, Entertainment, and Recreation",228.0
10540.0,"Albany, OR Metro Area",72,Accommodation and Food Services,2811.0
10540.0,"Albany, OR Metro Area",81,Other Services (except Public Administration),1564.0
10540.0,"Albany, OR Metro Area",99,Industries not classified,4.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",--,Total,330245.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",11,"Agriculture, Forestry, Fishing and Hunting",164.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",377.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",22,Utilities,1518.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",23,Construction,15853.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",31-33,Manufacturing,19653.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",42,Wholesale Trade,12109.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",44-45,Retail Trade,47125.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",48-49,Transportation and Warehousing,9637.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",51,Information,9973.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",52,Finance and Insurance,21357.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",53,Real Estate and Rental and Leasing,4697.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",54,"Professional, Scientific, and Technical Services",26124.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",55,Management of Companies and Enterprises,6042.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",56,Administrative and Support and Waste Management and Remediation Services,17758.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",61,Educational Services,20790.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",62,Health Care and Social Assistance,63813.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",71,"Arts, Entertainment, and Recreation",7248.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",72,Accommodation and Food Services,31368.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",81,Other Services (except Public Administration),14625.0
10580.0,"Albany-Schenectady-Troy, NY Metro Area",99,Industries not classified,0.0
10620.0,"Albemarle, NC Micro Area",--,Total,15369.0
10620.0,"Albemarle, NC Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",56.0
10620.0,"Albemarle, NC Micro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
10620.0,"Albemarle, NC Micro Area",22,Utilities,0.0
10620.0,"Albemarle, NC Micro Area",23,Construction,989.0
10620.0,"Albemarle, NC Micro Area",31-33,Manufacturing,3148.0
10620.0,"Albemarle, NC Micro Area",42,Wholesale Trade,386.0
10620.0,"Albemarle, NC Micro Area",44-45,Retail Trade,2707.0
10620.0,"Albemarle, NC Micro Area",48-49,Transportation and Warehousing,51.0
10620.0,"Albemarle, NC Micro Area",51,Information,111.0
10620.0,"Albemarle, NC Micro Area",52,Finance and Insurance,348.0
10620.0,"Albemarle, NC Micro Area",53,Real Estate and Rental and Leasing,148.0
10620.0,"Albemarle, NC Micro Area",54,"Professional, Scientific, and Technical Services",293.0
10620.0,"Albemarle, NC Micro Area",55,Management of Companies and Enterprises,193.0
10620.0,"Albemarle, NC Micro Area",56,Administrative and Support and Waste Management and Remediation Services,437.0
10620.0,"Albemarle, NC Micro Area",61,Educational Services,0.0
10620.0,"Albemarle, NC Micro Area",62,Health Care and Social Assistance,3293.0
10620.0,"Albemarle, NC Micro Area",71,"Arts, Entertainment, and Recreation",276.0
10620.0,"Albemarle, NC Micro Area",72,Accommodation and Food Services,1629.0
10620.0,"Albemarle, NC Micro Area",81,Other Services (except Public Administration),720.0
10660.0,"Albert Lea, MN Micro Area",--,Total,11306.0
10660.0,"Albert Lea, MN Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",0.0
10660.0,"Albert Lea, MN Micro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
10660.0,"Albert Lea, MN Micro Area",22,Utilities,0.0
10660.0,"Albert Lea, MN Micro Area",23,Construction,385.0
10660.0,"Albert Lea, MN Micro Area",31-33,Manufacturing,2594.0
10660.0,"Albert Lea, MN Micro Area",42,Wholesale Trade,509.0
10660.0,"Albert Lea, MN Micro Area",44-45,Retail Trade,1812.0
10660.0,"Albert Lea, MN Micro Area",48-49,Transportation and Warehousing,294.0
10660.0,"Albert Lea, MN Micro Area",51,Information,0.0
10660.0,"Albert Lea, MN Micro Area",52,Finance and Insurance,475.0
10660.0,"Albert Lea, MN Micro Area",53,Real Estate and Rental and Leasing,0.0
10660.0,"Albert Lea, MN Micro Area",54,"Professional, Scientific, and Technical Services",225.0
10660.0,"Albert Lea, MN Micro Area",55,Management of Companies and Enterprises,0.0
10660.0,"Albert Lea, MN Micro Area",56,Administrative and Support and Waste Management and Remediation Services,396.0
10660.0,"Albert Lea, MN Micro Area",61,Educational Services,0.0
10660.0,"Albert Lea, MN Micro Area",62,Health Care and Social Assistance,0.0
10660.0,"Albert Lea, MN Micro Area",71,"Arts, Entertainment, and Recreation",100.0
10660.0,"Albert Lea, MN Micro Area",72,Accommodation and Food Services,991.0
10660.0,"Albert Lea, MN Micro Area",81,Other Services (except Public Administration),627.0
10700.0,"Albertville, AL Micro Area",--,Total,30290.0
10700.0,"Albertville, AL Micro Area",11,"Agriculture, Forestry, Fishing and Hunting",0.0
10700.0,"Albertville, AL Micro Area",21,"Mining, Quarrying, and Oil and Gas Extraction",0.0
10700.0,"Albertville, AL Micro Area",22,Utilities,0.0
10700.0,"Albertville, AL Micro Area",23,Construction,808.0
10700.0,"Albertville, AL Micro Area",31-33,Manufacturing,10642.0
10700.0,"Albertville, AL Micro Area",42,Wholesale Trade,1638.0
10700.0,"Albertville, AL Micro Area",44-45,Retail Trade,4615.0
10700.0,"Albertville, AL Micro Area",48-49,Transportation and Warehousing,748.0
10700.0,"Albertville, AL Micro Area",51,Information,523.0
10700.0,"Albertville, AL Micro Area",52,Finance and Insurance,789.0
10700.0,"Albertville, AL Micro Area",53,Real Estate and Rental and Leasing,594.0
10700.0,"Albertville, AL Micro Area",54,"Professional, Scientific, and Technical Services",563.0
10700.0,"Albertville, AL Micro Area",55,Management of Companies and Enterprises,378.0
