FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
40.0,"Abilene, TX",--,Total,48514
40.0,"Abilene, TX",11,"Agriculture, forestry, fishing, & hunting",[a]
40.0,"Abilene, TX",21,Mining,491
40.0,"Abilene, TX",22,Utilities,482
40.0,"Abilene, TX",23,Construction,2300
40.0,"Abilene, TX",31-33,Manufacturing,3702
40.0,"Abilene, TX",42,Wholesale trade,2120
40.0,"Abilene, TX",44-45,Retail Trade,7339
40.0,"Abilene, TX",48-49,Transportation & Warehousing,1189
40.0,"Abilene, TX",51,Information,1445
40.0,"Abilene, TX",52,Finance & insurance,1893
40.0,"Abilene, TX",53,Real estate & rental & leasing,745
40.0,"Abilene, TX",54,"Professional, scientific, & technical services",1323
40.0,"Abilene, TX",55,Management of companies & enterprises,456
40.0,"Abilene, TX",56,Administrative & support & waste management & remediation serv,3150
40.0,"Abilene, TX",61,Educational services,2323
40.0,"Abilene, TX",62,Health care & social assistance,10145
40.0,"Abilene, TX",71,"Arts, entertainment, & recreation",623
40.0,"Abilene, TX",72,Accommodation & foodservices,5606
40.0,"Abilene, TX",81,Other services (except public administration),3114
40.0,"Abilene, TX",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",39
40.0,"Abilene, TX",99,Unclassified,[b]
80.0,"Akron, OH",--,Total,290061
80.0,"Akron, OH",11,"Agriculture, forestry, fishing, & hunting",[b]
80.0,"Akron, OH",21,Mining,[e]
80.0,"Akron, OH",22,Utilities,2777
80.0,"Akron, OH",23,Construction,13455
80.0,"Akron, OH",31-33,Manufacturing,55559
80.0,"Akron, OH",42,Wholesale trade,16730
80.0,"Akron, OH",44-45,Retail Trade,38311
80.0,"Akron, OH",48-49,Transportation & Warehousing,7725
80.0,"Akron, OH",51,Information,4818
80.0,"Akron, OH",52,Finance & insurance,10527
80.0,"Akron, OH",53,Real estate & rental & leasing,3875
80.0,"Akron, OH",54,"Professional, scientific, & technical services",12001
80.0,"Akron, OH",55,Management of companies & enterprises,16909
80.0,"Akron, OH",56,Administrative & support & waste management & remediation serv,18875
80.0,"Akron, OH",61,Educational services,3861
80.0,"Akron, OH",62,Health care & social assistance,36909
80.0,"Akron, OH",71,"Arts, entertainment, & recreation",4490
80.0,"Akron, OH",72,Accommodation & foodservices,25294
80.0,"Akron, OH",81,Other services (except public administration),14216
80.0,"Akron, OH",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",3136
80.0,"Akron, OH",99,Unclassified,[c]
120.0,"Albany, GA",--,Total,46939
120.0,"Albany, GA",11,"Agriculture, forestry, fishing, & hunting",[e]
120.0,"Albany, GA",21,Mining,[a]
120.0,"Albany, GA",22,Utilities,[c]
120.0,"Albany, GA",23,Construction,3602
120.0,"Albany, GA",31-33,Manufacturing,8217
120.0,"Albany, GA",42,Wholesale trade,2330
120.0,"Albany, GA",44-45,Retail Trade,7499
120.0,"Albany, GA",48-49,Transportation & Warehousing,1679
120.0,"Albany, GA",51,Information,1320
120.0,"Albany, GA",52,Finance & insurance,1423
120.0,"Albany, GA",53,Real estate & rental & leasing,[f]
120.0,"Albany, GA",54,"Professional, scientific, & technical services",1475
120.0,"Albany, GA",55,Management of companies & enterprises,[c]
120.0,"Albany, GA",56,Administrative & support & waste management & remediation serv,3129
120.0,"Albany, GA",61,Educational services,489
120.0,"Albany, GA",62,Health care & social assistance,7400
120.0,"Albany, GA",71,"Arts, entertainment, & recreation",[e]
120.0,"Albany, GA",72,Accommodation & foodservices,3756
120.0,"Albany, GA",81,Other services (except public administration),3056
120.0,"Albany, GA",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",[b]
120.0,"Albany, GA",99,Unclassified,[b]
160.0,"Albany--Schenectady--Troy, NY",--,Total,331972
160.0,"Albany--Schenectady--Troy, NY",11,"Agriculture, forestry, fishing, & hunting",90
160.0,"Albany--Schenectady--Troy, NY",21,Mining,[c]
160.0,"Albany--Schenectady--Troy, NY",22,Utilities,1526
160.0,"Albany--Schenectady--Troy, NY",23,Construction,14941
160.0,"Albany--Schenectady--Troy, NY",31-33,Manufacturing,32325
160.0,"Albany--Schenectady--Troy, NY",42,Wholesale trade,15207
160.0,"Albany--Schenectady--Troy, NY",44-45,Retail Trade,49672
160.0,"Albany--Schenectady--Troy, NY",48-49,Transportation & Warehousing,6905
160.0,"Albany--Schenectady--Troy, NY",51,Information,11058
160.0,"Albany--Schenectady--Troy, NY",52,Finance & insurance,25570
160.0,"Albany--Schenectady--Troy, NY",53,Real estate & rental & leasing,4150
160.0,"Albany--Schenectady--Troy, NY",54,"Professional, scientific, & technical services",21119
160.0,"Albany--Schenectady--Troy, NY",55,Management of companies & enterprises,7464
160.0,"Albany--Schenectady--Troy, NY",56,Administrative & support & waste management & remediation serv,18088
160.0,"Albany--Schenectady--Troy, NY",61,Educational services,17756
160.0,"Albany--Schenectady--Troy, NY",62,Health care & social assistance,55296
160.0,"Albany--Schenectady--Troy, NY",71,"Arts, entertainment, & recreation",3679
160.0,"Albany--Schenectady--Troy, NY",72,Accommodation & foodservices,24839
160.0,"Albany--Schenectady--Troy, NY",81,Other services (except public administration),17874
160.0,"Albany--Schenectady--Troy, NY",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",3839
160.0,"Albany--Schenectady--Troy, NY",99,Unclassified,[e]
200.0,"Albuquerque, NM",--,Total,277059
200.0,"Albuquerque, NM",11,"Agriculture, forestry, fishing, & hunting",47
200.0,"Albuquerque, NM",21,Mining,655
200.0,"Albuquerque, NM",22,Utilities,[g]
200.0,"Albuquerque, NM",23,Construction,21276
200.0,"Albuquerque, NM",31-33,Manufacturing,24756
