FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
40.0,"Abilene, TX",--,Total,49157
40.0,"Abilene, TX",11,"Agriculture, forestry, fishing, & hunting",[a]
40.0,"Abilene, TX",21,Mining,635
40.0,"Abilene, TX",22,Utilities,461
40.0,"Abilene, TX",23,Construction,2506
40.0,"Abilene, TX",31-33,Manufacturing,3706
40.0,"Abilene, TX",42,Wholesale trade,2031
40.0,"Abilene, TX",44-45,Retail Trade,7230
40.0,"Abilene, TX",48-49,Transportation & Warehousing,1246
40.0,"Abilene, TX",51,Information,1337
40.0,"Abilene, TX",52,Finance & insurance,2436
40.0,"Abilene, TX",53,Real estate & rental & leasing,811
40.0,"Abilene, TX",54,"Professional, scientific, & technical services",1378
40.0,"Abilene, TX",55,Management of companies & enterprises,447
40.0,"Abilene, TX",56,Administrative & support & waste management & remediation serv,2955
40.0,"Abilene, TX",61,Educational services,2373
40.0,"Abilene, TX",62,Health care & social assistance,10176
40.0,"Abilene, TX",71,"Arts, entertainment, & recreation",597
40.0,"Abilene, TX",72,Accommodation & foodservices,5695
40.0,"Abilene, TX",81,Other services (except public administration),3027
40.0,"Abilene, TX",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",66
40.0,"Abilene, TX",99,Unclassified,[b]
80.0,"Akron, OH",--,Total,302159
80.0,"Akron, OH",11,"Agriculture, forestry, fishing, & hunting",[b]
80.0,"Akron, OH",21,Mining,[e]
80.0,"Akron, OH",22,Utilities,[h]
80.0,"Akron, OH",23,Construction,17628
80.0,"Akron, OH",31-33,Manufacturing,53531
80.0,"Akron, OH",42,Wholesale trade,17239
80.0,"Akron, OH",44-45,Retail Trade,40135
80.0,"Akron, OH",48-49,Transportation & Warehousing,7085
80.0,"Akron, OH",51,Information,5575
80.0,"Akron, OH",52,Finance & insurance,11505
80.0,"Akron, OH",53,Real estate & rental & leasing,3844
80.0,"Akron, OH",54,"Professional, scientific, & technical services",12405
80.0,"Akron, OH",55,Management of companies & enterprises,16938
80.0,"Akron, OH",56,Administrative & support & waste management & remediation serv,21086
80.0,"Akron, OH",61,Educational services,4190
80.0,"Akron, OH",62,Health care & social assistance,38052
80.0,"Akron, OH",71,"Arts, entertainment, & recreation",4765
80.0,"Akron, OH",72,Accommodation & foodservices,25864
80.0,"Akron, OH",81,Other services (except public administration),14692
80.0,"Akron, OH",95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",4149
80.0,"Akron, OH",99,Unclassified,[c]
120.0,"Albany, GA",--,Total,48113
120.0,"Albany, GA",11,"Agriculture, forestry, fishing, & hunting",283
120.0,"Albany, GA",21,Mining,[a]
120.0,"Albany, GA",22,Utilities,[c]
120.0,"Albany, GA",23,Construction,3668
120.0,"Albany, GA",31-33,Manufacturing,8447
120.0,"Albany, GA",42,Wholesale trade,2252
120.0,"Albany, GA",44-45,Retail Trade,7508
120.0,"Albany, GA",48-49,Transportation & Warehousing,1622
120.0,"Albany, GA",51,Information,[g]
120.0,"Albany, GA",52,Finance & insurance,1408
120.0,"Albany, GA",53,Real estate & rental & leasing,665
120.0,"Albany, GA",54,"Professional, scientific, & technical services",[g]
120.0,"Albany, GA",55,Management of companies & enterprises,143
120.0,"Albany, GA",56,Administrative & support & waste management & remediation serv,3855
120.0,"Albany, GA",61,Educational services,537
120.0,"Albany, GA",62,Health care & social assistance,7462
120.0,"Albany, GA",71,"Arts, entertainment, & recreation",[c]
120.0,"Albany, GA",72,Accommodation & foodservices,3997
120.0,"Albany, GA",81,Other services (except public administration),2891
