State,NAICS Code,Total Employment - 2000
United States,--,114064976.0
United States,11,183565.0
United States,21,456128.0
United States,22,655230.0
United States,23,6572800.0
United States,31-33,16473994.0
United States,42,6112029.0
United States,44-45,14840775.0
United States,48-49,3790002.0
United States,51,3545731.0
United States,52,5963426.0
United States,53,1942046.0
United States,54,6816216.0
United States,55,2873521.0
United States,56,9138100.0
United States,61,2532324.0
United States,62,14108655.0
United States,71,1741497.0
United States,72,9880923.0
United States,81,5293399.0
United States,95,1001015.0
United States,99,143600.0
Alabama,--,1653074.0
Alabama,11,8789.0
Alabama,21,7286.0
Alabama,22,14616.0
Alabama,23,107151.0
Alabama,31-33,333782.0
Alabama,42,82141.0
Alabama,44-45,229599.0
Alabama,48-49,49273.0
Alabama,51,39670.0
Alabama,52,73598.0
Alabama,53,23122.0
Alabama,54,72572.0
Alabama,55,24065.0
Alabama,56,124939.0
Alabama,61,20055.0
Alabama,62,201822.0
Alabama,71,14339.0
Alabama,72,129601.0
Alabama,81,84009.0
Alabama,95,10977.0
Alabama,99,1668.0
Alaska,--,204887.0
Alaska,11,1946.0
Alaska,21,7742.0
Alaska,22,1810.0
Alaska,23,14741.0
Alaska,31-33,11258.0
Alaska,42,7285.0
Alaska,44-45,33300.0
Alaska,48-49,17869.0
Alaska,51,6029.0
Alaska,52,5717.0
Alaska,53,3963.0
Alaska,54,10918.0
Alaska,55,2284.0
Alaska,56,10280.0
Alaska,61,2641.0
Alaska,62,31188.0
Alaska,71,2734.0
Alaska,72,21402.0
Alaska,81,10783.0
Alaska,95,470.0
Alaska,99,527.0
Arizona,--,1919353.0
Arizona,11,1931.0
Arizona,21,9956.0
Arizona,22,9923.0
Arizona,23,167401.0
Arizona,31-33,200859.0
Arizona,42,86222.0
Arizona,44-45,255001.0
Arizona,48-49,70337.0
Arizona,51,47411.0
Arizona,52,111928.0
Arizona,53,41265.0
Arizona,54,113687.0
Arizona,55,45452.0
Arizona,56,200421.0
Arizona,61,24486.0
Arizona,62,199894.0
Arizona,71,34394.0
Arizona,72,202756.0
Arizona,81,78730.0
Arizona,95,14541.0
Arizona,99,2758.0
Arkansas,--,990830.0
Arkansas,11,6034.0
Arkansas,21,3161.0
Arkansas,22,7517.0
Arkansas,23,48616.0
Arkansas,31-33,235578.0
Arkansas,42,44822.0
Arkansas,44-45,135143.0
Arkansas,48-49,44799.0
Arkansas,51,22387.0
Arkansas,52,33388.0
Arkansas,53,11519.0
Arkansas,54,32262.0
Arkansas,55,20360.0
Arkansas,56,59870.0
Arkansas,61,11060.0
Arkansas,62,132078.0
Arkansas,71,7895.0
Arkansas,72,75968.0
Arkansas,81,41663.0
Arkansas,95,15457.0
Arkansas,99,1253.0
California,--,12884692.0
California,11,24358.0
California,21,19654.0
California,22,51289.0
California,23,755180.0
California,31-33,1753716.0
California,42,808198.0
California,44-45,1491460.0
California,48-49,418990.0
California,51,527107.0
California,52,621136.0
California,53,277715.0
California,54,1061160.0
California,55,292183.0
California,56,1161377.0
California,61,262446.0
California,62,1321241.0
California,71,247409.0
California,72,1111310.0
California,81,555132.0
California,95,101999.0
California,99,21632.0
Colorado,--,1913302.0
Colorado,11,1160.0
Colorado,21,12355.0
Colorado,22,7851.0
Colorado,23,158367.0
Colorado,31-33,166461.0
Colorado,42,97104.0
Colorado,44-45,252082.0
Colorado,48-49,59441.0
Colorado,51,92542.0
Colorado,52,102359.0
Colorado,53,43236.0
Colorado,54,138730.0
Colorado,55,36940.0
Colorado,56,176492.0
Colorado,61,28168.0
Colorado,62,191083.0
Colorado,71,40771.0
Colorado,72,201654.0
Colorado,81,89494.0
Colorado,95,14529.0
Colorado,99,2483.0
Connecticut,--,1546250.0
Connecticut,11,440.0
Connecticut,21,719.0
Connecticut,22,11343.0
Connecticut,23,66858.0
Connecticut,31-33,232789.0
Connecticut,42,76997.0
Connecticut,44-45,191040.0
Connecticut,48-49,33787.0
Connecticut,51,51700.0
Connecticut,52,128662.0
Connecticut,53,22902.0
Connecticut,54,93567.0
Connecticut,55,46062.0
Connecticut,56,105808.0
Connecticut,61,54598.0
Connecticut,62,213835.0
Connecticut,71,39239.0
Connecticut,72,97850.0
Connecticut,81,62361.0
Connecticut,95,13766.0
Connecticut,99,1927.0
Delaware,--,377277.0
Delaware,22,2399.0
Delaware,23,22149.0
Delaware,31-33,41846.0
Delaware,42,18843.0
Delaware,44-45,51680.0
Delaware,48-49,7829.0
Delaware,51,8365.0
Delaware,52,44417.0
Delaware,53,5170.0
Delaware,54,18090.0
Delaware,55,21330.0
Delaware,56,29887.0
Delaware,61,5773.0
Delaware,62,42978.0
Delaware,71,7096.0
Delaware,72,26522.0
Delaware,81,16164.0
Delaware,95,5675.0
Delaware,99,518.0
District of Columbia,--,414983.0
District of Columbia,23,6963.0
District of Columbia,31-33,2613.0
District of Columbia,42,5461.0
District of Columbia,44-45,19177.0
District of Columbia,48-49,3796.0
District of Columbia,51,25051.0
District of Columbia,52,17118.0
District of Columbia,53,8899.0
District of Columbia,54,77111.0
District of Columbia,55,5111.0
District of Columbia,56,31153.0
District of Columbia,61,40127.0
District of Columbia,62,58716.0
District of Columbia,71,4941.0
District of Columbia,72,42710.0
District of Columbia,81,61162.0
District of Columbia,95,1620.0
Florida,--,6217386.0
Florida,11,13453.0
Florida,21,5843.0
Florida,22,29885.0
Florida,23,371252.0
Florida,31-33,415435.0
Florida,42,314935.0
Florida,44-45,902523.0
Florida,48-49,201232.0
Florida,51,173509.0
Florida,52,312856.0
Florida,53,132438.0
Florida,54,380240.0
Florida,55,124576.0
Florida,56,911443.0
Florida,61,95333.0
Florida,62,739741.0
Florida,71,141335.0
Florida,72,599197.0
Florida,81,303243.0
Florida,95,41930.0
