State,NAICS Code,Total Employment - 2011
United States,--,113425965
United States,11,156520
United States,21,651204
United States,22,639795
United States,23,5190921
United States,31-33,10984361
United States,42,5626328
United States,44-45,14698563
United States,48-49,4106359
United States,51,3121317
United States,52,5886602
United States,53,1917640
United States,54,7929910
United States,55,2921669
United States,56,9389950
United States,61,3386047
United States,62,18059112
United States,71,2003129
United States,72,11556285
United States,81,5181801
United States,99,0
Alabama,--,1573138
Alabama,11,6066
Alabama,21,7809
Alabama,22,16731
Alabama,23,79757
Alabama,31-33,227628
Alabama,42,69928
Alabama,44-45,225793
Alabama,48-49,55452
Alabama,51,33300
Alabama,52,69040
Alabama,53,23837
Alabama,54,93488
Alabama,55,19592
Alabama,56,133471
Alabama,61,29099
Alabama,62,235237
Alabama,71,17292
Alabama,72,149907
Alabama,81,79528
Alabama,99,0
Alaska,--,254996
Alaska,11,1297
Alaska,21,11188
Alaska,22,1922
Alaska,23,16923
Alaska,31-33,13125
Alaska,42,8642
Alaska,44-45,32548
Alaska,48-49,17713
Alaska,51,6751
Alaska,52,7350
Alaska,53,4909
Alaska,54,17417
Alaska,55,6661
Alaska,56,20335
Alaska,61,3157
Alaska,62,44084
Alaska,71,4906
Alaska,72,26132
Alaska,81,9918
Alaska,99,0
Arizona,--,2108561
Arizona,11,1359
Arizona,21,11160
Arizona,22,12498
Arizona,23,116992
Arizona,31-33,137532
Arizona,42,91256
Arizona,44-45,306972
Arizona,48-49,75115
Arizona,51,50521
Arizona,52,129576
Arizona,53,39171
Arizona,54,128576
Arizona,55,41237
Arizona,56,208372
Arizona,61,75040
Arizona,62,314612
Arizona,71,40407
Arizona,72,246722
Arizona,81,81243
Arizona,99,0
Arkansas,--,980644
Arkansas,11,4417
Arkansas,21,9890
Arkansas,22,7431
Arkansas,23,43815
Arkansas,31-33,156024
Arkansas,42,43452
Arkansas,44-45,136814
Arkansas,48-49,49486
Arkansas,51,24099
Arkansas,52,36729
Arkansas,53,13053
Arkansas,54,33583
Arkansas,55,39376
Arkansas,56,50842
Arkansas,61,16632
Arkansas,62,171336
Arkansas,71,9080
Arkansas,72,92443
Arkansas,81,41983
Arkansas,99,159
California,--,12698427
California,11,26466
California,21,22579
California,22,0
California,23,555192
California,31-33,1134193
California,42,790097
California,44-45,1517573
California,48-49,424729
California,51,497861
California,52,571421
California,53,270918
California,54,1212869
California,55,271499
California,56,1086339
California,61,368524
California,62,1714414
California,71,290128
California,72,1339508
California,81,539629
California,99,0
Colorado,--,1972271
Colorado,11,1758
Colorado,21,25006
Colorado,22,8969
Colorado,23,115615
Colorado,31-33,117810
Colorado,42,90442
Colorado,44-45,242477
Colorado,48-49,59932
Colorado,51,78188
Colorado,52,92251
Colorado,53,40022
Colorado,54,170484
Colorado,55,44857
Colorado,56,206447
Colorado,61,44308
Colorado,62,257481
Colorado,71,50935
Colorado,72,228341
Colorado,81,96646
Colorado,99,0
Connecticut,--,1442620
Connecticut,11,266
Connecticut,21,1022
Connecticut,22,0
Connecticut,23,48782
Connecticut,31-33,150646
Connecticut,42,71127
Connecticut,44-45,180535
Connecticut,48-49,38802
Connecticut,51,37559
Connecticut,52,115490
Connecticut,53,19204
Connecticut,54,101163
Connecticut,55,35510
Connecticut,56,86242
Connecticut,61,67239
Connecticut,62,265810
Connecticut,71,23820
Connecticut,72,128681
Connecticut,81,60509
Connecticut,99,0
Delaware,--,359602
Delaware,11,121
Delaware,21,0
Delaware,22,2183
Delaware,23,18032
Delaware,31-33,27715
Delaware,42,16359
Delaware,44-45,51664
Delaware,48-49,10844
Delaware,51,7944
Delaware,52,35450
Delaware,53,5506
Delaware,54,24315
Delaware,55,11345
Delaware,56,26900
Delaware,61,6374
Delaware,62,59793
Delaware,71,6449
Delaware,72,34347
Delaware,81,14166
Delaware,99,0
District of Columbia,--,477623
District of Columbia,11,0
District of Columbia,21,0
District of Columbia,22,0
District of Columbia,23,6419
District of Columbia,31-33,1001
District of Columbia,42,4336
District of Columbia,44-45,19752
District of Columbia,48-49,4462
District of Columbia,51,20035
District of Columbia,52,17528
District of Columbia,53,9360
District of Columbia,54,96916
District of Columbia,55,10115
District of Columbia,56,34188
District of Columbia,61,49254
District of Columbia,62,64928
District of Columbia,71,7744
District of Columbia,72,57584
District of Columbia,81,72048
District of Columbia,99,0
Florida,--,6732639
Florida,11,11702
Florida,21,4751
Florida,22,26966
Florida,23,288388
Florida,31-33,276352
Florida,42,279174
Florida,44-45,940764
Florida,48-49,204981
Florida,51,149771
Florida,52,331921
Florida,53,143341
Florida,54,433745
Florida,55,134162
Florida,56,1172198
Florida,61,146807
Florida,62,969536
Florida,71,164264
Florida,72,757932
Florida,81,295338
Florida,99,0
Georgia,--,3328033
Georgia,11,7361
Georgia,21,5001
Georgia,22,24557
Georgia,23,145987
Georgia,31-33,329372
Georgia,42,184956
Georgia,44-45,437549
Georgia,48-49,153791
Georgia,51,116856
Georgia,52,160454
Georgia,53,53536
Georgia,54,221572
Georgia,55,114589
Georgia,56,312569
Georgia,61,78402
Georgia,62,444294
Georgia,71,40757
Georgia,72,345460
Georgia,81,150604
Georgia,99,366
Hawaii,--,485548
Hawaii,11,161
Hawaii,21,138
Hawaii,22,3300
Hawaii,23,25234
Hawaii,31-33,12118
Hawaii,42,18471
Hawaii,44-45,66913
