NAICS Code,Total Employment - 2009,State
--,114509626,United States
11,153829,United States
21,604653,United States
22,641552,United States
23,5967128,United States
31-33,11632956,United States
42,5827769,United States
44-45,14802767,United States
48-49,4159604,United States
51,3288109,United States
52,6171240,United States
53,2036590,United States
54,7839965,United States
55,2853450,United States
56,9060987,United States
61,3200553,United States
62,17531142,United States
71,2010339,United States
72,11443293,United States
81,5264429,United States
99,0,United States
--,1612258,Alabama
11,5928,Alabama
21,7703,Alabama
22,16511,Alabama
23,95638,Alabama
31-33,246259,Alabama
42,74638,Alabama
44-45,228682,Alabama
48-49,56217,Alabama
51,38246,Alabama
52,71519,Alabama
53,25282,Alabama
54,94230,Alabama
55,17244,Alabama
56,115827,Alabama
61,28452,Alabama
62,239953,Alabama
71,18398,Alabama
72,151226,Alabama
81,80108,Alabama
99,197,Alabama
--,252882,Alaska
11,695,Alaska
21,10470,Alaska
22,1781,Alaska
23,17329,Alaska
31-33,11927,Alaska
42,8923,Alaska
44-45,33537,Alaska
48-49,19460,Alaska
51,6921,Alaska
52,7791,Alaska
53,5154,Alaska
54,14628,Alaska
55,5702,Alaska
56,22978,Alaska
61,2926,Alaska
62,42007,Alaska
71,4821,Alaska
72,25488,Alaska
81,10314,Alaska
99,0,Alaska
--,2122265,Arizona
11,1317,Arizona
21,11957,Arizona
22,11726,Arizona
23,146787,Arizona
31-33,145520,Arizona
42,94376,Arizona
44-45,316160,Arizona
48-49,78071,Arizona
51,52019,Arizona
52,131858,Arizona
53,43230,Arizona
54,120191,Arizona
55,41639,Arizona
56,203021,Arizona
61,49743,Arizona
62,302595,Arizona
71,45015,Arizona
72,242305,Arizona
81,84504,Arizona
99,231,Arizona
--,970748,Arkansas
11,4388,Arkansas
21,8212,Arkansas
22,7541,Arkansas
23,45414,Arkansas
31-33,163825,Arkansas
42,42930,Arkansas
44-45,137421,Arkansas
48-49,48805,Arkansas
51,23220,Arkansas
52,37080,Arkansas
53,13349,Arkansas
54,34415,Arkansas
55,36613,Arkansas
56,47375,Arkansas
61,14962,Arkansas
62,162651,Arkansas
71,9133,Arkansas
72,91104,Arkansas
81,42191,Arkansas
99,119,Arkansas
--,12833709,California
