NAICS Code,Total Employment - 2007,State
81,25821,Hawaii
99,29,Hawaii
--,544541,Idaho
11,3621,Idaho
21,2951,Idaho
22,3461,Idaho
23,50325,Idaho
31-33,65340,Idaho
42,24102,Idaho
44-45,82625,Idaho
48-49,17155,Idaho
51,14688,Idaho
52,22946,Idaho
53,9141,Idaho
54,32639,Idaho
55,9563,Idaho
56,38599,Idaho
61,9529,Idaho
62,72814,Idaho
71,8031,Idaho
72,56354,Idaho
81,20608,Idaho
99,49,Idaho
--,5398634,Illinois
11,1658,Illinois
21,11468,Illinois
22,27703,Illinois
23,252093,Illinois
31-33,648892,Illinois
42,302971,Illinois
44-45,667149,Illinois
48-49,231198,Illinois
51,124770,Illinois
52,350573,Illinois
53,88100,Illinois
54,394692,Illinois
55,183381,Illinois
56,463531,Illinois
61,141772,Illinois
62,704657,Illinois
71,73208,Illinois
72,470167,Illinois
81,260392,Illinois
99,259,Illinois
--,2648219,Indiana
11,2192,Indiana
21,6564,Indiana
22,15179,Indiana
23,143158,Indiana
31-33,544260,Indiana
42,114973,Indiana
44-45,334007,Indiana
48-49,115658,Indiana
51,45567,Indiana
52,109996,Indiana
53,35585,Indiana
54,104364,Indiana
55,60154,Indiana
56,174198,Indiana
61,56591,Indiana
62,365702,Indiana
71,33872,Indiana
72,253725,Indiana
81,132389,Indiana
99,85,Indiana
--,1303436,Iowa
11,1592,Iowa
21,1887,Iowa
22,0,Iowa
23,63715,Iowa
31-33,226116,Iowa
42,64229,Iowa
44-45,180441,Iowa
48-49,52798,Iowa
51,34692,Iowa
52,94778,Iowa
53,14019,Iowa
54,45091,Iowa
55,19756,Iowa
56,72970,Iowa
61,35008,Iowa
62,199054,Iowa
71,21458,Iowa
72,113711,Iowa
81,55175,Iowa
99,69,Iowa
--,1169099,Kansas
11,801,Kansas
21,12021,Kansas
22,6569,Kansas
23,67166,Kansas
31-33,176115,Kansas
42,56572,Kansas
44-45,149670,Kansas
48-49,48018,Kansas
51,45590,Kansas
52,60219,Kansas
53,15089,Kansas
54,59370,Kansas
55,26762,Kansas
56,72759,Kansas
61,18233,Kansas
62,178929,Kansas
71,14654,Kansas
72,106474,Kansas
81,53977,Kansas
99,0,Kansas
--,1550192,Kentucky
11,1813,Kentucky
21,22015,Kentucky
22,8512,Kentucky
23,83290,Kentucky
31-33,249035,Kentucky
42,67142,Kentucky
44-45,215856,Kentucky
48-49,87474,Kentucky
51,36869,Kentucky
52,66707,Kentucky
53,20210,Kentucky
54,64765,Kentucky
55,32827,Kentucky
56,92098,Kentucky
61,28614,Kentucky
62,233253,Kentucky
71,17485,Kentucky
72,152152,Kentucky
81,69969,Kentucky
99,106,Kentucky
--,1646151,Louisiana
11,4299,Louisiana
21,58526,Louisiana
22,0,Louisiana
23,134253,Louisiana
31-33,142840,Louisiana
42,74255,Louisiana
44-45,234047,Louisiana
48-49,68951,Louisiana
51,29691,Louisiana
52,64344,Louisiana
53,34657,Louisiana
54,89872,Louisiana
55,16009,Louisiana
56,117121,Louisiana
61,30033,Louisiana
62,258592,Louisiana
71,28846,Louisiana
72,170771,Louisiana
81,77415,Louisiana
99,166,Louisiana
--,503789,Maine
11,3696,Maine
21,126,Maine
22,0,Maine
23,28074,Maine
31-33,58578,Maine
42,18460,Maine
44-45,84466,Maine
48-49,15148,Maine
51,13507,Maine
52,26909,Maine
53,7130,Maine
54,24201,Maine
55,7510,Maine
56,23700,Maine
61,14214,Maine
62,102824,Maine
71,6948,Maine
72,47165,Maine
81,19142,Maine
99,0,Maine
--,2239181,Maryland
11,1038,Maryland
21,1686,Maryland
22,9569,Maryland
23,186782,Maryland
31-33,128837,Maryland
42,95348,Maryland
44-45,300858,Maryland
48-49,65965,Maryland
51,62060,Maryland
52,121137,Maryland
53,50172,Maryland
54,245897,Maryland
55,55847,Maryland
56,178273,Maryland
61,73158,Maryland
62,312173,Maryland
71,37221,Maryland
72,191813,Maryland
81,121170,Maryland
99,0,Maryland
--,3073941,Massachusetts
11,1085,Massachusetts
21,1464,Massachusetts
22,12711,Massachusetts
23,129529,Massachusetts
31-33,271519,Massachusetts
42,143053,Massachusetts
44-45,367059,Massachusetts
48-49,78686,Massachusetts
51,108037,Massachusetts
52,214822,Massachusetts
53,50213,Massachusetts
54,259056,Massachusetts
55,113407,Massachusetts
56,201872,Massachusetts
61,185466,Massachusetts
62,507615,Massachusetts
71,50763,Massachusetts
72,253535,Massachusetts
81,123347,Massachusetts
99,702,Massachusetts
--,3687441,Michigan
11,3098,Michigan
21,6366,Michigan
22,22605,Michigan
23,140510,Michigan
31-33,579645,Michigan
42,167498,Michigan
44-45,474905,Michigan
48-49,105133,Michigan
51,78365,Michigan
52,170377,Michigan
53,57266,Michigan
54,268711,Michigan
55,126751,Michigan
56,310896,Michigan
61,65975,Michigan
62,548845,Michigan
71,54132,Michigan
72,335116,Michigan
81,170420,Michigan
99,827,Michigan
--,2525900,Minnesota
11,2109,Minnesota
21,5992,Minnesota
22,0,Minnesota
23,121532,Minnesota
31-33,331117,Minnesota
42,137229,Minnesota
44-45,315549,Minnesota
48-49,78785,Minnesota
51,67819,Minnesota
52,154554,Minnesota
53,40686,Minnesota
54,141196,Minnesota
55,121663,Minnesota
56,150335,Minnesota
61,60291,Minnesota
62,406680,Minnesota
71,40518,Minnesota
72,219925,Minnesota
81,117426,Minnesota
99,216,Minnesota
--,941328,Mississippi
11,4727,Mississippi
21,5590,Mississippi
22,8421,Mississippi
23,55437,Mississippi
31-33,166346,Mississippi
42,36483,Mississippi
44-45,144106,Mississippi
48-49,34583,Mississippi
51,15718,Mississippi
52,35251,Mississippi
53,10963,Mississippi
54,33633,Mississippi
55,8157,Mississippi
56,49693,Mississippi
61,17221,Mississippi
62,147714,Mississippi
71,10162,Mississippi
72,115190,Mississippi
81,41868,Mississippi
99,65,Mississippi
--,2457827,Missouri
11,1561,Missouri
21,3997,Missouri
22,16319,Missouri
23,148239,Missouri
31-33,303297,Missouri
42,125767,Missouri
44-45,323048,Missouri
48-49,88966,Missouri
