NAICS Code,Total Employment - 2012,MSA
--,57474,"Abilene, TX MSA"
11,33,"Abilene, TX MSA"
21,2184,"Abilene, TX MSA"
22,421,"Abilene, TX MSA"
23,2992,"Abilene, TX MSA"
31-33,2514,"Abilene, TX MSA"
42,2242,"Abilene, TX MSA"
44-45,8470,"Abilene, TX MSA"
48-49,1696,"Abilene, TX MSA"
51,1065,"Abilene, TX MSA"
52,3024,"Abilene, TX MSA"
53,836,"Abilene, TX MSA"
54,1882,"Abilene, TX MSA"
55,758,"Abilene, TX MSA"
56,2576,"Abilene, TX MSA"
61,3374,"Abilene, TX MSA"
62,13050,"Abilene, TX MSA"
71,671,"Abilene, TX MSA"
72,6575,"Abilene, TX MSA"
81,3102,"Abilene, TX MSA"
99,0,"Abilene, TX MSA"
--,284198,"Akron, OH MSA"
11,48,"Akron, OH MSA"
21,264,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,11303,"Akron, OH MSA"
31-33,38568,"Akron, OH MSA"
42,18310,"Akron, OH MSA"
44-45,37243,"Akron, OH MSA"
48-49,8750,"Akron, OH MSA"
51,4943,"Akron, OH MSA"
52,10759,"Akron, OH MSA"
53,3104,"Akron, OH MSA"
54,16213,"Akron, OH MSA"
55,14072,"Akron, OH MSA"
56,18581,"Akron, OH MSA"
61,5063,"Akron, OH MSA"
62,50544,"Akron, OH MSA"
71,3745,"Akron, OH MSA"
72,26314,"Akron, OH MSA"
81,13384,"Akron, OH MSA"
99,0,"Akron, OH MSA"
--,32484,"Albany-Lebanon, OR MSA"
11,572,"Albany-Lebanon, OR MSA"
21,0,"Albany-Lebanon, OR MSA"
22,0,"Albany-Lebanon, OR MSA"
23,1827,"Albany-Lebanon, OR MSA"
31-33,6629,"Albany-Lebanon, OR MSA"
42,1532,"Albany-Lebanon, OR MSA"
44-45,4702,"Albany-Lebanon, OR MSA"
48-49,2399,"Albany-Lebanon, OR MSA"
51,320,"Albany-Lebanon, OR MSA"
52,786,"Albany-Lebanon, OR MSA"
53,375,"Albany-Lebanon, OR MSA"
54,916,"Albany-Lebanon, OR MSA"
55,0,"Albany-Lebanon, OR MSA"
56,2433,"Albany-Lebanon, OR MSA"
61,349,"Albany-Lebanon, OR MSA"
62,4735,"Albany-Lebanon, OR MSA"
71,228,"Albany-Lebanon, OR MSA"
72,2811,"Albany-Lebanon, OR MSA"
81,1564,"Albany-Lebanon, OR MSA"
99,4,"Albany-Lebanon, OR MSA"
--,276851,"Albuquerque, NM MSA"
11,0,"Albuquerque, NM MSA"
