NAICS Code,Total Employment - 2009,MSA
--,56559,"Abilene, TX MSA"
11,0,"Abilene, TX MSA"
21,1194,"Abilene, TX MSA"
22,373,"Abilene, TX MSA"
23,4320,"Abilene, TX MSA"
31-33,2371,"Abilene, TX MSA"
42,2082,"Abilene, TX MSA"
44-45,8746,"Abilene, TX MSA"
48-49,1701,"Abilene, TX MSA"
51,1224,"Abilene, TX MSA"
52,3153,"Abilene, TX MSA"
53,775,"Abilene, TX MSA"
54,1875,"Abilene, TX MSA"
55,0,"Abilene, TX MSA"
56,2324,"Abilene, TX MSA"
61,3532,"Abilene, TX MSA"
62,11867,"Abilene, TX MSA"
71,676,"Abilene, TX MSA"
72,6759,"Abilene, TX MSA"
81,2902,"Abilene, TX MSA"
99,16,"Abilene, TX MSA"
--,277143,"Akron, OH MSA"
11,25,"Akron, OH MSA"
21,387,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,11874,"Akron, OH MSA"
31-33,37568,"Akron, OH MSA"
42,17208,"Akron, OH MSA"
44-45,36304,"Akron, OH MSA"
48-49,8767,"Akron, OH MSA"
51,5996,"Akron, OH MSA"
52,9973,"Akron, OH MSA"
53,3314,"Akron, OH MSA"
54,17173,"Akron, OH MSA"
55,12192,"Akron, OH MSA"
56,15632,"Akron, OH MSA"
61,4844,"Akron, OH MSA"
62,48378,"Akron, OH MSA"
71,3849,"Akron, OH MSA"
72,26116,"Akron, OH MSA"
81,14342,"Akron, OH MSA"
99,28,"Akron, OH MSA"
--,288559,"Albuquerque, NM MSA"
11,0,"Albuquerque, NM MSA"
21,787,"Albuquerque, NM MSA"
22,0,"Albuquerque, NM MSA"
23,23900,"Albuquerque, NM MSA"
31-33,17616,"Albuquerque, NM MSA"
42,12979,"Albuquerque, NM MSA"
44-45,41908,"Albuquerque, NM MSA"
48-49,8057,"Albuquerque, NM MSA"
51,9179,"Albuquerque, NM MSA"
52,13509,"Albuquerque, NM MSA"
53,5478,"Albuquerque, NM MSA"
54,24251,"Albuquerque, NM MSA"
55,3933,"Albuquerque, NM MSA"
56,19155,"Albuquerque, NM MSA"
61,4647,"Albuquerque, NM MSA"
62,46854,"Albuquerque, NM MSA"
71,7403,"Albuquerque, NM MSA"
72,33598,"Albuquerque, NM MSA"
81,13099,"Albuquerque, NM MSA"
99,23,"Albuquerque, NM MSA"
--,50898,"Alexandria, LA MSA"
11,392,"Alexandria, LA MSA"
21,63,"Alexandria, LA MSA"
22,0,"Alexandria, LA MSA"
23,4410,"Alexandria, LA MSA"
31-33,4455,"Alexandria, LA MSA"
42,1911,"Alexandria, LA MSA"
44-45,7875,"Alexandria, LA MSA"
48-49,834,"Alexandria, LA MSA"
51,820,"Alexandria, LA MSA"
52,1752,"Alexandria, LA MSA"
53,719,"Alexandria, LA MSA"
54,1685,"Alexandria, LA MSA"
55,248,"Alexandria, LA MSA"
56,2222,"Alexandria, LA MSA"
61,882,"Alexandria, LA MSA"
62,13901,"Alexandria, LA MSA"
71,264,"Alexandria, LA MSA"
72,4684,"Alexandria, LA MSA"
81,2959,"Alexandria, LA MSA"
99,0,"Alexandria, LA MSA"
--,288826,"Allentown-Bethlehem-Easton, PA-NJ MSA"
11,34,"Allentown-Bethlehem-Easton, PA-NJ MSA"
21,201,"Allentown-Bethlehem-Easton, PA-NJ MSA"
22,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
23,11811,"Allentown-Bethlehem-Easton, PA-NJ MSA"
31-33,32721,"Allentown-Bethlehem-Easton, PA-NJ MSA"
42,17369,"Allentown-Bethlehem-Easton, PA-NJ MSA"
44-45,41085,"Allentown-Bethlehem-Easton, PA-NJ MSA"
48-49,13325,"Allentown-Bethlehem-Easton, PA-NJ MSA"
51,7539,"Allentown-Bethlehem-Easton, PA-NJ MSA"
52,12005,"Allentown-Bethlehem-Easton, PA-NJ MSA"
53,2743,"Allentown-Bethlehem-Easton, PA-NJ MSA"
54,12267,"Allentown-Bethlehem-Easton, PA-NJ MSA"
55,9926,"Allentown-Bethlehem-Easton, PA-NJ MSA"
56,16352,"Allentown-Bethlehem-Easton, PA-NJ MSA"
61,11880,"Allentown-Bethlehem-Easton, PA-NJ MSA"
62,54070,"Allentown-Bethlehem-Easton, PA-NJ MSA"
71,4663,"Allentown-Bethlehem-Easton, PA-NJ MSA"
72,24427,"Allentown-Bethlehem-Easton, PA-NJ MSA"
81,13869,"Allentown-Bethlehem-Easton, PA-NJ MSA"
99,12,"Allentown-Bethlehem-Easton, PA-NJ MSA"
--,49683,"Altoona, PA MSA"
11,0,"Altoona, PA MSA"
21,0,"Altoona, PA MSA"
22,0,"Altoona, PA MSA"
23,2139,"Altoona, PA MSA"
31-33,6915,"Altoona, PA MSA"
42,1923,"Altoona, PA MSA"
44-45,8999,"Altoona, PA MSA"
48-49,3515,"Altoona, PA MSA"
51,1353,"Altoona, PA MSA"
52,1338,"Altoona, PA MSA"
53,363,"Altoona, PA MSA"
54,2075,"Altoona, PA MSA"
55,626,"Altoona, PA MSA"
56,2067,"Altoona, PA MSA"
61,276,"Altoona, PA MSA"
62,10382,"Altoona, PA MSA"
71,548,"Altoona, PA MSA"
72,4528,"Altoona, PA MSA"
81,2472,"Altoona, PA MSA"
99,0,"Altoona, PA MSA"
--,89728,"Amarillo, TX MSA"
11,0,"Amarillo, TX MSA"
21,257,"Amarillo, TX MSA"
22,0,"Amarillo, TX MSA"
23,5916,"Amarillo, TX MSA"
31-33,7614,"Amarillo, TX MSA"
42,5086,"Amarillo, TX MSA"
44-45,14082,"Amarillo, TX MSA"
48-49,2860,"Amarillo, TX MSA"
51,1595,"Amarillo, TX MSA"
52,5246,"Amarillo, TX MSA"
53,1280,"Amarillo, TX MSA"
54,2515,"Amarillo, TX MSA"
55,1364,"Amarillo, TX MSA"
56,6947,"Amarillo, TX MSA"
61,688,"Amarillo, TX MSA"
62,15855,"Amarillo, TX MSA"
71,1077,"Amarillo, TX MSA"
72,10724,"Amarillo, TX MSA"
81,4906,"Amarillo, TX MSA"
99,0,"Amarillo, TX MSA"
--,28999,"Ames, IA MSA"
11,152,"Ames, IA MSA"
21,0,"Ames, IA MSA"
22,41,"Ames, IA MSA"
23,1727,"Ames, IA MSA"
31-33,4350,"Ames, IA MSA"
42,889,"Ames, IA MSA"
44-45,4903,"Ames, IA MSA"
48-49,468,"Ames, IA MSA"
51,735,"Ames, IA MSA"
52,895,"Ames, IA MSA"
53,392,"Ames, IA MSA"
54,1241,"Ames, IA MSA"
55,329,"Ames, IA MSA"
56,1195,"Ames, IA MSA"
61,159,"Ames, IA MSA"
62,4881,"Ames, IA MSA"
71,524,"Ames, IA MSA"
72,4297,"Ames, IA MSA"
81,1749,"Ames, IA MSA"
99,0,"Ames, IA MSA"
--,159525,"Anchorage, AK MSA"
11,45,"Anchorage, AK MSA"
21,6898,"Anchorage, AK MSA"
22,712,"Anchorage, AK MSA"
23,12624,"Anchorage, AK MSA"
31-33,2770,"Anchorage, AK MSA"
42,6328,"Anchorage, AK MSA"
44-45,18380,"Anchorage, AK MSA"
48-49,11841,"Anchorage, AK MSA"
51,5306,"Anchorage, AK MSA"
52,5589,"Anchorage, AK MSA"
53,2972,"Anchorage, AK MSA"
54,11670,"Anchorage, AK MSA"
55,5095,"Anchorage, AK MSA"
56,18683,"Anchorage, AK MSA"
61,1766,"Anchorage, AK MSA"
62,23749,"Anchorage, AK MSA"
71,3016,"Anchorage, AK MSA"
72,15907,"Anchorage, AK MSA"
81,6154,"Anchorage, AK MSA"
99,0,"Anchorage, AK MSA"
--,135600,"Ann Arbor, MI MSA"
11,44,"Ann Arbor, MI MSA"
21,0,"Ann Arbor, MI MSA"
22,0,"Ann Arbor, MI MSA"
23,3487,"Ann Arbor, MI MSA"
31-33,12536,"Ann Arbor, MI MSA"
42,3976,"Ann Arbor, MI MSA"
44-45,15783,"Ann Arbor, MI MSA"
48-49,2556,"Ann Arbor, MI MSA"
51,5601,"Ann Arbor, MI MSA"
52,4163,"Ann Arbor, MI MSA"
53,2795,"Ann Arbor, MI MSA"
54,12779,"Ann Arbor, MI MSA"
55,3419,"Ann Arbor, MI MSA"
56,9254,"Ann Arbor, MI MSA"
61,2107,"Ann Arbor, MI MSA"
62,34129,"Ann Arbor, MI MSA"
71,2445,"Ann Arbor, MI MSA"
72,13912,"Ann Arbor, MI MSA"
81,5937,"Ann Arbor, MI MSA"
99,0,"Ann Arbor, MI MSA"
--,38324,"Anniston-Oxford, AL MSA"
11,0,"Anniston-Oxford, AL MSA"
21,0,"Anniston-Oxford, AL MSA"
22,0,"Anniston-Oxford, AL MSA"
23,1144,"Anniston-Oxford, AL MSA"
31-33,6581,"Anniston-Oxford, AL MSA"
42,1693,"Anniston-Oxford, AL MSA"
44-45,6406,"Anniston-Oxford, AL MSA"
48-49,2092,"Anniston-Oxford, AL MSA"
51,846,"Anniston-Oxford, AL MSA"
52,932,"Anniston-Oxford, AL MSA"
53,398,"Anniston-Oxford, AL MSA"
54,1671,"Anniston-Oxford, AL MSA"
55,126,"Anniston-Oxford, AL MSA"
56,2549,"Anniston-Oxford, AL MSA"
61,478,"Anniston-Oxford, AL MSA"
62,6617,"Anniston-Oxford, AL MSA"
71,225,"Anniston-Oxford, AL MSA"
72,4534,"Anniston-Oxford, AL MSA"
81,1772,"Anniston-Oxford, AL MSA"
99,0,"Anniston-Oxford, AL MSA"
