State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,110705661
United States,11,"Agriculture, forestry, fishing, & hunting",192155
United States,21,Mining,456645
United States,22,Utilities,667062
United States,23,Construction,6201626
United States,31-33,Manufacturing,16659930
United States,42,Wholesale trade,5972022
United States,44-45,Retail Trade,14476628
United States,48-49,Transportation & Warehousing,3627057
United States,51,Information,3234530
United States,52,Finance & insurance,5965174
United States,53,Real estate & rental & leasing,1873792
United States,54,"Professional, scientific, & technical services",6432422
United States,55,Management of companies & enterprises,2788276
United States,56,Administrative & support & waste management & remediation serv,8366523
United States,61,Educational services,2431718
United States,62,Health care & social assistance,13865014
United States,71,"Arts, entertainment, & recreation",1640030
United States,72,Accommodation & foodservices,9638007
United States,81,Other services (except public administration),5151464
United States,95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",959257
United States,99,Unclassified,106329
Alabama,--,Total,1633909
Alabama,11,"Agriculture, forestry, fishing, & hunting",9641
Alabama,21,Mining,7947
Alabama,22,Utilities,15094
Alabama,23,Construction,105939
Alabama,31-33,Manufacturing,341940
Alabama,42,Wholesale trade,82147
Alabama,44-45,Retail Trade,224493
Alabama,48-49,Transportation & Warehousing,47054
Alabama,51,Information,38279
Alabama,52,Finance & insurance,72609
Alabama,53,Real estate & rental & leasing,22593
Alabama,54,"Professional, scientific, & technical services",69448
Alabama,55,Management of companies & enterprises,20598
Alabama,56,Administrative & support & waste management & remediation serv,111948
Alabama,61,Educational services,19599
Alabama,62,Health care & social assistance,203808
Alabama,71,"Arts, entertainment, & recreation",14069
Alabama,72,Accommodation & foodservices,133248
Alabama,81,Other services (except public administration),81411
Alabama,95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",10821
Alabama,99,Unclassified,1223
Alaska,--,Total,198459
Alaska,11,"Agriculture, forestry, fishing, & hunting",1932
Alaska,21,Mining,8246
Alaska,22,Utilities,1699
Alaska,23,Construction,13155
Alaska,31-33,Manufacturing,11828
Alaska,42,Wholesale trade,7102
Alaska,44-45,Retail Trade,32280
