NAICS Code,Total Employment - 2005,MSA
--,53961.0,"Abilene, TX MSA"
21,1038.0,"Abilene, TX MSA"
23,2909.0,"Abilene, TX MSA"
31-33,2792.0,"Abilene, TX MSA"
42,2102.0,"Abilene, TX MSA"
44-45,8586.0,"Abilene, TX MSA"
48-49,1561.0,"Abilene, TX MSA"
52,2970.0,"Abilene, TX MSA"
53,924.0,"Abilene, TX MSA"
54,1566.0,"Abilene, TX MSA"
56,2318.0,"Abilene, TX MSA"
62,11505.0,"Abilene, TX MSA"
81,3490.0,"Abilene, TX MSA"
99,16.0,"Abilene, TX MSA"
--,297757.0,"Akron, OH MSA"
23,14156.0,"Akron, OH MSA"
31-33,47284.0,"Akron, OH MSA"
42,18040.0,"Akron, OH MSA"
44-45,37689.0,"Akron, OH MSA"
48-49,9547.0,"Akron, OH MSA"
51,5481.0,"Akron, OH MSA"
52,12019.0,"Akron, OH MSA"
53,3593.0,"Akron, OH MSA"
54,15682.0,"Akron, OH MSA"
55,16575.0,"Akron, OH MSA"
56,20080.0,"Akron, OH MSA"
61,4733.0,"Akron, OH MSA"
62,43357.0,"Akron, OH MSA"
71,4148.0,"Akron, OH MSA"
72,27240.0,"Akron, OH MSA"
81,14419.0,"Akron, OH MSA"
--,291769.0,"Albuquerque, NM MSA"
23,27344.0,"Albuquerque, NM MSA"
42,13102.0,"Albuquerque, NM MSA"
44-45,41155.0,"Albuquerque, NM MSA"
48-49,8052.0,"Albuquerque, NM MSA"
52,14248.0,"Albuquerque, NM MSA"
56,19462.0,"Albuquerque, NM MSA"
61,3928.0,"Albuquerque, NM MSA"
62,41840.0,"Albuquerque, NM MSA"
72,33153.0,"Albuquerque, NM MSA"
81,12666.0,"Albuquerque, NM MSA"
--,49923.0,"Alexandria, LA MSA"
11,438.0,"Alexandria, LA MSA"
23,4511.0,"Alexandria, LA MSA"
31-33,4226.0,"Alexandria, LA MSA"
44-45,8172.0,"Alexandria, LA MSA"
51,1017.0,"Alexandria, LA MSA"
52,1909.0,"Alexandria, LA MSA"
54,1735.0,"Alexandria, LA MSA"
55,198.0,"Alexandria, LA MSA"
61,772.0,"Alexandria, LA MSA"
62,13100.0,"Alexandria, LA MSA"
81,3201.0,"Alexandria, LA MSA"
--,294104.0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
