NAICS Code,Total Employment - 2010,State
--,111970095,United States
11,156055,United States
21,581582,United States
22,638058,United States
23,5389271,United States
31-33,10862838,United States
42,5598507,United States
44-45,14496625,United States
48-49,4011989,United States
51,3124036,United States
52,5928696,United States
53,1946424,United States
54,7822417,United States
55,2832953,United States
56,8977265,United States
61,3273527,United States
62,17787859,United States
71,2003595,United States
72,11312122,United States
81,5204445,United States
99,0,United States
--,1568111,Alabama
11,5984,Alabama
21,7242,Alabama
22,16546,Alabama
23,88587,Alabama
31-33,229023,Alabama
42,70363,Alabama
44-45,224658,Alabama
48-49,54263,Alabama
51,36392,Alabama
52,69426,Alabama
53,24841,Alabama
54,93848,Alabama
55,16033,Alabama
56,117962,Alabama
61,29605,Alabama
62,236266,Alabama
71,19434,Alabama
72,146700,Alabama
81,80690,Alabama
99,248,Alabama
--,254734,Alaska
11,1137,Alaska
21,10847,Alaska
22,1988,Alaska
23,18049,Alaska
31-33,12716,Alaska
42,8681,Alaska
44-45,33387,Alaska
48-49,17974,Alaska
51,6486,Alaska
52,7482,Alaska
53,5058,Alaska
54,17035,Alaska
55,6403,Alaska
56,20449,Alaska
61,2868,Alaska
62,43303,Alaska
71,4728,Alaska
72,26237,Alaska
81,9860,Alaska
99,0,Alaska
--,2065224,Arizona
11,1285,Arizona
21,10414,Arizona
22,0,Arizona
23,120663,Arizona
31-33,137296,Arizona
42,89887,Arizona
44-45,304179,Arizona
48-49,70110,Arizona
51,51567,Arizona
52,125436,Arizona
53,41992,Arizona
54,126771,Arizona
55,42895,Arizona
56,206078,Arizona
61,56233,Arizona
62,308087,Arizona
71,42571,Arizona
72,235702,Arizona
81,81205,Arizona
99,0,Arizona
--,965474,Arkansas
11,4522,Arkansas
21,8823,Arkansas
22,7362,Arkansas
23,43344,Arkansas
31-33,155069,Arkansas
42,43250,Arkansas
44-45,134965,Arkansas
48-49,47030,Arkansas
51,23782,Arkansas
52,36299,Arkansas
53,13407,Arkansas
54,33212,Arkansas
55,36160,Arkansas
56,49991,Arkansas
61,15882,Arkansas
62,170323,Arkansas
71,9077,Arkansas
72,90391,Arkansas
81,42418,Arkansas
99,0,Arkansas
--,12536402,California
11,25423,California
21,21425,California
22,0,California
23,584801,California
31-33,1144382,California
42,790823,California
44-45,1484919,California
48-49,414859,California
51,492737,California
52,569956,California
53,269325,California
54,1168416,California
55,262493,California
56,1072487,California
61,348371,California
62,1685434,California
71,294506,California
72,1303442,California
81,540180,California
99,0,California
--,1955336,Colorado
11,1592,Colorado
21,23611,Colorado
22,8837,Colorado
23,123601,Colorado
31-33,112999,Colorado
42,91278,Colorado
44-45,240321,Colorado
48-49,57995,Colorado
51,76940,Colorado
52,95393,Colorado
53,41723,Colorado
54,173597,Colorado
55,44293,Colorado
56,202851,Colorado
61,43321,Colorado
62,250442,Colorado
71,49899,Colorado
72,219539,Colorado
81,96720,Colorado
99,384,Colorado
--,1436992,Connecticut
11,284,Connecticut
21,956,Connecticut
22,0,Connecticut
23,50256,Connecticut
31-33,152564,Connecticut
42,68349,Connecticut
44-45,178082,Connecticut
48-49,38290,Connecticut
51,35874,Connecticut
52,121304,Connecticut
53,19637,Connecticut
54,98752,Connecticut
55,38495,Connecticut
56,81067,Connecticut
61,66451,Connecticut
62,262337,Connecticut
71,24203,Connecticut
72,128680,Connecticut
81,60716,Connecticut
99,179,Connecticut
--,359007,Delaware
11,181,Delaware
21,43,Delaware
22,2632,Delaware
23,18597,Delaware
31-33,28485,Delaware
42,16834,Delaware
44-45,49932,Delaware
48-49,11346,Delaware
51,7940,Delaware
52,36638,Delaware
53,5930,Delaware
54,23852,Delaware
55,13595,Delaware
56,25792,Delaware
61,6339,Delaware
62,58369,Delaware
71,6170,Delaware
72,31488,Delaware
81,14783,Delaware
99,61,Delaware
--,463076,District of Columbia
11,0,District of Columbia
21,0,District of Columbia
22,0,District of Columbia
23,6110,District of Columbia
31-33,1405,District of Columbia
42,4568,District of Columbia
44-45,19208,District of Columbia
48-49,4209,District of Columbia
51,20137,District of Columbia
52,16630,District of Columbia
53,9075,District of Columbia
54,89309,District of Columbia
55,10559,District of Columbia
56,33560,District of Columbia
61,49396,District of Columbia
62,65170,District of Columbia
71,6946,District of Columbia
72,55084,District of Columbia
81,69575,District of Columbia
99,121,District of Columbia
--,6626558,Florida
11,12528,Florida
21,4854,Florida
22,26859,Florida
23,297998,Florida
31-33,271861,Florida
42,276704,Florida
44-45,912727,Florida
48-49,204612,Florida
51,151880,Florida
52,328994,Florida
53,144219,Florida
54,418190,Florida
55,132954,Florida
56,1167504,Florida
61,143820,Florida
62,950331,Florida
71,158824,Florida
72,729533,Florida
81,291446,Florida
99,720,Florida
--,3315274,Georgia
11,7621,Georgia
21,4856,Georgia
22,25127,Georgia
23,149943,Georgia
31-33,326992,Georgia
42,184106,Georgia
44-45,428591,Georgia
48-49,149837,Georgia
51,119144,Georgia
52,162339,Georgia
53,55715,Georgia
54,229172,Georgia
55,111524,Georgia
56,305949,Georgia
61,77554,Georgia
62,437942,Georgia
71,41318,Georgia
72,343425,Georgia
81,153792,Georgia
99,327,Georgia
--,478838,Hawaii
11,357,Hawaii
21,137,Hawaii
22,3163,Hawaii
23,27099,Hawaii
31-33,12414,Hawaii
42,18836,Hawaii
44-45,65347,Hawaii
48-49,25741,Hawaii
51,8802,Hawaii
52,19171,Hawaii
53,12790,Hawaii
54,25180,Hawaii
55,5500,Hawaii
56,43936,Hawaii
61,19561,Hawaii
62,65125,Hawaii
71,9761,Hawaii
72,90324,Hawaii
81,25532,Hawaii
99,0,Hawaii
--,487875,Idaho
11,3304,Idaho
21,2444,Idaho
22,2887,Idaho
23,29781,Idaho
31-33,51874,Idaho
42,23296,Idaho
44-45,73468,Idaho
48-49,15931,Idaho
51,13221,Idaho
52,21315,Idaho
53,7140,Idaho
54,31838,Idaho
55,8711,Idaho
56,34000,Idaho
61,10066,Idaho
62,79920,Idaho
71,8749,Idaho
72,51321,Idaho
81,18525,Idaho
99,0,Idaho
--,4980011,Illinois
11,1859,Illinois
21,8024,Illinois
22,28851,Illinois
23,188021,Illinois
31-33,530947,Illinois
42,298978,Illinois
44-45,589318,Illinois
48-49,214017,Illinois
51,120671,Illinois
52,302206,Illinois
53,75054,Illinois
54,348810,Illinois
55,162925,Illinois
56,444003,Illinois
61,152281,Illinois
62,741655,Illinois
71,76139,Illinois
72,454291,Illinois
81,241545,Illinois
99,416,Illinois
--,2400382,Indiana
11,1632,Indiana
21,6162,Indiana
22,16176,Indiana
23,111076,Indiana
31-33,419723,Indiana
42,105332,Indiana
44-45,307663,Indiana
48-49,106187,Indiana
51,43069,Indiana
52,97163,Indiana
53,32459,Indiana
54,100449,Indiana
55,52120,Indiana
56,149990,Indiana
61,62070,Indiana
62,384458,Indiana
71,35346,Indiana
72,244554,Indiana
81,124525,Indiana
99,0,Indiana
--,1253095,Iowa
11,1897,Iowa
21,1661,Iowa
22,0,Iowa
23,55283,Iowa
31-33,195635,Iowa
42,64370,Iowa
44-45,174080,Iowa
48-49,53447,Iowa
51,33046,Iowa
52,92105,Iowa
53,13786,Iowa
54,46355,Iowa
55,17442,Iowa
56,64600,Iowa
61,39576,Iowa
62,207653,Iowa
71,20758,Iowa
72,110969,Iowa
81,52449,Iowa
99,0,Iowa
--,1127160,Kansas
11,701,Kansas
21,9159,Kansas
22,6502,Kansas
23,56149,Kansas
31-33,157713,Kansas
42,60985,Kansas
44-45,146553,Kansas
48-49,45952,Kansas
51,39345,Kansas
52,59310,Kansas
53,15400,Kansas
54,58489,Kansas
55,24835,Kansas
56,70535,Kansas
61,19471,Kansas
62,186820,Kansas
71,13841,Kansas
72,102400,Kansas
81,52862,Kansas
99,138,Kansas
--,1456790,Kentucky
11,1856,Kentucky
21,21192,Kentucky
