State,NAICS Code,Total Employment - 1999
United States,--,110705661.0
United States,11,192155.0
United States,21,456645.0
United States,22,667062.0
United States,23,6201626.0
United States,31-33,16659930.0
United States,42,5972022.0
United States,44-45,14476628.0
United States,48-49,3627057.0
United States,51,3234530.0
United States,52,5965174.0
United States,53,1873792.0
United States,54,6432422.0
United States,55,2788276.0
United States,56,8366523.0
United States,61,2431718.0
United States,62,13865014.0
United States,71,1640030.0
United States,72,9638007.0
United States,81,5151464.0
United States,95,959257.0
United States,99,106329.0
Alabama,--,1633909.0
Alabama,11,9641.0
Alabama,21,7947.0
Alabama,22,15094.0
Alabama,23,105939.0
Alabama,31-33,341940.0
Alabama,42,82147.0
Alabama,44-45,224493.0
Alabama,48-49,47054.0
Alabama,51,38279.0
Alabama,52,72609.0
Alabama,53,22593.0
Alabama,54,69448.0
Alabama,55,20598.0
Alabama,56,111948.0
Alabama,61,19599.0
Alabama,62,203808.0
Alabama,71,14069.0
Alabama,72,133248.0
Alabama,81,81411.0
Alabama,95,10821.0
Alabama,99,1223.0
Alaska,--,198459.0
Alaska,11,1932.0
Alaska,21,8246.0
Alaska,22,1699.0
Alaska,23,13155.0
Alaska,31-33,11828.0
Alaska,42,7102.0
Alaska,44-45,32280.0
Alaska,48-49,16835.0
Alaska,51,5882.0
Alaska,52,7161.0
Alaska,53,3816.0
Alaska,54,9612.0
Alaska,55,2008.0
Alaska,56,9260.0
Alaska,61,2365.0
Alaska,62,30371.0
Alaska,71,2596.0
Alaska,72,20804.0
Alaska,81,10298.0
Alaska,95,907.0
Alaska,99,302.0
Arizona,--,1838277.0
Arizona,11,2242.0
Arizona,21,12027.0
Arizona,22,10532.0
Arizona,23,160496.0
Arizona,31-33,192594.0
Arizona,42,85835.0
Arizona,44-45,248866.0
Arizona,48-49,65369.0
Arizona,51,50630.0
Arizona,52,103628.0
Arizona,53,38807.0
Arizona,54,104827.0
Arizona,55,40267.0
Arizona,56,186152.0
Arizona,61,21718.0
Arizona,62,194047.0
Arizona,71,32389.0
Arizona,72,195111.0
Arizona,81,76800.0
Arizona,95,14169.0
Arizona,99,1771.0
Arkansas,--,954948.0
Arkansas,11,6468.0
Arkansas,21,3046.0
Arkansas,22,7994.0
Arkansas,23,45538.0
Arkansas,31-33,229628.0
Arkansas,42,42410.0
Arkansas,44-45,131257.0
Arkansas,48-49,41261.0
Arkansas,51,21478.0
Arkansas,52,33064.0
Arkansas,53,10480.0
Arkansas,54,29663.0
Arkansas,55,19443.0
Arkansas,56,56244.0
Arkansas,61,10621.0
Arkansas,62,129260.0
Arkansas,71,7513.0
Arkansas,72,74493.0
Arkansas,81,39922.0
Arkansas,95,14556.0
Arkansas,99,609.0
California,--,12356363.0
California,11,26574.0
California,21,19489.0
California,22,50360.0
California,23,705552.0
California,31-33,1792190.0
California,42,773142.0
California,44-45,1421434.0
