NAICS Code,Total Employment - 2008,MSA
--,58308,"Abilene, TX MSA"
11,36,"Abilene, TX MSA"
21,2642,"Abilene, TX MSA"
22,372,"Abilene, TX MSA"
23,3884,"Abilene, TX MSA"
31-33,2749,"Abilene, TX MSA"
42,2039,"Abilene, TX MSA"
44-45,9109,"Abilene, TX MSA"
48-49,1827,"Abilene, TX MSA"
51,1406,"Abilene, TX MSA"
52,3132,"Abilene, TX MSA"
53,718,"Abilene, TX MSA"
54,1782,"Abilene, TX MSA"
55,0,"Abilene, TX MSA"
56,2417,"Abilene, TX MSA"
61,3495,"Abilene, TX MSA"
62,11777,"Abilene, TX MSA"
71,728,"Abilene, TX MSA"
72,6453,"Abilene, TX MSA"
81,3124,"Abilene, TX MSA"
99,0,"Abilene, TX MSA"
--,292698,"Akron, OH MSA"
11,0,"Akron, OH MSA"
21,389,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,14225,"Akron, OH MSA"
31-33,44545,"Akron, OH MSA"
42,18498,"Akron, OH MSA"
44-45,38199,"Akron, OH MSA"
48-49,9452,"Akron, OH MSA"
51,5631,"Akron, OH MSA"
52,11267,"Akron, OH MSA"
53,3463,"Akron, OH MSA"
54,16829,"Akron, OH MSA"
55,12531,"Akron, OH MSA"
56,18237,"Akron, OH MSA"
61,4611,"Akron, OH MSA"
62,46299,"Akron, OH MSA"
71,4171,"Akron, OH MSA"
72,26856,"Akron, OH MSA"
81,14508,"Akron, OH MSA"
99,34,"Akron, OH MSA"
--,306194,"Albuquerque, NM MSA"
11,66,"Albuquerque, NM MSA"
21,919,"Albuquerque, NM MSA"
22,0,"Albuquerque, NM MSA"
23,28620,"Albuquerque, NM MSA"
31-33,21996,"Albuquerque, NM MSA"
42,13757,"Albuquerque, NM MSA"
44-45,43486,"Albuquerque, NM MSA"
48-49,8481,"Albuquerque, NM MSA"
51,9262,"Albuquerque, NM MSA"
52,14112,"Albuquerque, NM MSA"
53,5641,"Albuquerque, NM MSA"
54,20549,"Albuquerque, NM MSA"
55,8709,"Albuquerque, NM MSA"
56,21760,"Albuquerque, NM MSA"
61,4747,"Albuquerque, NM MSA"
62,45868,"Albuquerque, NM MSA"
71,7336,"Albuquerque, NM MSA"
72,35480,"Albuquerque, NM MSA"
81,13450,"Albuquerque, NM MSA"
99,0,"Albuquerque, NM MSA"
--,50796,"Alexandria, LA MSA"
11,412,"Alexandria, LA MSA"
21,40,"Alexandria, LA MSA"
22,0,"Alexandria, LA MSA"
23,3606,"Alexandria, LA MSA"
31-33,4699,"Alexandria, LA MSA"
42,2032,"Alexandria, LA MSA"
44-45,8063,"Alexandria, LA MSA"
48-49,1110,"Alexandria, LA MSA"
51,915,"Alexandria, LA MSA"
52,1831,"Alexandria, LA MSA"
53,711,"Alexandria, LA MSA"
54,1751,"Alexandria, LA MSA"
55,161,"Alexandria, LA MSA"
56,2509,"Alexandria, LA MSA"
61,937,"Alexandria, LA MSA"
62,13453,"Alexandria, LA MSA"
71,286,"Alexandria, LA MSA"
72,4552,"Alexandria, LA MSA"
81,2957,"Alexandria, LA MSA"
99,0,"Alexandria, LA MSA"
--,302265,"Allentown-Bethlehem-Easton, PA-NJ MSA"
11,30,"Allentown-Bethlehem-Easton, PA-NJ MSA"
21,221,"Allentown-Bethlehem-Easton, PA-NJ MSA"
22,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
23,13251,"Allentown-Bethlehem-Easton, PA-NJ MSA"
31-33,36798,"Allentown-Bethlehem-Easton, PA-NJ MSA"
42,18219,"Allentown-Bethlehem-Easton, PA-NJ MSA"
44-45,43566,"Allentown-Bethlehem-Easton, PA-NJ MSA"
48-49,14135,"Allentown-Bethlehem-Easton, PA-NJ MSA"
51,8786,"Allentown-Bethlehem-Easton, PA-NJ MSA"
52,12565,"Allentown-Bethlehem-Easton, PA-NJ MSA"
53,2926,"Allentown-Bethlehem-Easton, PA-NJ MSA"
54,12609,"Allentown-Bethlehem-Easton, PA-NJ MSA"
55,9005,"Allentown-Bethlehem-Easton, PA-NJ MSA"
56,17834,"Allentown-Bethlehem-Easton, PA-NJ MSA"
61,11756,"Allentown-Bethlehem-Easton, PA-NJ MSA"
62,54154,"Allentown-Bethlehem-Easton, PA-NJ MSA"
71,4575,"Allentown-Bethlehem-Easton, PA-NJ MSA"
72,25091,"Allentown-Bethlehem-Easton, PA-NJ MSA"
81,14136,"Allentown-Bethlehem-Easton, PA-NJ MSA"
99,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
--,52089,"Altoona, PA MSA"
11,0,"Altoona, PA MSA"
21,0,"Altoona, PA MSA"
22,0,"Altoona, PA MSA"
23,2257,"Altoona, PA MSA"
31-33,7517,"Altoona, PA MSA"
42,2781,"Altoona, PA MSA"
44-45,9484,"Altoona, PA MSA"
48-49,2966,"Altoona, PA MSA"
51,1455,"Altoona, PA MSA"
52,1251,"Altoona, PA MSA"
53,362,"Altoona, PA MSA"
54,2239,"Altoona, PA MSA"
55,674,"Altoona, PA MSA"
56,2376,"Altoona, PA MSA"
61,335,"Altoona, PA MSA"
62,10296,"Altoona, PA MSA"
71,488,"Altoona, PA MSA"
72,4767,"Altoona, PA MSA"
81,2641,"Altoona, PA MSA"
99,0,"Altoona, PA MSA"
--,91786,"Amarillo, TX MSA"
11,362,"Amarillo, TX MSA"
21,302,"Amarillo, TX MSA"
22,0,"Amarillo, TX MSA"
23,5893,"Amarillo, TX MSA"
31-33,8205,"Amarillo, TX MSA"
42,5509,"Amarillo, TX MSA"
44-45,14457,"Amarillo, TX MSA"
48-49,2946,"Amarillo, TX MSA"
51,1632,"Amarillo, TX MSA"
52,5428,"Amarillo, TX MSA"
53,1320,"Amarillo, TX MSA"
54,2783,"Amarillo, TX MSA"
55,1417,"Amarillo, TX MSA"
56,7248,"Amarillo, TX MSA"
61,647,"Amarillo, TX MSA"
62,15250,"Amarillo, TX MSA"
