NAICS Code,Total Employment - 2004,State
--,115074924.0,United States
11,182121.0,United States
21,470280.0,United States
22,634734.0,United States
23,6647641.0,United States
31-33,13821976.0,United States
42,5907051.0,United States
44-45,15351431.0,United States
48-49,4098870.0,United States
51,3472427.0,United States
52,6481304.0,United States
53,2086085.0,United States
54,7569981.0,United States
55,2824787.0,United States
56,8708052.0,United States
61,2893346.0,United States
62,15814812.0,United States
71,1889044.0,United States
72,10749811.0,United States
81,5416193.0,United States
99,54978.0,United States
--,1629141.0,Alabama
11,7621.0,Alabama
21,6670.0,Alabama
22,14860.0,Alabama
23,104672.0,Alabama
31-33,273967.0,Alabama
42,76123.0,Alabama
44-45,237633.0,Alabama
48-49,55695.0,Alabama
51,41980.0,Alabama
52,75700.0,Alabama
53,23923.0,Alabama
54,91498.0,Alabama
55,18417.0,Alabama
56,107523.0,Alabama
61,25769.0,Alabama
62,226910.0,Alabama
71,15117.0,Alabama
72,141442.0,Alabama
81,82869.0,Alabama
99,752.0,Alabama
--,223153.0,Alaska
11,1038.0,Alaska
21,7058.0,Alaska
22,1758.0,Alaska
23,17599.0,Alaska
31-33,10081.0,Alaska
42,8167.0,Alaska
44-45,34274.0,Alaska
48-49,17473.0,Alaska
51,7200.0,Alaska
52,7616.0,Alaska
53,4639.0,Alaska
54,11867.0,Alaska
55,2880.0,Alaska
56,12877.0,Alaska
61,2848.0,Alaska
62,38242.0,Alaska
71,3931.0,Alaska
72,23382.0,Alaska
81,10124.0,Alaska
99,99.0,Alaska
--,2044134.0,Arizona
11,1832.0,Arizona
21,8037.0,Arizona
22,10452.0,Arizona
23,184901.0,Arizona
31-33,167481.0,Arizona
42,91852.0,Arizona
44-45,295675.0,Arizona
48-49,72337.0,Arizona
51,50852.0,Arizona
52,121386.0,Arizona
53,43916.0,Arizona
54,116458.0,Arizona
55,58793.0,Arizona
56,194121.0,Arizona
61,36020.0,Arizona
62,242111.0,Arizona
71,42967.0,Arizona
72,222833.0,Arizona
81,81437.0,Arizona
99,673.0,Arizona
--,1007512.0,Arkansas
21,3706.0,Arkansas
22,7284.0,Arkansas
23,48114.0,Arkansas
31-33,200533.0,Arkansas
42,45781.0,Arkansas
44-45,141613.0,Arkansas
48-49,61131.0,Arkansas
51,27461.0,Arkansas
52,36146.0,Arkansas
53,12262.0,Arkansas
54,34550.0,Arkansas
55,35155.0,Arkansas
56,48566.0,Arkansas
61,12451.0,Arkansas
62,149354.0,Arkansas
71,8640.0,Arkansas
72,82711.0,Arkansas
81,45520.0,Arkansas
--,13264918.0,California
11,24596.0,California
21,18779.0,California
22,59965.0,California
23,834742.0,California
31-33,1476211.0,California
42,801781.0,California
44-45,1662333.0,California
48-49,448081.0,California
51,503741.0,California
52,699086.0,California
53,302014.0,California
54,1239251.0,California
55,289881.0,California
56,981640.0,California
61,305419.0,California
62,1512337.0,California
71,285230.0,California
72,1240070.0,California
81,572097.0,California
99,7664.0,California
--,1908508.0,Colorado
11,1440.0,Colorado
21,13572.0,Colorado
22,8150.0,Colorado
23,147767.0,Colorado
31-33,137726.0,Colorado
42,96848.0,Colorado
44-45,249280.0,Colorado
48-49,56872.0,Colorado
51,85744.0,Colorado
52,103088.0,Colorado
53,45761.0,Colorado
54,146891.0,Colorado
55,42147.0,Colorado
56,171198.0,Colorado
61,34205.0,Colorado
62,215712.0,Colorado
71,43730.0,Colorado
72,213648.0,Colorado
81,94012.0,Colorado
99,717.0,Colorado
--,1537461.0,Connecticut
21,867.0,Connecticut
22,10088.0,Connecticut
23,66752.0,Connecticut
31-33,188418.0,Connecticut
42,78892.0,Connecticut
44-45,197028.0,Connecticut
48-49,37370.0,Connecticut
51,40349.0,Connecticut
52,137330.0,Connecticut
53,22964.0,Connecticut
54,98504.0,Connecticut
55,42976.0,Connecticut
56,105249.0,Connecticut
61,60288.0,Connecticut
62,237579.0,Connecticut
71,23340.0,Connecticut
72,124603.0,Connecticut
81,63306.0,Connecticut
--,391682.0,Delaware
22,2789.0,Delaware
23,23798.0,Delaware
31-33,35936.0,Delaware
42,20051.0,Delaware
44-45,54748.0,Delaware
48-49,13111.0,Delaware
51,9087.0,Delaware
52,40454.0,Delaware
53,6228.0,Delaware
54,26500.0,Delaware
55,21633.0,Delaware
56,26200.0,Delaware
61,6318.0,Delaware
62,50355.0,Delaware
71,7873.0,Delaware
72,28794.0,Delaware
81,17203.0,Delaware
--,436865.0,District of Columbia
22,2791.0,District of Columbia
23,5565.0,District of Columbia
31-33,1902.0,District of Columbia
42,6517.0,District of Columbia
44-45,19410.0,District of Columbia
48-49,3431.0,District of Columbia
51,25414.0,District of Columbia
52,19039.0,District of Columbia
53,8290.0,District of Columbia
54,86216.0,District of Columbia
55,4010.0,District of Columbia
56,29051.0,District of Columbia
61,47034.0,District of Columbia
62,59290.0,District of Columbia
71,6880.0,District of Columbia
72,46570.0,District of Columbia
81,65167.0,District of Columbia
--,6864987.0,Florida
11,15489.0,Florida
21,6211.0,Florida
22,32320.0,Florida
23,437383.0,Florida
31-33,371713.0,Florida
42,307833.0,Florida
44-45,960282.0,Florida
48-49,200600.0,Florida
51,174664.0,Florida
52,372380.0,Florida
53,150715.0,Florida
54,414127.0,Florida
55,127158.0,Florida
56,1157253.0,Florida
61,116736.0,Florida
62,857299.0,Florida
71,151348.0,Florida
72,699500.0,Florida
81,309894.0,Florida
99,2082.0,Florida
--,3452451.0,Georgia
11,9173.0,Georgia
21,6448.0,Georgia
22,21569.0,Georgia
23,198234.0,Georgia
31-33,432512.0,Georgia
42,199327.0,Georgia
44-45,474034.0,Georgia
48-49,150054.0,Georgia
51,131194.0,Georgia
52,175183.0,Georgia
53,60913.0,Georgia
54,200213.0,Georgia
55,105205.0,Georgia
56,298726.0,Georgia
61,66889.0,Georgia
62,401707.0,Georgia
71,36838.0,Georgia
72,329704.0,Georgia
81,153123.0,Georgia
99,1405.0,Georgia
--,473500.0,Hawaii
11,387.0,Hawaii
21,125.0,Hawaii
22,2494.0,Hawaii
23,27020.0,Hawaii
31-33,14625.0,Hawaii
42,19986.0,Hawaii
44-45,66584.0,Hawaii
48-49,24578.0,Hawaii
51,10370.0,Hawaii
52,19256.0,Hawaii
53,14870.0,Hawaii
54,23738.0,Hawaii
55,5228.0,Hawaii
56,36958.0,Hawaii
61,16500.0,Hawaii
62,59349.0,Hawaii
71,11842.0,Hawaii
72,95337.0,Hawaii
81,24096.0,Hawaii
99,157.0,Hawaii
--,488676.0,Idaho
11,3783.0,Idaho
22,3411.0,Idaho
23,39034.0,Idaho
31-33,60102.0,Idaho
42,23094.0,Idaho
44-45,72840.0,Idaho
48-49,14938.0,Idaho
51,11586.0,Idaho
52,20604.0,Idaho
53,6336.0,Idaho
54,31256.0,Idaho
55,9023.0,Idaho
56,40631.0,Idaho
61,8061.0,Idaho
62,66383.0,Idaho
71,7332.0,Idaho
72,49916.0,Idaho
81,18170.0,Idaho
--,5217160.0,Illinois
11,2550.0,Illinois
21,9136.0,Illinois
22,30019.0,Illinois
23,258041.0,Illinois
31-33,685368.0,Illinois
42,323273.0,Illinois
44-45,625829.0,Illinois
48-49,212002.0,Illinois
51,133835.0,Illinois
52,354651.0,Illinois
53,85802.0,Illinois
54,343894.0,Illinois
55,156596.0,Illinois
56,415654.0,Illinois
61,131127.0,Illinois
62,673842.0,Illinois
71,72365.0,Illinois
72,438895.0,Illinois
81,263191.0,Illinois
99,1090.0,Illinois
--,2586799.0,Indiana
11,1463.0,Indiana
21,5652.0,Indiana
22,13528.0,Indiana
23,140808.0,Indiana
31-33,544310.0,Indiana
42,114962.0,Indiana
44-45,352149.0,Indiana
48-49,104191.0,Indiana
51,47263.0,Indiana
52,112304.0,Indiana
53,35776.0,Indiana
54,103265.0,Indiana
55,43354.0,Indiana
56,149017.0,Indiana
61,52272.0,Indiana
62,354380.0,Indiana
71,32241.0,Indiana
72,243887.0,Indiana
81,135509.0,Indiana
99,468.0,Indiana
--,1241864.0,Iowa
21,1947.0,Iowa
22,8022.0,Iowa
23,61166.0,Iowa
31-33,219188.0,Iowa
42,61423.0,Iowa
44-45,178251.0,Iowa
48-49,49028.0,Iowa
51,36386.0,Iowa
52,92053.0,Iowa
53,13670.0,Iowa
54,41763.0,Iowa
55,16020.0,Iowa
56,59810.0,Iowa
61,33662.0,Iowa
62,185688.0,Iowa
71,20397.0,Iowa
72,107271.0,Iowa
81,54106.0,Iowa
--,1116277.0,Kansas
11,710.0,Kansas
21,7744.0,Kansas
22,6789.0,Kansas
23,62899.0,Kansas
31-33,173236.0,Kansas
42,62274.0,Kansas
44-45,149777.0,Kansas
48-49,43169.0,Kansas
51,45689.0,Kansas
52,58767.0,Kansas
53,15243.0,Kansas
54,60378.0,Kansas
55,20604.0,Kansas
56,60729.0,Kansas
61,17589.0,Kansas
62,166906.0,Kansas
71,12785.0,Kansas
72,98511.0,Kansas
81,52109.0,Kansas
99,369.0,Kansas
--,1489497.0,Kentucky
11,1839.0,Kentucky
21,18134.0,Kentucky
22,8496.0,Kentucky
23,81444.0,Kentucky
31-33,258090.0,Kentucky
42,68653.0,Kentucky
44-45,223304.0,Kentucky
48-49,76014.0,Kentucky
51,31316.0,Kentucky
52,67090.0,Kentucky
53,19170.0,Kentucky
54,59446.0,Kentucky
55,26538.0,Kentucky
56,72783.0,Kentucky
61,26813.0,Kentucky
62,221193.0,Kentucky
71,16634.0,Kentucky
72,143457.0,Kentucky
81,68398.0,Kentucky
99,685.0,Kentucky
--,1623680.0,Louisiana
11,5295.0,Louisiana
21,42210.0,Louisiana
22,11321.0,Louisiana
23,122875.0,Louisiana
31-33,148750.0,Louisiana
42,73609.0,Louisiana
44-45,231777.0,Louisiana
48-49,64433.0,Louisiana
51,30765.0,Louisiana
52,70389.0,Louisiana
53,31894.0,Louisiana
54,81969.0,Louisiana
55,13700.0,Louisiana
56,104943.0,Louisiana
61,38288.0,Louisiana
62,259988.0,Louisiana
71,34112.0,Louisiana
72,177247.0,Louisiana
81,79245.0,Louisiana
99,870.0,Louisiana
--,494256.0,Maine
11,3580.0,Maine
22,2482.0,Maine
23,27950.0,Maine
31-33,62738.0,Maine
42,18796.0,Maine
44-45,82234.0,Maine
48-49,14018.0,Maine
51,11706.0,Maine
52,27384.0,Maine
53,6717.0,Maine
54,22540.0,Maine
55,7150.0,Maine
56,25170.0,Maine
61,13695.0,Maine
62,96894.0,Maine
71,6758.0,Maine
72,44769.0,Maine
81,19439.0,Maine
--,2151474.0,Maryland
11,1043.0,Maryland
21,1798.0,Maryland
22,9904.0,Maryland
23,178787.0,Maryland
31-33,140803.0,Maryland
42,95065.0,Maryland
44-45,299177.0,Maryland
48-49,63419.0,Maryland
51,70598.0,Maryland
52,124803.0,Maryland
53,49440.0,Maryland
54,215303.0,Maryland
55,50176.0,Maryland
56,157969.0,Maryland
61,63423.0,Maryland
62,296856.0,Maryland
71,35722.0,Maryland
72,184041.0,Maryland
81,112584.0,Maryland
99,563.0,Maryland
--,2979690.0,Massachusetts
11,1192.0,Massachusetts
21,1389.0,Massachusetts
22,12273.0,Massachusetts
23,129607.0,Massachusetts
31-33,294278.0,Massachusetts
42,143292.0,Massachusetts
44-45,369537.0,Massachusetts
48-49,78681.0,Massachusetts
51,102871.0,Massachusetts
52,213848.0,Massachusetts
53,48504.0,Massachusetts
54,236527.0,Massachusetts
55,81618.0,Massachusetts
56,180387.0,Massachusetts
61,182586.0,Massachusetts
62,483615.0,Massachusetts
71,46411.0,Massachusetts
72,245121.0,Massachusetts
81,123630.0,Massachusetts
99,4323.0,Massachusetts
--,3895914.0,Michigan
11,3350.0,Michigan
21,5478.0,Michigan
22,23547.0,Michigan
23,172163.0,Michigan
31-33,661699.0,Michigan
42,172962.0,Michigan
44-45,523056.0,Michigan
48-49,99353.0,Michigan
51,91847.0,Michigan
52,170576.0,Michigan
53,58956.0,Michigan
54,294303.0,Michigan
55,122796.0,Michigan
56,317073.0,Michigan
61,67127.0,Michigan
62,537404.0,Michigan
71,56464.0,Michigan
72,335036.0,Michigan
81,179298.0,Michigan
99,3426.0,Michigan
--,2393126.0,Minnesota
11,2289.0,Minnesota
21,5061.0,Minnesota
22,11743.0,Minnesota
23,122029.0,Minnesota
31-33,332501.0,Minnesota
42,136382.0,Minnesota
44-45,312319.0,Minnesota
48-49,76712.0,Minnesota
51,64640.0,Minnesota
52,151970.0,Minnesota
53,39183.0,Minnesota
54,124194.0,Minnesota
55,91846.0,Minnesota
56,136635.0,Minnesota
61,56339.0,Minnesota
62,367753.0,Minnesota
71,36924.0,Minnesota
72,207157.0,Minnesota
81,116611.0,Minnesota
99,838.0,Minnesota
--,928313.0,Mississippi
11,5939.0,Mississippi
21,3840.0,Mississippi
22,7969.0,Mississippi
23,50665.0,Mississippi
31-33,174494.0,Mississippi
42,35458.0,Mississippi
44-45,141965.0,Mississippi
48-49,33397.0,Mississippi
51,17511.0,Mississippi
52,34641.0,Mississippi
53,10374.0,Mississippi
54,31651.0,Mississippi
55,8270.0,Mississippi
56,43179.0,Mississippi
61,16255.0,Mississippi
62,141609.0,Mississippi
71,10682.0,Mississippi
72,117820.0,Mississippi
81,42176.0,Mississippi
99,418.0,Mississippi
--,2421450.0,Missouri
11,1545.0,Missouri
21,3841.0,Missouri
22,15566.0,Missouri
23,148242.0,Missouri
31-33,302760.0,Missouri
42,131159.0,Missouri
44-45,321135.0,Missouri
48-49,89252.0,Missouri
51,78136.0,Missouri
52,139920.0,Missouri
53,40210.0,Missouri
54,130591.0,Missouri
55,70345.0,Missouri
56,144410.0,Missouri
61,65963.0,Missouri
62,346641.0,Missouri
71,35025.0,Missouri
72,229914.0,Missouri
81,122924.0,Missouri
99,3871.0,Missouri
--,314865.0,Montana
21,4978.0,Montana
22,2714.0,Montana
23,21897.0,Montana
31-33,18428.0,Montana
42,13886.0,Montana
44-45,55864.0,Montana
48-49,10523.0,Montana
51,7658.0,Montana
52,15980.0,Montana
53,5197.0,Montana
54,16737.0,Montana
55,2063.0,Montana
56,12123.0,Montana
62,53243.0,Montana
71,9144.0,Montana
72,42712.0,Montana
81,14422.0,Montana
--,774311.0,Nebraska
22,1163.0,Nebraska
23,43247.0,Nebraska
