NAICS Code,Total Employment - 2014,MSA
--,57611,"Abilene, TX MSA"
11,0,"Abilene, TX MSA"
21,2214,"Abilene, TX MSA"
22,433,"Abilene, TX MSA"
23,2996,"Abilene, TX MSA"
31-33,2436,"Abilene, TX MSA"
42,2591,"Abilene, TX MSA"
44-45,8835,"Abilene, TX MSA"
48-49,1700,"Abilene, TX MSA"
51,1140,"Abilene, TX MSA"
52,2946,"Abilene, TX MSA"
53,888,"Abilene, TX MSA"
54,1875,"Abilene, TX MSA"
55,977,"Abilene, TX MSA"
56,2178,"Abilene, TX MSA"
61,3392,"Abilene, TX MSA"
62,12194,"Abilene, TX MSA"
71,726,"Abilene, TX MSA"
72,7087,"Abilene, TX MSA"
81,2981,"Abilene, TX MSA"
99,0,"Abilene, TX MSA"
--,291083,"Akron, OH MSA"
11,31,"Akron, OH MSA"
21,229,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,11529,"Akron, OH MSA"
31-33,39596,"Akron, OH MSA"
42,19348,"Akron, OH MSA"
44-45,38042,"Akron, OH MSA"
48-49,9694,"Akron, OH MSA"
51,5333,"Akron, OH MSA"
52,10946,"Akron, OH MSA"
53,3259,"Akron, OH MSA"
54,17109,"Akron, OH MSA"
55,13521,"Akron, OH MSA"
56,17843,"Akron, OH MSA"
61,5241,"Akron, OH MSA"
62,51724,"Akron, OH MSA"
71,4638,"Akron, OH MSA"
72,27119,"Akron, OH MSA"
81,13135,"Akron, OH MSA"
99,9,"Akron, OH MSA"
--,33472,"Albany-Lebanon, OR MSA"
11,555,"Albany-Lebanon, OR MSA"
21,0,"Albany-Lebanon, OR MSA"
22,0,"Albany-Lebanon, OR MSA"
23,2213,"Albany-Lebanon, OR MSA"
31-33,7038,"Albany-Lebanon, OR MSA"
42,1553,"Albany-Lebanon, OR MSA"
44-45,4770,"Albany-Lebanon, OR MSA"
48-49,2407,"Albany-Lebanon, OR MSA"
51,347,"Albany-Lebanon, OR MSA"
52,1071,"Albany-Lebanon, OR MSA"
53,402,"Albany-Lebanon, OR MSA"
54,859,"Albany-Lebanon, OR MSA"
55,0,"Albany-Lebanon, OR MSA"
56,1822,"Albany-Lebanon, OR MSA"
61,261,"Albany-Lebanon, OR MSA"
62,5027,"Albany-Lebanon, OR MSA"
71,240,"Albany-Lebanon, OR MSA"
72,2908,"Albany-Lebanon, OR MSA"
81,1668,"Albany-Lebanon, OR MSA"
99,9,"Albany-Lebanon, OR MSA"
--,279897,"Albuquerque, NM MSA"
11,62,"Albuquerque, NM MSA"
21,0,"Albuquerque, NM MSA"
22,1694,"Albuquerque, NM MSA"
23,18497,"Albuquerque, NM MSA"
31-33,15685,"Albuquerque, NM MSA"
42,11858,"Albuquerque, NM MSA"
44-45,42058,"Albuquerque, NM MSA"
48-49,7679,"Albuquerque, NM MSA"
51,7360,"Albuquerque, NM MSA"
52,11704,"Albuquerque, NM MSA"
53,4773,"Albuquerque, NM MSA"
54,20918,"Albuquerque, NM MSA"
55,4761,"Albuquerque, NM MSA"
56,18014,"Albuquerque, NM MSA"
61,4230,"Albuquerque, NM MSA"
62,54184,"Albuquerque, NM MSA"
71,5543,"Albuquerque, NM MSA"
72,38262,"Albuquerque, NM MSA"
81,12304,"Albuquerque, NM MSA"
99,0,"Albuquerque, NM MSA"
--,49751,"Alexandria, LA MSA"
11,289,"Alexandria, LA MSA"
21,0,"Alexandria, LA MSA"
22,0,"Alexandria, LA MSA"
23,3962,"Alexandria, LA MSA"
31-33,3938,"Alexandria, LA MSA"
42,1782,"Alexandria, LA MSA"
44-45,7946,"Alexandria, LA MSA"
48-49,1052,"Alexandria, LA MSA"
51,651,"Alexandria, LA MSA"
52,1612,"Alexandria, LA MSA"
53,563,"Alexandria, LA MSA"
54,1919,"Alexandria, LA MSA"
55,209,"Alexandria, LA MSA"
56,1606,"Alexandria, LA MSA"
61,1004,"Alexandria, LA MSA"
62,14237,"Alexandria, LA MSA"
71,480,"Alexandria, LA MSA"
72,5105,"Alexandria, LA MSA"
81,2529,"Alexandria, LA MSA"
99,0,"Alexandria, LA MSA"
--,308398,"Allentown-Bethlehem-Easton, PA-NJ MSA"
11,34,"Allentown-Bethlehem-Easton, PA-NJ MSA"
21,395,"Allentown-Bethlehem-Easton, PA-NJ MSA"
22,0,"Allentown-Bethlehem-Easton, PA-NJ MSA"
23,10875,"Allentown-Bethlehem-Easton, PA-NJ MSA"
31-33,33897,"Allentown-Bethlehem-Easton, PA-NJ MSA"
42,19553,"Allentown-Bethlehem-Easton, PA-NJ MSA"
44-45,43353,"Allentown-Bethlehem-Easton, PA-NJ MSA"
48-49,14061,"Allentown-Bethlehem-Easton, PA-NJ MSA"
51,5795,"Allentown-Bethlehem-Easton, PA-NJ MSA"
52,11168,"Allentown-Bethlehem-Easton, PA-NJ MSA"
53,2839,"Allentown-Bethlehem-Easton, PA-NJ MSA"
54,12267,"Allentown-Bethlehem-Easton, PA-NJ MSA"
55,12623,"Allentown-Bethlehem-Easton, PA-NJ MSA"
56,19898,"Allentown-Bethlehem-Easton, PA-NJ MSA"
61,12251,"Allentown-Bethlehem-Easton, PA-NJ MSA"
62,59738,"Allentown-Bethlehem-Easton, PA-NJ MSA"
71,4762,"Allentown-Bethlehem-Easton, PA-NJ MSA"
72,28247,"Allentown-Bethlehem-Easton, PA-NJ MSA"
81,13846,"Allentown-Bethlehem-Easton, PA-NJ MSA"
99,52,"Allentown-Bethlehem-Easton, PA-NJ MSA"
--,50319,"Altoona, PA MSA"
11,0,"Altoona, PA MSA"
21,0,"Altoona, PA MSA"
22,176,"Altoona, PA MSA"
23,2021,"Altoona, PA MSA"
31-33,7011,"Altoona, PA MSA"
42,2171,"Altoona, PA MSA"
44-45,8885,"Altoona, PA MSA"
48-49,3561,"Altoona, PA MSA"
51,1522,"Altoona, PA MSA"
52,1651,"Altoona, PA MSA"
53,361,"Altoona, PA MSA"
54,1825,"Altoona, PA MSA"
55,877,"Altoona, PA MSA"
56,2211,"Altoona, PA MSA"
61,325,"Altoona, PA MSA"
62,9880,"Altoona, PA MSA"
71,578,"Altoona, PA MSA"
72,4705,"Altoona, PA MSA"
81,2533,"Altoona, PA MSA"
99,7,"Altoona, PA MSA"
--,94941,"Amarillo, TX MSA"
11,48,"Amarillo, TX MSA"
21,415,"Amarillo, TX MSA"
22,0,"Amarillo, TX MSA"
23,5633,"Amarillo, TX MSA"
31-33,11347,"Amarillo, TX MSA"
42,5698,"Amarillo, TX MSA"
44-45,15249,"Amarillo, TX MSA"
48-49,3049,"Amarillo, TX MSA"
51,1477,"Amarillo, TX MSA"
52,4406,"Amarillo, TX MSA"
53,1400,"Amarillo, TX MSA"
54,3032,"Amarillo, TX MSA"
55,1234,"Amarillo, TX MSA"
56,3549,"Amarillo, TX MSA"
61,810,"Amarillo, TX MSA"
62,18543,"Amarillo, TX MSA"
71,1046,"Amarillo, TX MSA"
72,11087,"Amarillo, TX MSA"
81,5328,"Amarillo, TX MSA"
99,0,"Amarillo, TX MSA"
--,31660,"Ames, IA MSA"
11,148,"Ames, IA MSA"
21,0,"Ames, IA MSA"
22,87,"Ames, IA MSA"
23,1913,"Ames, IA MSA"
31-33,5112,"Ames, IA MSA"
42,798,"Ames, IA MSA"
44-45,5092,"Ames, IA MSA"
48-49,411,"Ames, IA MSA"
51,1359,"Ames, IA MSA"
52,732,"Ames, IA MSA"
53,576,"Ames, IA MSA"
54,1249,"Ames, IA MSA"
55,394,"Ames, IA MSA"
56,1152,"Ames, IA MSA"
61,153,"Ames, IA MSA"
62,5246,"Ames, IA MSA"
71,831,"Ames, IA MSA"
72,4725,"Ames, IA MSA"
81,1616,"Ames, IA MSA"
99,0,"Ames, IA MSA"
--,164797,"Anchorage, AK MSA"
11,109,"Anchorage, AK MSA"
21,7388,"Anchorage, AK MSA"
22,824,"Anchorage, AK MSA"
23,13064,"Anchorage, AK MSA"
31-33,2037,"Anchorage, AK MSA"
42,6696,"Anchorage, AK MSA"
44-45,18836,"Anchorage, AK MSA"
48-49,11197,"Anchorage, AK MSA"
51,5140,"Anchorage, AK MSA"
