NAICS Code,Total Employment - 2002,State
--,112400654.0,United States
11,181162.0,United States
21,465775.0,United States
22,648254.0,United States
23,6307370.0,United States
31-33,14393609.0,United States
42,5860256.0,United States
44-45,14819904.0,United States
48-49,3581013.0,United States
51,3536120.0,United States
52,6414583.0,United States
53,2017347.0,United States
54,7046205.0,United States
55,2913798.0,United States
56,8299217.0,United States
61,2701675.0,United States
62,14900148.0,United States
71,1800991.0,United States
72,10048875.0,United States
81,5420087.0,United States
95,1011496.0,United States
99,32769.0,United States
--,1581117.0,Alabama
21,7357.0,Alabama
22,15022.0,Alabama
23,94890.0,Alabama
31-33,283356.0,Alabama
42,76391.0,Alabama
44-45,224531.0,Alabama
48-49,44756.0,Alabama
51,38737.0,Alabama
52,76045.0,Alabama
53,22737.0,Alabama
54,80586.0,Alabama
55,18802.0,Alabama
56,118977.0,Alabama
61,19735.0,Alabama
62,210185.0,Alabama
71,13853.0,Alabama
72,128964.0,Alabama
81,85126.0,Alabama
95,12025.0,Alabama
--,213600.0,Alaska
11,1256.0,Alaska
21,7633.0,Alaska
22,1960.0,Alaska
23,14067.0,Alaska
31-33,10625.0,Alaska
42,6817.0,Alaska
44-45,33614.0,Alaska
48-49,17925.0,Alaska
51,6339.0,Alaska
52,6932.0,Alaska
53,4311.0,Alaska
54,13231.0,Alaska
55,2678.0,Alaska
56,10147.0,Alaska
61,2568.0,Alaska
62,35640.0,Alaska
71,3286.0,Alaska
72,21917.0,Alaska
81,11997.0,Alaska
95,603.0,Alaska
99,54.0,Alaska
--,1945472.0,Arizona
11,1836.0,Arizona
21,8231.0,Arizona
22,10448.0,Arizona
23,165875.0,Arizona
31-33,167570.0,Arizona
42,84610.0,Arizona
44-45,279830.0,Arizona
48-49,80663.0,Arizona
51,54430.0,Arizona
52,109145.0,Arizona
53,44398.0,Arizona
54,113699.0,Arizona
55,44734.0,Arizona
56,192657.0,Arizona
61,30549.0,Arizona
62,214185.0,Arizona
71,38085.0,Arizona
72,206185.0,Arizona
81,79830.0,Arizona
95,18085.0,Arizona
99,427.0,Arizona
--,974969.0,Arkansas
11,5955.0,Arkansas
21,3361.0,Arkansas
22,8203.0,Arkansas
23,43221.0,Arkansas
31-33,213866.0,Arkansas
42,42010.0,Arkansas
44-45,136090.0,Arkansas
48-49,50117.0,Arkansas
51,26297.0,Arkansas
52,34346.0,Arkansas
53,12625.0,Arkansas
54,32992.0,Arkansas
55,24720.0,Arkansas
56,42375.0,Arkansas
61,11519.0,Arkansas
62,141826.0,Arkansas
71,8088.0,Arkansas
72,78020.0,Arkansas
81,42306.0,Arkansas
95,16489.0,Arkansas
99,543.0,Arkansas
--,12856426.0,California
11,23916.0,California
21,19569.0,California
22,50733.0,California
23,767826.0,California
31-33,1559532.0,California
42,811052.0,California
44-45,1534667.0,California
48-49,402896.0,California
51,507689.0,California
52,647876.0,California
53,286273.0,California
54,1130867.0,California
55,311600.0,California
56,980573.0,California
61,289079.0,California
62,1431453.0,California
71,265687.0,California
72,1150913.0,California
81,578888.0,California
95,101688.0,California
99,3649.0,California
--,1912152.0,Colorado
11,1339.0,Colorado
21,12915.0,Colorado
22,7517.0,Colorado
23,151106.0,Colorado
31-33,149468.0,Colorado
42,100211.0,Colorado
44-45,251819.0,Colorado
48-49,52142.0,Colorado
51,99248.0,Colorado
52,98790.0,Colorado
53,45732.0,Colorado
54,142815.0,Colorado
55,36880.0,Colorado
56,174014.0,Colorado
61,28991.0,Colorado
62,198866.0,Colorado
71,42803.0,Colorado
72,206139.0,Colorado
81,94137.0,Colorado
95,16864.0,Colorado
99,356.0,Colorado
--,1555595.0,Connecticut
11,515.0,Connecticut
21,636.0,Connecticut
22,10919.0,Connecticut
23,68711.0,Connecticut
31-33,211442.0,Connecticut
42,74597.0,Connecticut
44-45,196406.0,Connecticut
48-49,35747.0,Connecticut
51,46903.0,Connecticut
52,139164.0,Connecticut
53,22082.0,Connecticut
54,100002.0,Connecticut
55,44086.0,Connecticut
56,100261.0,Connecticut
61,54033.0,Connecticut
62,225990.0,Connecticut
71,41161.0,Connecticut
72,98980.0,Connecticut
81,65020.0,Connecticut
95,18268.0,Connecticut
99,672.0,Connecticut
--,389304.0,Delaware
11,229.0,Delaware
21,230.0,Delaware
22,2548.0,Delaware
23,22263.0,Delaware
31-33,38872.0,Delaware
42,22654.0,Delaware
44-45,53970.0,Delaware
48-49,7260.0,Delaware
51,9129.0,Delaware
52,49403.0,Delaware
53,5465.0,Delaware
54,19482.0,Delaware
55,20703.0,Delaware
56,25599.0,Delaware
61,6356.0,Delaware
62,46551.0,Delaware
71,7810.0,Delaware
72,27171.0,Delaware
81,17127.0,Delaware
95,6231.0,Delaware
99,251.0,Delaware
--,418755.0,District of Columbia
22,2319.0,District of Columbia
23,6288.0,District of Columbia
31-33,2128.0,District of Columbia
42,5124.0,District of Columbia
44-45,19410.0,District of Columbia
48-49,3247.0,District of Columbia
51,24989.0,District of Columbia
52,18971.0,District of Columbia
53,8351.0,District of Columbia
54,84447.0,District of Columbia
