NAICS Code,Total Employment - 2008,State
--,120903551,United States
11,167039,United States
21,629271,United States
22,639403,United States
23,7043631,United States
31-33,13096159,United States
42,6165204,United States
44-45,15614757,United States
48-49,4438903,United States
51,3434234,United States
52,6511616,United States
53,2196314,United States
54,8032847,United States
55,2887407,United States
56,10224557,United States
61,3141297,United States
62,17217256,United States
71,2069346,United States
72,11926329,United States
81,5452603,United States
99,15378,United States
--,1714692,Alabama
11,6428,Alabama
21,7672,Alabama
22,14867,Alabama
23,112462,Alabama
31-33,278608,Alabama
42,79712,Alabama
44-45,243753,Alabama
48-49,59773,Alabama
51,38415,Alabama
52,73345,Alabama
53,27162,Alabama
54,95550,Alabama
55,18132,Alabama
56,132285,Alabama
61,27584,Alabama
62,239250,Alabama
71,17993,Alabama
72,159559,Alabama
81,81987,Alabama
99,155,Alabama
--,248387,Alaska
11,769,Alaska
21,8803,Alaska
22,1775,Alaska
23,17761,Alaska
31-33,12028,Alaska
42,8957,Alaska
44-45,34704,Alaska
48-49,19956,Alaska
51,6744,Alaska
52,8235,Alaska
53,5328,Alaska
54,13452,Alaska
55,5732,Alaska
56,22319,Alaska
61,2864,Alaska
62,39195,Alaska
71,4602,Alaska
72,24893,Alaska
81,10238,Alaska
99,0,Alaska
--,2334061,Arizona
11,1368,Arizona
21,10975,Arizona
22,0,Arizona
23,208256,Arizona
31-33,165910,Arizona
42,100540,Arizona
44-45,343480,Arizona
48-49,82250,Arizona
51,54466,Arizona
52,138629,Arizona
53,50811,Arizona
54,126940,Arizona
55,50990,Arizona
56,252510,Arizona
61,48052,Arizona
62,287400,Arizona
71,46668,Arizona
72,259521,Arizona
81,91612,Arizona
99,194,Arizona
--,1026005,Arkansas
11,5412,Arkansas
21,7302,Arkansas
22,7640,Arkansas
23,51674,Arkansas
31-33,183494,Arkansas
42,47048,Arkansas
44-45,141751,Arkansas
48-49,54933,Arkansas
51,25271,Arkansas
52,38347,Arkansas
53,13794,Arkansas
54,34487,Arkansas
55,33708,Arkansas
56,59312,Arkansas
61,14006,Arkansas
62,162707,Arkansas
71,8483,Arkansas
72,93558,Arkansas
81,42964,Arkansas
99,114,Arkansas
--,13742925,California
11,26579,California
21,22698,California
22,0,California
23,841116,California
31-33,1383918,California
42,887656,California
44-45,1668747,California
48-49,468916,California
51,556837,California
52,667895,California
53,304970,California
54,1189159,California
55,259681,California
56,1130605,California
61,336476,California
62,1645106,California
71,305207,California
72,1409418,California
81,577827,California
99,1864,California
--,2121718,Colorado
11,1444,Colorado
21,25878,Colorado
22,10275,Colorado
23,172519,Colorado
31-33,139427,Colorado
42,105068,Colorado
44-45,261560,Colorado
