FIPS Code,MSA Description,NAICS Code,NAICS Description,Total Employment
10020.0,"Abbeville, LA Micropolitan Statistical Area",--,Total,9514
10020.0,"Abbeville, LA Micropolitan Statistical Area",11,"Forestry, Fishing, Hunting, and Agriculture Support",46
10020.0,"Abbeville, LA Micropolitan Statistical Area",21,Mining,439
10020.0,"Abbeville, LA Micropolitan Statistical Area",22,Utilities,39
10020.0,"Abbeville, LA Micropolitan Statistical Area",23,Construction,811
10020.0,"Abbeville, LA Micropolitan Statistical Area",31-33,Manufacturing,804
10020.0,"Abbeville, LA Micropolitan Statistical Area",42,Wholesale Trade,458
10020.0,"Abbeville, LA Micropolitan Statistical Area",44-45,Retail Trade,2125
10020.0,"Abbeville, LA Micropolitan Statistical Area",48-49,Transportation and Warehousing,408
10020.0,"Abbeville, LA Micropolitan Statistical Area",51,Information,166
10020.0,"Abbeville, LA Micropolitan Statistical Area",52,Finance and Insurance,414
10020.0,"Abbeville, LA Micropolitan Statistical Area",53,Real Estate and Rental and Leasing,88
10020.0,"Abbeville, LA Micropolitan Statistical Area",54,"Professional, Scientific, and Technical Services",311
10020.0,"Abbeville, LA Micropolitan Statistical Area",55,Management of Companies and Enterprises,46
10020.0,"Abbeville, LA Micropolitan Statistical Area",56,Administrative and Support and Waste Management and Remediation Services,170
10020.0,"Abbeville, LA Micropolitan Statistical Area",61,Educational Services,103
10020.0,"Abbeville, LA Micropolitan Statistical Area",62,Health Care and Social Assistance,1593
10020.0,"Abbeville, LA Micropolitan Statistical Area",71,"Arts, Entertainment, and Recreation",85
10020.0,"Abbeville, LA Micropolitan Statistical Area",72,Accommodation and Food Services,860
10020.0,"Abbeville, LA Micropolitan Statistical Area",81,Other Services (except Public Administration),538
10020.0,"Abbeville, LA Micropolitan Statistical Area",99,Unclassified,10
10100.0,"Aberdeen, SD Micropolitan Statistical Area",--,Total,16779
10100.0,"Aberdeen, SD Micropolitan Statistical Area",11,"Forestry, Fishing, Hunting, and Agriculture Support",[b]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",21,Mining,[b]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",22,Utilities,[c]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",23,Construction,749
10100.0,"Aberdeen, SD Micropolitan Statistical Area",31-33,Manufacturing,[g]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",42,Wholesale Trade,1018
10100.0,"Aberdeen, SD Micropolitan Statistical Area",44-45,Retail Trade,3028
10100.0,"Aberdeen, SD Micropolitan Statistical Area",48-49,Transportation and Warehousing,254
10100.0,"Aberdeen, SD Micropolitan Statistical Area",51,Information,[e]
10100.0,"Aberdeen, SD Micropolitan Statistical Area",52,Finance and Insurance,949
