State,NAICS Code,Total Employment - 2016
United States,--,126752238
United States,11,160411
United States,21,587017
United States,22,638917
United States,23,6311264
United States,31-33,11590420
United States,42,6110748
United States,44-45,15967893
United States,48-49,4729709
United States,51,3447950
United States,52,6336795
United States,53,2111418
United States,54,8799893
United States,55,3380437
United States,56,11628509
United States,61,3677275
United States,62,19735708
United States,71,2311437
United States,72,13704017
United States,81,5499244
United States,99,23176
Alabama,--,1673249
Alabama,11,6589
Alabama,21,5216
Alabama,22,14447
Alabama,23,82327
Alabama,31-33,250252
Alabama,42,72647
Alabama,44-45,237123
Alabama,48-49,59000
Alabama,51,32984
Alabama,52,70109
Alabama,53,23218
Alabama,54,100476
Alabama,55,17797
Alabama,56,150843
Alabama,61,26176
Alabama,62,245766
Alabama,71,17892
Alabama,72,178552
Alabama,81,81529
Alabama,99,306
Alaska,--,266072
Alaska,11,641
Alaska,21,11838
Alaska,22,2066
Alaska,23,17022
Alaska,31-33,12701
Alaska,42,9306
Alaska,44-45,35101
Alaska,48-49,18655
Alaska,51,6759
Alaska,52,7602
Alaska,53,4489
Alaska,54,19498
Alaska,55,7477
Alaska,56,17035
Alaska,61,3105
Alaska,62,49799
Alaska,71,4534
Alaska,72,28606
Alaska,81,9787
Alaska,99,51
Arizona,--,2379409
Arizona,11,1521
Arizona,21,11178
Arizona,22,12388
Arizona,23,141740
Arizona,31-33,144208
Arizona,42,93790
Arizona,44-45,320561
Arizona,48-49,89655
Arizona,51,48161
Arizona,52,147682
Arizona,53,46609
Arizona,54,148267
Arizona,55,54879
Arizona,56,270730
Arizona,61,60892
Arizona,62,359183
Arizona,71,47840
Arizona,72,290496
Arizona,81,89232
Arizona,99,397
Arkansas,--,1023854
Arkansas,11,4815
Arkansas,21,5271
Arkansas,22,7077
Arkansas,23,45609
Arkansas,31-33,153952
Arkansas,42,47341
Arkansas,44-45,147616
Arkansas,48-49,53468
Arkansas,51,25303
Arkansas,52,36831
Arkansas,53,12490
Arkansas,54,37811
Arkansas,55,39186
Arkansas,56,63655
Arkansas,61,15997
Arkansas,62,170777
Arkansas,71,9844
Arkansas,72,105795
Arkansas,81,40828
Arkansas,99,188
California,--,14600349
California,11,27481
California,21,20933
California,22,59601
California,23,723574
California,31-33,1154342
California,42,843285
California,44-45,1711363
California,48-49,505066
California,51,711680
California,52,611298
California,53,292748
California,54,1190717
California,55,339153
California,56,1457869
California,61,422749
California,62,1928468
California,71,338705
California,72,1671180
California,81,586153
California,99,3984
Colorado,--,2318190
Colorado,11,1931
Colorado,21,22684
Colorado,22,10868
Colorado,23,152325
Colorado,31-33,121428
Colorado,42,102986
Colorado,44-45,281435
Colorado,48-49,67489
Colorado,51,86918
Colorado,52,106462
Colorado,53,45440
Colorado,54,194466
Colorado,55,60073
Colorado,56,256339
Colorado,61,51155
Colorado,62,307955
Colorado,71,58086
Colorado,72,282483
Colorado,81,107296
Colorado,99,371
Connecticut,--,1533879
Connecticut,11,334
Connecticut,21,931
Connecticut,22,7438
Connecticut,23,58249
Connecticut,31-33,155579
Connecticut,42,73356
Connecticut,44-45,186979
Connecticut,48-49,43315
Connecticut,51,37781
Connecticut,52,126081
Connecticut,53,20237
Connecticut,54,106207
Connecticut,55,34199
Connecticut,56,85639
Connecticut,61,76423
Connecticut,62,285014
Connecticut,71,28450
Connecticut,72,146476
Connecticut,81,60983
Connecticut,99,208
Delaware,--,400069
Delaware,11,124
Delaware,21,135
Delaware,22,2200
Delaware,23,20158
Delaware,31-33,27189
Delaware,42,16853
Delaware,44-45,56173
Delaware,48-49,14338
Delaware,51,6766
Delaware,52,42232
Delaware,53,6537
Delaware,54,29556
Delaware,55,8245
Delaware,56,29380
Delaware,61,7204
Delaware,62,67806
Delaware,71,8754
Delaware,72,41458
Delaware,81,14887
Delaware,99,74
District of Columbia,--,526879
District of Columbia,11,0
District of Columbia,21,0
District of Columbia,22,1820
District of Columbia,23,10049
District of Columbia,31-33,1258
District of Columbia,42,4702
District of Columbia,44-45,22143
District of Columbia,48-49,3875
District of Columbia,51,22834
District of Columbia,52,17729
District of Columbia,53,12340
District of Columbia,54,102780
District of Columbia,55,18452
District of Columbia,56,33333
District of Columbia,61,49847
District of Columbia,62,68675
District of Columbia,71,9565
District of Columbia,72,72186
District of Columbia,81,75210
District of Columbia,99,78
Florida,--,8169642
Florida,11,9051
Florida,21,3747
Florida,22,26487
Florida,23,397243
Florida,31-33,306700
Florida,42,318689
Florida,44-45,1088564
Florida,48-49,248639
Florida,51,167490
Florida,52,355395
Florida,53,164836
Florida,54,499518
Florida,55,153650
Florida,56,1707780
Florida,61,174121
Florida,62,1086559
Florida,71,198688
Florida,72,935554
Florida,81,326030
Florida,99,901
Georgia,--,3804433
Georgia,11,7729
Georgia,21,4501
Georgia,22,24832
Georgia,23,171834
Georgia,31-33,367902
Georgia,42,211958
Georgia,44-45,485488
Georgia,48-49,182614
Georgia,51,120699
Georgia,52,177532
Georgia,53,62742
Georgia,54,263554
Georgia,55,131006
Georgia,56,379545
Georgia,61,85987
Georgia,62,497019
Georgia,71,48413
Georgia,72,421223
Georgia,81,159287
Georgia,99,568
Hawaii,--,528415
Hawaii,11,151
Hawaii,21,176
Hawaii,22,3664
Hawaii,23,33488
Hawaii,31-33,13040
Hawaii,42,19345
Hawaii,44-45,70647
Hawaii,48-49,30155
Hawaii,51,8202
Hawaii,52,19060
Hawaii,53,11945
Hawaii,54,22782
Hawaii,55,6395
Hawaii,56,55128
Hawaii,61,18190
Hawaii,62,71052
Hawaii,71,11380
Hawaii,72,107940
Hawaii,81,25580
Hawaii,99,95
Idaho,--,562282
Idaho,11,3359
Idaho,21,2584
Idaho,22,3586
Idaho,23,38254
Idaho,31-33,60078
Idaho,42,31319
Idaho,44-45,84071
Idaho,48-49,18457
Idaho,51,13103
Idaho,52,22432
Idaho,53,7320
Idaho,54,32852
Idaho,55,7713
Idaho,56,39761
Idaho,61,14934
Idaho,62,91190
Idaho,71,9010
Idaho,72,61928
Idaho,81,20209
Idaho,99,122
Illinois,--,5513071
Illinois,11,1999
Illinois,21,7918
Illinois,22,30454
Illinois,23,208396
Illinois,31-33,535830
Illinois,42,321872
Illinois,44-45,631937
Illinois,48-49,244615
Illinois,51,123156
Illinois,52,346002
Illinois,53,79100
Illinois,54,389970
Illinois,55,213814
Illinois,56,540722
Illinois,61,171194
Illinois,62,805338
Illinois,71,82801
Illinois,72,528395
Illinois,81,248938
Illinois,99,620
Indiana,--,2720277
Indiana,11,1407
Indiana,21,5564
Indiana,22,15109
Indiana,23,122512
Indiana,31-33,500104
Indiana,42,118177
Indiana,44-45,325581
Indiana,48-49,124985
Indiana,51,44335
Indiana,52,101691
Indiana,53,34043
Indiana,54,128583
Indiana,55,51586
Indiana,56,216495
Indiana,61,68406
Indiana,62,423622
Indiana,71,33842
Indiana,72,276564
Indiana,81,127449
Indiana,99,222
Iowa,--,1354487
Iowa,11,2538
Iowa,21,2012
Iowa,22,7971
Iowa,23,66874
Iowa,31-33,208831
Iowa,42,68683
Iowa,44-45,187275
Iowa,48-49,57434
Iowa,51,29739
Iowa,52,98251
Iowa,53,13679
Iowa,54,55168
Iowa,55,24568
Iowa,56,77808
Iowa,61,35240
Iowa,62,224133
Iowa,71,20389
Iowa,72,121432
Iowa,81,52284
Iowa,99,178
Kansas,--,1184710
Kansas,11,861
Kansas,21,7571
Kansas,22,7287
Kansas,23,65081
Kansas,31-33,160006
Kansas,42,62811
Kansas,44-45,153917
Kansas,48-49,55850
Kansas,51,30674
Kansas,52,60819
Kansas,53,14984
Kansas,54,65414
Kansas,55,22949
Kansas,56,81652
Kansas,61,20516
Kansas,62,191669
Kansas,71,16133
Kansas,72,115329
Kansas,81,50989
Kansas,99,198
Kentucky,--,1603173
Kentucky,11,1489
Kentucky,21,10134
Kentucky,22,8530
Kentucky,23,69808
Kentucky,31-33,235487
Kentucky,42,71545
Kentucky,44-45,214356
Kentucky,48-49,96476
Kentucky,51,32140
Kentucky,52,74742
Kentucky,53,18186
Kentucky,54,74749
Kentucky,55,31161
Kentucky,56,121236
Kentucky,61,28807
Kentucky,62,255345
Kentucky,71,17667
Kentucky,72,173991
Kentucky,81,66783
Kentucky,99,541
Louisiana,--,1709226
Louisiana,11,4091
Louisiana,21,43227
Louisiana,22,11506
Louisiana,23,135543
Louisiana,31-33,118352
Louisiana,42,75766
Louisiana,44-45,240119
Louisiana,48-49,68693
Louisiana,51,30111
Louisiana,52,64521
Louisiana,53,30746
Louisiana,54,97108
Louisiana,55,25579
Louisiana,56,105382
Louisiana,61,43929
Louisiana,62,294641
Louisiana,71,25583
Louisiana,72,218289
Louisiana,81,75808
Louisiana,99,232
Maine,--,511936
Maine,11,3170
Maine,21,115
Maine,22,2527
Maine,23,25506
Maine,31-33,49793
Maine,42,18369
Maine,44-45,83847
Maine,48-49,15695
Maine,51,11872
Maine,52,28305
Maine,53,6656
Maine,54,23182
Maine,55,9657
Maine,56,24664
Maine,61,17952
Maine,62,111720
Maine,71,8048
Maine,72,51972
Maine,81,18738
Maine,99,148
Maryland,--,2282725
Maryland,11,1255
Maryland,21,1053
Maryland,22,9734
Maryland,23,150284
Maryland,31-33,97484
Maryland,42,91056
Maryland,44-45,294126
Maryland,48-49,71679
Maryland,51,52412
Maryland,52,101012
Maryland,53,45989
Maryland,54,276621
Maryland,55,56062
Maryland,56,194857
Maryland,61,83905
Maryland,62,370191
Maryland,71,39335
Maryland,72,231489
Maryland,81,113861
Maryland,99,320
Massachusetts,--,3254781
Massachusetts,11,1052
Massachusetts,21,913
Massachusetts,22,12480
Massachusetts,23,131693
Massachusetts,31-33,221424
Massachusetts,42,143559
Massachusetts,44-45,373471
Massachusetts,48-49,84681
Massachusetts,51,114607
Massachusetts,52,189009
Massachusetts,53,46627
Massachusetts,54,283863
Massachusetts,55,98805
Massachusetts,56,200626
Massachusetts,61,219163
Massachusetts,62,644071
Massachusetts,71,60235
Massachusetts,72,300348
Massachusetts,81,127224
Massachusetts,99,930
Michigan,--,3805578
Michigan,11,3876
Michigan,21,4843
Michigan,22,22024
Michigan,23,138920
Michigan,31-33,579509
Michigan,42,180432
Michigan,44-45,470993
Michigan,48-49,114357
Michigan,51,65937
Michigan,52,160029
Michigan,53,51699
Michigan,54,266869
Michigan,55,125266
Michigan,56,337870
Michigan,61,72796
Michigan,62,615103
Michigan,71,48434
Michigan,72,385880
Michigan,81,159612
Michigan,99,1129
Minnesota,--,2661627
Minnesota,11,2686
Minnesota,21,5684
Minnesota,22,13662
Minnesota,23,118033
Minnesota,31-33,305782
Minnesota,42,138136
Minnesota,44-45,307266
Minnesota,48-49,83446
Minnesota,51,58844
Minnesota,52,163505
Minnesota,53,39639
Minnesota,54,183069
Minnesota,55,132894
Minnesota,56,166463
Minnesota,61,72216
Minnesota,62,460279
Minnesota,71,48324
Minnesota,72,243181
Minnesota,81,118202
Minnesota,99,316
Mississippi,--,939322
Mississippi,11,5145
Mississippi,21,3904
Mississippi,22,9398
Mississippi,23,44551
Mississippi,31-33,143226
Mississippi,42,37272
Mississippi,44-45,146030
Mississippi,48-49,38944
Mississippi,51,13464
Mississippi,52,35414
Mississippi,53,10257
Mississippi,54,30209
Mississippi,55,8499
Mississippi,56,55059
Mississippi,61,15774
Mississippi,62,165677
Mississippi,71,9152
Mississippi,72,128306
Mississippi,81,38904
Mississippi,99,137
Missouri,--,2494720
Missouri,11,1615
Missouri,21,3541
Missouri,22,15561
Missouri,23,121494
Missouri,31-33,260451
Missouri,42,126170
Missouri,44-45,324717
Missouri,48-49,87182
Missouri,51,58009
Missouri,52,131863
Missouri,53,36906
Missouri,54,156958
Missouri,55,86413
Missouri,56,174247
Missouri,61,73871
Missouri,62,420073
Missouri,71,41029
Missouri,72,260430
Missouri,81,112527
Missouri,99,1663
Montana,--,378463
Montana,11,939
Montana,21,6012
Montana,22,3080
Montana,23,25036
Montana,31-33,18355
Montana,42,16643
Montana,44-45,59582
Montana,48-49,13412
Montana,51,8503
Montana,52,16982
Montana,53,5774
Montana,54,20616
Montana,55,3803
Montana,56,24473
Montana,61,6175
Montana,62,70286
Montana,71,10712
Montana,72,51557
Montana,81,16424
Montana,99,99
Nebraska,--,884450
Nebraska,11,1236
Nebraska,21,1188
Nebraska,22,937
Nebraska,23,45909
Nebraska,31-33,91984
Nebraska,42,42001
Nebraska,44-45,112718
Nebraska,48-49,30505
Nebraska,51,19203
Nebraska,52,63100
Nebraska,53,11284
Nebraska,54,40375
Nebraska,55,21719
Nebraska,56,125407
Nebraska,61,18990
Nebraska,62,129977
Nebraska,71,14252
Nebraska,72,77384
Nebraska,81,36181
Nebraska,99,100
Nevada,--,1165298
Nevada,11,170
Nevada,21,12175
Nevada,22,4684
Nevada,23,72817
Nevada,31-33,43023
Nevada,42,36521
Nevada,44-45,146445
Nevada,48-49,52399
Nevada,51,16913
Nevada,52,36955
Nevada,53,30213
Nevada,54,59623
Nevada,55,18153
Nevada,56,117264
Nevada,61,11463
Nevada,62,121037
Nevada,71,29897
Nevada,72,321213
Nevada,81,34193
Nevada,99,140
New Hampshire,--,594243
New Hampshire,11,633
New Hampshire,21,230
New Hampshire,22,2971
New Hampshire,23,26207
New Hampshire,31-33,68645
New Hampshire,42,24052
New Hampshire,44-45,100563
New Hampshire,48-49,13870
New Hampshire,51,14148
New Hampshire,52,28757
New Hampshire,53,7321
New Hampshire,54,32287
New Hampshire,55,8809
New Hampshire,56,55763
New Hampshire,61,25839
New Hampshire,62,91765
New Hampshire,71,12331
New Hampshire,72,57495
New Hampshire,81,22486
New Hampshire,99,71
New Jersey,--,3636293
New Jersey,11,1001
New Jersey,21,1193
New Jersey,22,20003
New Jersey,23,155246
New Jersey,31-33,218742
New Jersey,42,264210
New Jersey,44-45,464603
New Jersey,48-49,164419
New Jersey,51,86792
New Jersey,52,198374
New Jersey,53,58847
New Jersey,54,328347
New Jersey,55,124389
New Jersey,56,326154
New Jersey,61,109275
New Jersey,62,584649
New Jersey,71,63917
New Jersey,72,310558
New Jersey,81,155185
New Jersey,99,389
New Mexico,--,628723
New Mexico,11,388
New Mexico,21,17869
New Mexico,22,4476
New Mexico,23,38946
