NAICS Code,Total Employment - 2013,MSA
--,57895,"Abilene, TX MSA"
11,26,"Abilene, TX MSA"
21,2044,"Abilene, TX MSA"
22,412,"Abilene, TX MSA"
23,3004,"Abilene, TX MSA"
31-33,2664,"Abilene, TX MSA"
42,2586,"Abilene, TX MSA"
44-45,8860,"Abilene, TX MSA"
48-49,1673,"Abilene, TX MSA"
51,1081,"Abilene, TX MSA"
52,2922,"Abilene, TX MSA"
53,852,"Abilene, TX MSA"
54,2027,"Abilene, TX MSA"
55,573,"Abilene, TX MSA"
56,2661,"Abilene, TX MSA"
61,3375,"Abilene, TX MSA"
62,12334,"Abilene, TX MSA"
71,700,"Abilene, TX MSA"
72,7067,"Abilene, TX MSA"
81,3033,"Abilene, TX MSA"
99,1,"Abilene, TX MSA"
--,285016,"Akron, OH MSA"
11,60,"Akron, OH MSA"
21,351,"Akron, OH MSA"
22,0,"Akron, OH MSA"
23,10871,"Akron, OH MSA"
31-33,38801,"Akron, OH MSA"
42,18034,"Akron, OH MSA"
44-45,38144,"Akron, OH MSA"
48-49,9378,"Akron, OH MSA"
51,4976,"Akron, OH MSA"
52,10648,"Akron, OH MSA"
53,3167,"Akron, OH MSA"
54,16522,"Akron, OH MSA"
55,13375,"Akron, OH MSA"
56,18718,"Akron, OH MSA"
61,5319,"Akron, OH MSA"
62,49854,"Akron, OH MSA"
71,3677,"Akron, OH MSA"
72,27215,"Akron, OH MSA"
81,12968,"Akron, OH MSA"
99,0,"Akron, OH MSA"
--,32742,"Albany-Lebanon, OR MSA"
11,576,"Albany-Lebanon, OR MSA"
21,0,"Albany-Lebanon, OR MSA"
22,0,"Albany-Lebanon, OR MSA"
23,2012,"Albany-Lebanon, OR MSA"
31-33,6643,"Albany-Lebanon, OR MSA"
42,1520,"Albany-Lebanon, OR MSA"
44-45,4611,"Albany-Lebanon, OR MSA"
48-49,2552,"Albany-Lebanon, OR MSA"
51,298,"Albany-Lebanon, OR MSA"
52,886,"Albany-Lebanon, OR MSA"
53,399,"Albany-Lebanon, OR MSA"
54,853,"Albany-Lebanon, OR MSA"
55,0,"Albany-Lebanon, OR MSA"
56,2173,"Albany-Lebanon, OR MSA"
61,363,"Albany-Lebanon, OR MSA"
62,4765,"Albany-Lebanon, OR MSA"
71,223,"Albany-Lebanon, OR MSA"
72,2910,"Albany-Lebanon, OR MSA"
81,1642,"Albany-Lebanon, OR MSA"
99,0,"Albany-Lebanon, OR MSA"
--,278944,"Albuquerque, NM MSA"
11,81,"Albuquerque, NM MSA"
21,0,"Albuquerque, NM MSA"
22,0,"Albuquerque, NM MSA"
23,18497,"Albuquerque, NM MSA"
31-33,16470,"Albuquerque, NM MSA"
42,15619,"Albuquerque, NM MSA"
44-45,39804,"Albuquerque, NM MSA"
48-49,7538,"Albuquerque, NM MSA"
51,7387,"Albuquerque, NM MSA"
52,10896,"Albuquerque, NM MSA"
53,4550,"Albuquerque, NM MSA"
54,20103,"Albuquerque, NM MSA"
55,4133,"Albuquerque, NM MSA"
56,18068,"Albuquerque, NM MSA"
61,4252,"Albuquerque, NM MSA"
62,53539,"Albuquerque, NM MSA"
71,6071,"Albuquerque, NM MSA"
72,37457,"Albuquerque, NM MSA"
81,12392,"Albuquerque, NM MSA"
99,0,"Albuquerque, NM MSA"
--,49569,"Alexandria, LA MSA"
11,349,"Alexandria, LA MSA"
21,0,"Alexandria, LA MSA"
22,0,"Alexandria, LA MSA"
23,3730,"Alexandria, LA MSA"
31-33,3899,"Alexandria, LA MSA"
42,1897,"Alexandria, LA MSA"
44-45,8130,"Alexandria, LA MSA"
48-49,986,"Alexandria, LA MSA"
51,653,"Alexandria, LA MSA"
52,1616,"Alexandria, LA MSA"
53,598,"Alexandria, LA MSA"
54,2233,"Alexandria, LA MSA"
55,195,"Alexandria, LA MSA"
56,1648,"Alexandria, LA MSA"
61,1003,"Alexandria, LA MSA"
62,14000,"Alexandria, LA MSA"
71,486,"Alexandria, LA MSA"
72,4700,"Alexandria, LA MSA"
81,2586,"Alexandria, LA MSA"
